iter	Passed	Remaining
0	73	73663
1	148	74231
2	215	71668
3	298	74265
4	374	74465
5	437	72499
6	524	74444
7	586	72755
8	666	73345
9	730	72275
10	792	71276
11	857	70629
12	921	69971
13	984	69334
14	1046	68740
15	1121	68953
16	1197	69216
17	1260	68788
18	1322	68289
19	1385	67887
20	1448	67526
21	1510	67158
22	1614	68600
23	1676	68186
24	1764	68799
25	1826	68422
26	1904	68647
27	1965	68238
28	2028	67903
29	2100	67918
30	2168	67786
31	2245	67932
32	2320	67997
33	2394	68019
34	2456	67739
35	2550	68302
36	2614	68038
37	2677	67775
38	2755	67886
39	2830	67930
40	2905	67971
41	2979	67969
42	3041	67690
43	3106	67501
44	3193	67782
45	3270	67835
46	3383	68599
47	3448	68392
48	3527	68456
49	3627	68915
50	3705	68946
51	3786	69039
52	3850	68798
53	3916	68605
54	3979	68377
55	4056	68379
56	4131	68352
57	4193	68102
58	4258	67925
59	4327	67791
60	4404	67796
61	4466	67581
62	4530	67381
63	4594	67189
64	4658	67009
65	4721	66819
66	4785	66642
67	4848	66457
68	4912	66286
69	4975	66105
70	5051	66089
71	5126	66073
72	5191	65918
73	5272	65975
74	5335	65801
75	5411	65796
76	5475	65629
77	5539	65482
78	5564	64877
79	5629	64735
80	5693	64591
81	5776	64664
82	5858	64722
83	5952	64910
84	6027	64886
85	6090	64734
86	6152	64568
87	6216	64426
88	6280	64290
89	6355	64258
90	6426	64193
91	6487	64028
92	6548	63869
93	6612	63731
94	6674	63587
95	6737	63445
96	6800	63310
97	6863	63176
98	6926	63038
99	6990	62918
100	7074	62967
101	7149	62945
102	7213	62817
103	7301	62909
104	7381	62914
105	7453	62863
106	7516	62733
107	7601	62782
108	7663	62647
109	7742	62646
110	7827	62688
111	7903	62665
112	7968	62550
113	8052	62586
114	8128	62556
115	8195	62455
116	8280	62492
117	8344	62368
118	8416	62308
119	8491	62267
120	8555	62148
121	8645	62222
122	8722	62193
123	8786	62069
124	8807	61649
125	8871	61534
126	8947	61508
127	9018	61440
128	9082	61326
129	9150	61240
130	9212	61114
131	9283	61044
132	9357	60998
133	9421	60888
134	9485	60776
135	9548	60660
136	9611	60546
137	9677	60446
138	9753	60413
139	9822	60335
140	9866	60106
141	9929	59996
142	9993	59889
143	10077	59904
144	10141	59798
145	10221	59785
146	10290	59710
147	10353	59599
148	10423	59535
149	10486	59422
