iter	RMSE
0	79148.129
1	76782.54261
2	74672.40632
3	72475.42414
4	70192.67577
5	68272.94973
6	66290.29085
7	64463.65539
8	62616.80511
9	60921.28294
10	59198.35951
11	57566.59665
12	56020.98793
13	54622.5888
14	53369.67249
15	52028.52492
16	50840.43685
17	49625.25033
18	48512.9389
19	47454.01143
20	46429.42123
21	45455.55079
22	44575.62049
23	43635.51119
24	42838.0528
25	42060.68207
26	41303.8447
27	40617.41737
28	39949.82699
29	39266.84909
30	38633.38465
31	37995.4261
32	37459.09158
33	36977.57653
34	36487.21506
35	36013.59158
36	35525.68163
37	35117.31156
38	34669.68141
39	34284.92065
40	33830.27746
41	33444.55412
42	33048.21134
43	32684.32843
44	32370.68694
45	32014.8764
46	31669.80603
47	31324.37126
48	31016.3934
49	30671.75795
50	30423.46167
51	30088.11181
52	29816.30797
53	29535.93354
54	29232.26326
55	29015.01902
56	28821.95691
57	28568.2199
58	28376.60003
59	28130.6594
60	27932.11932
61	27757.99855
62	27549.53794
63	27378.37761
64	27197.19315
65	27027.74824
66	26875.92441
67	26712.32244
68	26520.79888
69	26360.28876
70	26228.20053
71	26076.41302
72	25973.27314
73	25855.6128
74	25749.66471
75	25597.6731
76	25452.31888
77	25328.88077
78	25302.99145
79	25208.70001
80	25097.21355
81	24999.10877
82	24910.77474
83	24860.05824
84	24778.59297
85	24689.52731
86	24569.15044
87	24475.24116
88	24394.9992
89	24305.05336
90	24185.63645
91	24109.6197
92	24020.95461
93	23928.53675
94	23835.95747
95	23765.25051
96	23693.39444
97	23625.20125
98	23573.17575
99	23481.42078
100	23396.43136
101	23327.37461
102	23269.36474
103	23204.13928
104	23132.72371
105	23090.15649
106	23026.29938
107	22979.98518
108	22899.6531
109	22853.11088
110	22813.60981
111	22758.40246
112	22695.53981
113	22649.21919
114	22596.76475
115	22535.11031
116	22482.41696
117	22455.63012
118	22394.39093
119	22341.10361
120	22315.02424
121	22266.79522
122	22222.63441
123	22199.49322
124	22190.77656
125	22133.74304
126	22098.72608
127	22066.28157
128	22016.05376
129	21977.24027
130	21941.4336
131	21921.17346
132	21897.16836
133	21850.00873
134	21821.19038
135	21797.55164
136	21760.23749
137	21715.98214
138	21683.08254
139	21650.83377
140	21642.20853
141	21612.90287
142	21587.44554
143	21558.68098
144	21502.0925
145	21460.33575
146	21412.18252
147	21358.73765
148	21332.5584
149	21313.55003
150	21286.47475
151	21282.05286
152	21259.5762
153	21228.89314
154	21185.02037
155	21163.07794
156	21146.10545
157	21098.67413
158	21059.95326
159	21046.24581
160	20995.7293
161	20955.12273
162	20939.34207
163	20907.87721
164	20890.31119
165	20851.08613
166	20822.54626
167	20794.22007
168	20762.01494
169	20713.56454
170	20689.79588
171	20663.10692
172	20618.10978
173	20577.8237
174	20548.10183
175	20508.46767
176	20470.90086
