,datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
0,2020-04-04,JÄGERSRO,1,GIANT SHADOW,v,7,Björn Goop,7,"1,94","1,34",1,VOLTSTART,2640M,2640,"1.14,1",33 979,191226,Solvalla,Björn Goop,4,2140,11,"12,9a","3,83",250',191102,Solvalla,Björn Goop,1,2140,12,"13,3a","2,70",250',191026,Jägersro,Carl Johan Jepson,1,2140,2,"13,2a","1,41",125',191005,Skellefteå,Carl Johan Jepson,1,1640,8,"12,1a","1,65",125',190910,Solvalla,Björn Goop,1,1640,11,"11,5a","1,72",60'
1,2020-04-04,JÄGERSRO,1,NERO MAXIMUS,h,5,Marc Elias,5,"7,07","2,03",2,VOLTSTART,2640M,2640,"1.14,1",38 542,200304,Jägersro,Conrad Lugauer,1,2140,5,"13,1a","1,83",60',200222,Axevalla,Marc Elias,0,2140,8,"15,9g","5,54",110',200206,Åby,Marc Elias,1,2640,2,"14,8a","2,12",35',200104,Jägersro,Marc Elias,3,3160,1,"16,7","5,02",100',190901,Jägersro,Marc Elias,3,2140,8,"14,1a","3,21",50'
2,2020-04-04,JÄGERSRO,1,GLOBAL UNSPOKED,v,6,Oskar Svanberg,3,"28,73","2,97",3,VOLTSTART,2640M,2640,"1.14,3",22 951,200325,Solvalla,Oskar Svanberg,0,3180,1,"14,5","8,80",60',200313,Kalmar,Kim Eriksson,1,3180,3,"16,8","4,70",35',200226,Solvalla,Oskar Svanberg,5,2140,3,"13,7","24,02",100',200217,Eskilstuna,Oskar Svanberg,2,2640,1,"17,0","3,83",25',200125,Eskilstuna,Oskar Svanberg,0,2640,10,"15,8a","23,03",110'
3,2020-04-04,JÄGERSRO,1,GANYBOY,v,6,Dante Kolgjini,10,"37,62","3,80 - 7,38",4,VOLTSTART,2640M,2640,"1.14,4",17 490,200307,Färjestad,Erik Adielsson,4,2140,6,"13,3a","38,56",110',(200229),Jarlsberg,Erlend Rennesvik,0,2100,,"16,8a","8,10",,(200208),Forus,Erlend Rennesvik,3,2040,,"14,5a","6,40",,200122,Bjerke,Erlend Rennesvik,1,2100,,"13,8a","3,20",,200108,Bjerke,Åsbjörn Tengsareid,2,2100,,"15,5a","7,50",
4,2020-04-04,JÄGERSRO,1,ELDORADO MEARAS,v,6,Peter Ingves,11,"57,79","5,09 - 10,14",5,VOLTSTART,2640M,2640,"1.14,6",20 901,200328,Solvalla,Johan Untersteiner,0,2140,9,"12,9a","49,19",220',200314,Halmstad,Johan Untersteiner,6,1640,9,"12,3a","8,39",110',200208,Solvalla,Johan Untersteiner,0,2140,9,"13,2a","41,48",220',200118,Kalmar,Ulf Ohlsson,3,1640,1,"11,5a","15,94",110',200104,Jägersro,Peter Ingves,1,2140,10,"13,8a","9,72",110'
5,2020-04-04,JÄGERSRO,1,NEELIX,v,6,Adrian Kolgjini,6,"5,21","1,62 - 2,62",6,VOLTSTART,2640M,2640,"1.14,9",21 907,200318,Jägersro,Adrian Kolgjini,1,3160,2,"15,6","3,85",60',200311,Jägersro,Lutfi Kolgjini,d,1640,9,1ag,"7,90",30',200210,Halmstad,Dante Kolgjini,5,2640,7,"17,2a","4,07",35',190727,Kalmar,Marc Elias,1,2140,2,"12,4a","3,25",25',190716,Jägersro,Adrian Kolgjini,5,2140,8,"13,7a","32,32",75'
6,2020-04-04,JÄGERSRO,1,CROSSFIRE SIMONI,v,6,Bo Falsig,1,"80,04","4,04 - 7,91",7,VOLTSTART,2640M,2640,"1.15,0",18 956,200325,Åby,Bo Falsig,4,1640,1,"11,6a","64,09",60',200226,Åby,Bo Falsig,3,1640,5,"13,4a","17,02",60',200212,Åby,Bo Falsig,4,1640,7,"13,4a","9,55",40',200123,Åby,Bo Falsig,2,2140,11,"15,2a","45,98",35',200102,Åby,Bo Falsig,4,1640,11,"13,7a","52,37",35'
7,2020-04-04,JÄGERSRO,1,MR JÄGER,v,11,Stefan Persson,8,"87,98","5,87 - 11,76",0,VOLTSTART,2640M,2640,"1.15,0",6 226,200328,Kalmar,Stefan Persson,0,2180,2,ug,"4,32",25',200304,Jägersro,Stefan Persson,2,2140,1,"13,4a","43,31",60',200224,Halmstad,Stefan Persson,4,3180,3,"16,1","14,84",35',200210,Halmstad,Stefan Persson,3,1640,6,"13,9a","14,97",35',200202,Kalmar,Stefan Persson,3,2680,6,"15,4","55,23",35'
8,2020-04-04,JÄGERSRO,1,MAGIC HAPPENS,v,7,Peter Untersteiner,12,"39,75","3,85 - 7,48",0,VOLTSTART,2640M,2640,"1.16,2",17 342,200122,Jägersro,Peter Untersteiner,5,2640,3,"14,7a","1,71",60',200108,Åby,Johan Untersteiner,1,3140,3,"17,1a","1,52",60',191229,Charlottenlund,Peter Untersteiner,8,2000,,"14,7a","3,00",,191212,Åby,Peter Untersteiner,1,2640,1,"15,9","4,04",35',191129,Kalmar,Peter Untersteiner,2,2140,5,"14,5a","4,58",35'
9,2020-04-04,JÄGERSRO,1,VIKINGS PREACHER,v,6,Anders Christiansson,2,"18,10","3,21 - 6,13",d,VOLTSTART,2640M,2640,10g,23 130,200314,Halmstad,Anders Christiansson,0,1640,11,"12,4a","9,30",110',200226,Åby,Anders Christiansson,1,3140,6,"16,0a","3,04",60',200220,Åby,Tony Löfqvist,0,1640,7,"21,2ag","8,38",35',200201,Åby,Erik Adielsson,d,2140,3,14g,"3,69",150',200123,Åby,Malin Andersson,1,2180,1,"15,5","3,92",35'
10,2020-04-04,JÄGERSRO,1,WHIPPED EGGS,v,6,Robert Bergh,9,"7,35","1,70 - 2,88",d,VOLTSTART,2640M,2640,ug,38 152,200318,Jägersro,Dwight Pieters,0,3180,6,ug,"2,10",60',200305,Åby,Robert Bergh,1,2640,3,"14,2a","1,74",35',191130,Gävle,Per Lennartsson,0,2640,7,"14,3a","4,67",125',191109,Eskilstuna,Per Lennartsson,1,3160,2,"15,8","1,94",125',191023,Åby,Robert Bergh,2,3140,6,"14,6a","2,34",70'
11,2020-04-04,JÄGERSRO,1,DAY SUN DREAM,v,10,Svend Dyhrberg,4,"93,87","7,83 - 15,81",d,VOLTSTART,2640M,2640,ug,8 879,200324,Jägersro,Iina Aho,2,2140,1,"14,2a","11,37",30',200314,Halmstad,Iina Aho,3,1640,5,"13,7a","9,72",30',200123,Åby,Jessica Pilenberg,5,2180,6,"17,0","9,76",35',200104,Jägersro,Erik Adielsson,1,3160,6,"16,5","28,03",100',191203,Jägersro,Anna Erixon,3,2140,2,"15,4a","16,44",50'
12,2020-04-04,JÄGERSRO,2,CYBER LANE,v,7,Johan Untersteiner,10,"4,15","1,90",1,AUTOSTART,2140M,2140,"1.11,4",267 302,190824,Bergsåker,Johan Untersteiner,4,2140,10,"11,4a","5,41",1000',190730,Jägersro,Johan Untersteiner,4,1609,8,"9 ,7a","20,47",1609',190706,Halmstad,Johan Untersteiner,1,2140,5,"11,8a","1,81",200',190525,Solvalla,Johan Untersteiner,3,1640,3,"9 ,8a","2,33",600',190525,Solvalla,Johan Untersteiner,1,1640,1,"10,9a","1,35",100'
13,2020-04-04,JÄGERSRO,2,VELVET GIO,v,6,Carl Johan Jepson,9,"7,06","2,39",2,AUTOSTART,2140M,2140,"1.11,5",71 913,200222,Axevalla,Ulf Ohlsson,4,2640,3,"15,1a","2,06",150',200213,Vincennes,Gabriele Gelormini,3,2850,,"15,2","6,30",,200126,Vincennes,Gabriele Gelormini,2,2100,,"11,6a","5,80",,191214,Vincennes,Björn Goop,2,2100,,"11,7a","2,60",,191123,Jägersro,Ulf Ohlsson,1,2140,10,"11,8a","7,81",200'
14,2020-04-04,JÄGERSRO,2,TAE KWON DEO,h,5,Adrian Kolgjini,8,"30,14","5,23",3,AUTOSTART,2140M,2140,"1.11,6",98 248,191123,Jägersro,Adrian Kolgjini,0,2140,2,"12,7a","8,66",200',191110,Eskilstuna,Adrian Kolgjini,d,2140,2,uag,"4,28",800',191027,Solvalla,Adrian Kolgjini,1,2140,12,"12,7a","2,72",200',191015,Axevalla,Adrian Kolgjini,3,2140,5,"13,6a","3,74",110',190810,Åby,Adrian Kolgjini,1,2140,11,"11,8a","4,70",250'
15,2020-04-04,JÄGERSRO,2,ISLAND LIFE,v,9,Robert Bergh,2,"75,03","10,58 - 17,43",4,AUTOSTART,2140M,2140,"1.11,6",23 875,200325,Åby,Christoffer Eriksson,0,1640,2,"12,2a","10,78",60',191214,Bergsåker,Robert Bergh,6,1640,1,"14,8a","6,71",150',191207,Åby,Robert Bergh,3,2140,3,"13,2","6,01",150',191117,Östersund,Nicklas Westerholm,1,2140,7,"14,0a","2,62",35',191109,Eskilstuna,Carl Johan Jepson,3,2140,4,"13,7a","16,32",150'
16,2020-04-04,JÄGERSRO,2,RACING MANGE,h,7,Joakim Lövgren,7,"4,34","1,61 - 2,18",5,AUTOSTART,2140M,2140,"1.11,6",78 248,200324,Jägersro,Joakim Lövgren,2,2140,3,"13,6a","2,63",30',191123,Jägersro,Joakim Lövgren,6,2140,5,"12,2a","4,79",200',191113,Jägersro,Joakim Lövgren,1,3180,2,"14,9","1,31",70',191026,Jägersro,Joakim Lövgren,6,2640,6,"12,8a","5,05",400',191012,Åby,Joakim Lövgren,3,2640,7,"13,4a","11,79",500'
