datum,bana,avd,häst,kön,ålder,kusk,spår,vodds,podds,plac,start,lopp_dist,dist,tid,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2020-04-25,ÅBY,1,ELIAN WEB,v,8,Jorma Kontio,4,"10,49","3,19",1,AUTOSTART,2140M,2140,"1.12,2",107 243,200412,Romme,Jorma Kontio,1,2140,6,"13,1a","9,36",150',200328,Solvalla,Jorma Kontio,6,2140,11,"11,5a","6,96",300',200229,Bergsåker,Jorma Kontio,4,1640,1,"10,9a","1,35",150',200208,Solvalla,Jorma Kontio,1,2140,4,"12,5a","1,66",300',200111,Bergsåker,Jorma Kontio,1,2140,5,"12,4a","4,14",150'
2020-04-25,ÅBY,1,CYBER LANE,v,7,Johan Untersteiner,2,"6,08","2,18",2,AUTOSTART,2140M,2140,"1.12,2",264 294,200404,Jägersro,Johan Untersteiner,1,2140,10,"11,4a","4,15",150',190824,Bergsåker,Johan Untersteiner,4,2140,10,"11,4a","5,41",1000',190730,Jägersro,Johan Untersteiner,4,1609,8,"9 ,7a","20,47",1609',190706,Halmstad,Johan Untersteiner,1,2140,5,"11,8a","1,81",200',190525,Solvalla,Johan Untersteiner,3,1640,3,"9 ,8a","2,33",600'
2020-04-25,ÅBY,1,BILLIE DE MONTFORT,s,9,Björn Goop,3,"4,86","1,75",3,AUTOSTART,2140M,2140,"1.12,3",214 547,200308,Cagnes sur Mer,Gabriele Gelormini,3,1609,,"10,0a","13,80",,200209,Vincennes,Gabriele Gelormini,7,2100,,"11,6a","36,70",,200126,Vincennes,Gabriele Gelormini,0,2700,,"12,2","49,00",,191229,Vincennes,Gabriele Gelormini,1,2100,,"10,6a","17,80",,191208,Vincennes,Gabriele Gelormini,3,2850,,"13,2","54,10",
2020-04-25,ÅBY,1,NEXT DIRECTION,v,7,Iikka Nurmonen,6,"6,34","2,16 - 2,92",4,AUTOSTART,2140M,2140,"1.12,4",103 365,200418,Umåker,Iikka Nurmonen,1,2140,3,"12,7a","2,88",200',190831,Vermo,Iikka Nurmonen,1,2100,,"11,0a","3,20",,190721,Mikkeli,Iikka Nurmonen,2,1609,,"10,3a","9,90",,190706,Kaustinen,Iikka Nurmonen,2,1609,,"11,2a","2,40",,190615,Kouvola,Iikka Nurmonen,2,2100,,"11,9a","8,80",
2020-04-25,ÅBY,1,LOOKING SUPERB,h,7,Erik Adielsson,7,"15,18","3,59 - 5,08",5,AUTOSTART,2140M,2140,"1.12,4",89 792,200308,Cagnes sur Mer,Jean Michel Bazire,5,1609,,"10,5a","7,40",,200209,Vincennes,David Thomain,0,2100,,"11,9a","138,50",,200202,Vincennes,Jean Michel Bazire,6,2700,,"13,3","1,80",,200126,Vincennes,David Thomain,0,2700,,it,"17,40",,200112,Vincennes,David Thomain,6,2850,,"12,9","63,90",
2020-04-25,ÅBY,1,SORBET,h,9,Örjan Kihlström,10,"8,93","2,37 - 3,24",6,AUTOSTART,2140M,2140,"1.12,5",115 911,200412,Romme,Örjan Kihlström,2,2140,4,"13,3a","1,55",150',200331,Eskilstuna,Örjan Kihlström,1,1640,4,"9 ,8a","1,34",35',191012,Åby,Örjan Kihlström,5,2640,2,"13,4a","2,48",500',190929,Solvalla,Örjan Kihlström,3,2140,7,"12,2a","5,62",400',190914,Bollnäs,Örjan Kihlström,2,1640,4,"10,6a","2,80",200'
2020-04-25,ÅBY,1,VELVET GIO,v,6,Carl Johan Jepson,8,"25,47","4,33 - 6,12",7,AUTOSTART,2140M,2140,"1.12,6",71 989,200404,Jägersro,Carl Johan Jepson,2,2140,9,"11,5a","7,06",150',200222,Axevalla,Ulf Ohlsson,4,2640,3,"15,1a","2,06",150',200213,Vincennes,Gabriele Gelormini,3,2850,,"15,2","6,30",,200126,Vincennes,Gabriele Gelormini,2,2100,,"11,6a","5,80",,191214,Vincennes,Björn Goop,2,2100,,"11,7a","2,60",
2020-04-25,ÅBY,1,DISCO VOLANTE,v,7,Ulf Ohlsson,1,"10,39","2,43 - 3,33",7,AUTOSTART,2140M,2140,"1.12,6g",71 548,200413,Halmstad,Ulf Ohlsson,1,1640,4,"11,2a","1,27",100',200328,Solvalla,Ulf Ohlsson,1,2140,5,"10,9a","2,23",300',200314,Halmstad,Ulf Ohlsson,1,1640,8,"10,1a","1,85",150',200229,Bergsåker,Ulf Ohlsson,1,1640,4,"10,3a","5,67",150',200208,Solvalla,Ulf Ohlsson,0,2140,5,"13,5a","5,49",300'
2020-04-25,ÅBY,1,GARETH BOKO,h,7,Marc Elias,9,"21,26","4,16 - 5,88",0,AUTOSTART,2140M,2140,"1.12,7",108 563,200328,Solvalla,Marc Elias,3,2140,6,"11,2a","4,74",300',200307,Färjestad,Marc Elias,1,2140,5,"12,6a","2,85",150',200222,Axevalla,Marc Elias,1,2640,11,"14,7a","8,19",150',200208,Solvalla,Marc Elias,6,2140,9,"13,0a","6,10",300',200118,Kalmar,Marc Elias,1,2140,5,"13,2a","9,29",150'
2020-04-25,ÅBY,1,MILLIONDOLLARRHYME,v,6,Fredrik B Larsson,5,"5,16","1,83 - 2,35",0,AUTOSTART,2140M,2140,"1.12,8",91 102,200412,Romme,Fredrik B Larsson,3,2140,9,"13,4a","9,99",150',191102,Solvalla,Fredrik B Larsson,5,2140,11,"12,5a","2,58",400',191012,Åby,Fredrik B Larsson,1,2640,11,"13,1a","6,01",500',190928,Solvalla,Ulf Ohlsson,1,2140,3,"11,6a","1,72",300',190824,Bergsåker,Fredrik B Larsson,5,2140,9,"11,4a","11,15",1000'
2020-04-25,ÅBY,2,VIKENS HIGH YIELD,v,6,Robert Bergh,5,"1,90","1,34",1,AUTOSTART,2140M,2140,"1.12,0",23 124,200410,Färjestad,Robert Bergh,1,3160,3,"13,7","1,98",100',200325,Åby,Robert Bergh,1,1640,4,"11,0a","1,72",60',200314,Halmstad,Magnus A Djuse,3,2140,14,"13,3a","2,38",110',200305,Åby,Robert Bergh,1,2140,2,"14,2a","3,06",35',191212,Åby,Robert Bergh,5,2640,2,"17,1","3,60",35'
2020-04-25,ÅBY,2,SANDSJÖNS ENZO,h,5,Johan Untersteiner,3,"52,59","5,20",2,AUTOSTART,2140M,2140,"1.12,1",20 822,200414,Axevalla,Johan Untersteiner,1,2140,3,"13,8a","2,38",35',200323,Halmstad,Johan Untersteiner,2,2140,12,"14,1a","24,59",35',200113,Mantorp,Johan Untersteiner,4,2140,8,"15,7a","2,01",35',191231,Axevalla,Johan Untersteiner,0,2140,1,"21,9ag","6,99",100',191220,Jägersro,Johan Untersteiner,1,2140,5,"14,3a","4,09",30'
2020-04-25,ÅBY,2,NERO MAXIMUS,h,5,Marc Elias,2,"6,60","1,89",3,AUTOSTART,2140M,2140,"1.12,1",39 365,200404,Jägersro,Marc Elias,2,2640,5,"14,1","7,07",110',200304,Jägersro,Conrad Lugauer,1,2140,5,"13,1a","1,83",60',200222,Axevalla,Marc Elias,0,2140,8,"15,9g","5,54",110',200206,Åby,Marc Elias,1,2640,2,"14,8a","2,12",35',200104,Jägersro,Marc Elias,3,3160,1,"16,7","5,02",100'
2020-04-25,ÅBY,2,GIZMO DE VELUWE,h,7,Carl Johan Jepson,9,"79,10","6,43 - 13,75",4,AUTOSTART,2140M,2140,"1.12,6",20 792,200408,Åby,Carl Johan Jepson,4,3180,4,"14,9","27,97",60',200325,Åby,Carl Johan Jepson,5,1640,10,"12,0a","17,77",60',200201,Åby,Rikard N Skoglund,0,3160,10,"17,0","6,48",150',200115,Åby,Henriette Larsen,1,1640,6,"13,8a","1,54",60',200102,Åby,Henriette Larsen,1,1640,5,"13,2a","2,40",35'
2020-04-25,ÅBY,2,GUILLAUME BOKO,h,7,Björn Goop,12,"27,71","3,31 - 6,73",5,AUTOSTART,2140M,2140,"1.12,7",21 365,200412,Romme,Björn Goop,6,1640,3,"13,9a","4,12",110',200328,Solvalla,Björn Goop,3,2140,11,"12,3a","6,98",220',200307,Färjestad,Björn Goop,2,2140,9,"13,3a","6,30",110',200203,Vincennes,Björn Goop,3,2850,,"15,0","3,60",,191231,Vincennes,Björn Goop,4,2850,,"15,4","27,60",
2020-04-25,ÅBY,2,IGGY B.R.,h,4,Tom Horpestad,6,"42,34","4,89 - 10,34",6,AUTOSTART,2140M,2140,"1.12,8",54 908,191226,Solvalla,Magnus Teien Gundersen,1,2140,6,"14,5a","2,28",250',191116,Bjerke,Magnus Teien Gundersen,1,2600,,"15,6a","1,90",,(191109),Jarlsberg,Magnus Teien Gundersen,1,2100,,"14,9a","3,70",,(191026),Bergen,Geir Vegard Gundersen,4,2100,,"14,4a","3,90",,190908,Bjerke,Magnus Teien Gundersen,d,2100,,0ag,"2,10",
2020-04-25,ÅBY,2,HOBBY DE L'ITON,h,6,André Eklundh,11,"50,35","4,30 - 9,03",7,AUTOSTART,2140M,2140,"1.12,8",32 039,200407,Axevalla,André Eklundh,3,2140,4,"13,9","2,69",35',200208,Solvalla,André Eklundh,2,2140,1,"13,6ag","8,63",220',200123,Åby,André Eklundh,3,2140,5,"15,5a","1,47",35',191221,Halmstad,André Eklundh,1,2140,9,"13,9","3,93",125',191202,Eskilstuna,Erik Adielsson,1,2160,3,"14,5","1,61",30'
2020-04-25,ÅBY,2,IKE SCHERMER,v,5,Rick Ebbinge,10,"5,62","1,46 - 2,35",0,AUTOSTART,2140M,2140,"1.12,9",47 492,191108,Wolvega,Rick Ebbinge,1,2100,,"13,2a","3,10",,191024,Wolvega,Rick Ebbinge,4,2100,,"13,9a","1,50",,190928,Solvalla,Rick Ebbinge,1,2140,6,"11,8a","2,07",250',190831,Jägersro,Rick Ebbinge,1,2140,4,"13,1a","2,09",125',190821,Jägersro,Rick Ebbinge,5,2640,7,"12,8a","6,94",200'
2020-04-25,ÅBY,2,ADDE S.H.,v,5,Peter Untersteiner,7,"21,56","2,31 - 4,43",0,AUTOSTART,2140M,2140,"1.13,0",29 256,200412,Romme,Ulf Ohlsson,4,1640,9,"13,6a","5,72",110',200328,Solvalla,Peter Untersteiner,2,2140,2,"12,2a","8,08",220',200314,Halmstad,Peter Untersteiner,1,1640,4,"11,6a","4,28",110',200220,Åby,Peter Untersteiner,1,1640,6,"13,4a","3,03",35',200206,Åby,Peter Untersteiner,0,2640,4,"15,4a","3,41",35'
2020-04-25,ÅBY,2,ZINCO JET,h,5,Ulf Ohlsson,8,"18,67","2,83 - 5,64",0,AUTOSTART,2140M,2140,"1.13,1",21 405,200411,Dannero,Ulf Ohlsson,1,1640,1,"13,0a","3,62",75',200327,Solvalla,Ulf Ohlsson,1,2140,10,"12,6a","6,98",40',191114,Örebro,Ulf Ohlsson,5,2100,1,"14,7a","12,71",35',191101,Örebro,Ulf Ohlsson,1,2660,1,"14,5","2,67",30',191013,Hamburg,Ulf Ohlsson,0,2200,,"13,8a","29,71",
2020-04-25,ÅBY,2,GOGO HALL,h,5,Erik Adielsson,1,"41,57","4,08 - 8,50",d,AUTOSTART,2140M,2140,ug,20 482,(200229),Jarlsberg,Frode Hamre,1,2100,,"15,9a","3,20",,200219,Bjerke,Frode Hamre,1,2100,,"14,6a","3,20",,(200111),Jarlsberg,Adrian Solberg Akselsen,2,2609,,"16,5a","8,80",,191227,Momarken,Frode Hamre,5,2680,,"16,1","6,80",,191208,Färjestad,Frode Hamre,d,2640,9,5ag,"3,80",35'
2020-04-25,ÅBY,3,WILD LOVE,s,6,Kevin Oscarsson,9,"9,71","2,32",1,AUTOSTART,2140M,2140,"1.11,7",30 675,200415,Jägersro,Kevin Oscarsson,3,2140,7,"13,5a","5,15",60',200328,Solvalla,Kevin Oscarsson,4,1640,7,"10,9a","9,81",220',200314,Halmstad,Kevin Oscarsson,2,2180,2,"13,2","3,27",110',200218,Jägersro,Kevin Oscarsson,3,2640,6,"15,0a","3,96",35',200201,Åby,Örjan Kihlström,4,2180,1,"14,3","3,85",150'
