iter	Passed	Remaining
0	34	10329
1	78	11711
2	108	10699
3	155	11486
4	177	10454
5	201	9887
6	230	9663
7	253	9240
8	295	9555
9	326	9460
10	349	9193
11	374	8990
12	397	8784
13	421	8614
14	451	8578
15	493	8750
16	524	8731
17	549	8605
18	587	8681
19	611	8556
20	634	8429
21	656	8301
22	690	8317
23	712	8194
24	734	8075
25	784	8266
26	816	8253
27	848	8243
28	869	8128
29	904	8143
30	935	8117
31	958	8024
32	997	8072
33	1020	7982
34	1061	8033
35	1088	7985
36	1120	7963
37	1150	7933
38	1181	7907
39	1204	7828
40	1227	7755
41	1273	7821
42	1303	7792
43	1326	7716
44	1353	7670
45	1375	7594
46	1414	7611
47	1436	7541
48	1489	7630
49	1519	7596
50	1542	7528
51	1563	7458
52	1596	7438
53	1617	7370
54	1648	7342
55	1671	7283
56	1704	7267
57	1736	7243
58	1765	7211
59	1801	7206
60	1825	7150
61	1870	7181
62	1892	7120
63	1916	7066
64	1971	7128
65	1995	7074
66	2018	7019
67	2043	6973
68	2067	6921
69	2094	6880
70	2118	6832
71	2142	6783
72	2167	6738
73	2197	6712
74	2229	6687
75	2260	6663
76	2283	6612
77	2307	6567
78	2333	6527
79	2357	6483
80	2393	6472
81	2429	6459
82	2456	6421
83	2479	6376
84	2514	6360
85	2545	6335
86	2576	6308
87	2607	6282
88	2631	6239
89	2668	6225
90	2692	6183
91	2730	6172
92	2753	6129
93	2776	6083
94	2799	6041
95	2854	6066
96	2877	6022
97	2904	5986
98	2930	5949
99	2954	5908
100	2995	5901
101	3069	5957
102	3101	5932
103	3124	5889
104	3146	5844
105	3173	5807
106	3206	5782
107	3285	5840
108	3310	5801
109	3345	5778
110	3377	5751
111	3409	5722
112	3434	5683
113	3456	5640
114	3483	5603
115	3512	5571
116	3534	5528
117	3557	5487
118	3591	5463
119	3615	5423
120	3652	5403
121	3681	5371
122	3709	5338
123	3762	5339
124	3786	5301
125	3822	5278
126	3867	5268
127	3891	5229
128	3926	5205
129	3950	5166
130	3975	5128
131	3999	5090
132	4034	5066
133	4063	5033
134	4096	5006
135	4127	4976
136	4159	4949
137	4188	4916
138	4220	4888
139	4245	4852
140	4269	4814
141	4293	4777
142	4327	4751
143	4357	4720
144	4380	4682
145	4402	4643
146	4435	4616
147	4467	4587
148	4493	4553
149	4517	4517
150	4541	4481
151	4564	4444
152	4603	4423
153	4634	4393
154	4678	4377
155	4709	4347
156	4733	4311
157	4756	4274
158	4786	4244
159	4820	4217
160	4844	4182
161	4877	4155
162	4901	4119
163	4940	4096
164	4969	4065
165	4991	4029
166	5019	3997
167	5048	3966
168	5073	3932
169	5097	3898
170	5121	3863
171	5145	3828
172	5168	3793
173	5203	3768
174	5245	3746
175	5268	3711
176	5292	3677
177	5316	3643
178	5340	3610
179	5365	3577
180	5404	3553
181	5433	3522
182	5461	3491
183	5489	3460
184	5513	3427
185	5554	3404
186	5583	3373
187	5613	3344
188	5637	3311
189	5664	3279
190	5690	3247
191	5721	3218
192	5750	3188
193	5773	3154
194	5796	3121
195	5828	3092
196	5860	3064
197	5883	3031
198	5906	2997
199	5931	2965
200	5966	2938
201	5998	2910
202	6020	2876
203	6045	2844
204	6071	2813
205	6104	2785
206	6136	2757
207	6159	2724
208	6184	2692
209	6215	2663
210	6240	2632
211	6262	2599
212	6291	2569
213	6315	2538
214	6340	2506
215	6364	2475
216	6388	2443
217	6411	2411
218	6445	2384
219	6480	2356
220	6521	2331
221	6550	2301
222	6573	2269
223	6596	2238
224	6625	2208
225	6654	2179
226	6678	2147
227	6702	2116
228	6732	2087
229	6755	2055
230	6779	2025
231	6809	1995
232	6841	1967
233	6864	1936
234	6902	1909
235	6949	1884
236	6972	1853
237	6994	1822
238	7016	1790
239	7039	1759
240	7059	1728
241	7087	1698
242	7113	1668
243	7136	1637
244	7156	1606
245	7183	1576
246	7226	1550
247	7253	1520
248	7287	1492
249	7316	1463
250	7348	1434
251	7379	1405
252	7402	1375
253	7427	1345
254	7453	1315
255	7473	1284
256	7501	1255
257	7527	1225
258	7564	1197
259	7588	1167
260	7624	1139
261	7646	1109
262	7673	1079
263	7696	1049
264	7729	1020
265	7762	992
266	7791	962
267	7824	934
268	7871	907
269	7900	877
270	7923	847
271	7952	818
272	7976	788
273	7999	759
274	8074	734
275	8106	704
276	8138	675
277	8157	645
278	8179	615
279	8203	585
280	8223	556
281	8247	526
282	8288	497
283	8324	468
284	8344	439
285	8374	409
286	8405	380
287	8439	351
288	8459	321
289	8479	292
290	8503	263
291	8524	233
292	8556	204
293	8623	175
294	8645	146
295	8666	117
296	8692	87
297	8729	58
298	8754	29
299	8773	0
