datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2022-07-24,axevalla,1,1,luringen la ma,5,v,andré eklundh,2140.0,0,2140.0,100000.0,1.0,13.0,7.75,2.2,18740.0,1,2022-07-02,eskilstuna-5,andré eklundh,3.0,2140.0,9.0,48.36,220.0,12.2,2022-06-21,axevalla-6,andré eklundh,1.0,1640.0,9.0,2.01,25.0,13.0,2022-06-08,tingsryd-9,andré eklundh,15.0,1609.0,9.0,5.74,110.0,30.0,2022-05-16,färjestad-7,fredrik berg,15.0,2140.0,9.0,2.94,30.0,12.9,2022-04-23,halmstad-9,andré eklundh,15.0,2640.0,9.0,7.48,110.0,14.5,8,1,1,1,1,1,5983.816015903301,5483.165792142293,10.488088481701515,5.477225575051661,10.488088481701515,22.0,11.0,13.0,23.0,23.0
2022-07-24,axevalla,1,2,bitcoind' arc,5,v,jorma kontio,2140.0,0,2140.0,100000.0,2.0,26.0,2.82,1.53,27223.0,4,2022-07-14,örebro-5,jorma kontio,3.0,2100.0,9.0,2.71,40.0,14.7,2022-01-15,gävle-10,jorma kontio,1.0,3140.0,9.0,1.98,110.0,15.2,2021-06-12,östersund-9,björn goop,5.0,2640.0,9.0,1.67,110.0,14.4,2021-04-23,åby-6,jorma kontio,5.0,2140.0,9.0,3.55,100.0,12.9,2021-04-07,solvalla-10,jorma kontio,5.0,2640.0,9.0,1.3,60.0,13.9,1,1,1,1,1,1,2551.5077222615173,11501.58559756547,1556.570344516668,1484.131591025766,1149.6033871246218,10.0,180.0,217.0,50.0,16.0
2022-07-24,axevalla,1,3,calamari,5,v,ulf ohlsson,2140.0,0,2140.0,100000.0,3.0,28.0,3.62,1.59,45333.0,5,2022-07-02,eskilstuna-6,ulf ohlsson,1.0,2140.0,7.0,7.17,220.0,12.9,2022-06-21,axevalla-5,ulf ohlsson,1.0,2640.0,7.0,2.21,25.0,14.8,2022-05-21,gävle-7,ulf ohlsson,1.0,1640.0,7.0,2.38,110.0,11.5,2022-05-08,vaggeryd-9,ulf ohlsson,1.0,2650.0,7.0,7.02,35.0,14.8,2022-03-21,axevalla-9,ulf ohlsson,1.0,2640.0,7.0,3.49,30.0,16.8,3,1,1,1,1,1,16265.698340872146,5483.165792142293,11501.58559756547,6487.769258055282,6006.507181794034,22.0,11.0,31.0,13.0,48.0
2022-07-24,axevalla,1,4,gazza b.r.,8,v,björn goop,2140.0,0,2140.0,100000.0,4.0,4.0,27.09,4.85,18143.0,7,2022-07-08,arvika-8,björn goop,1.0,2500.0,10.0,2.44,30.0,18.6,2022-06-20,örebro-8,carl johan jepson,5.0,2100.0,10.0,9.09,30.0,14.1,2021-11-04,örebro-9,björn goop,2.0,2680.0,10.0,1.88,40.0,15.4,2021-09-25,solvalla-1,björn goop,2.0,2160.0,10.0,2.91,60.0,13.9,2021-09-04,jägersro-9,björn goop,2.0,2140.0,10.0,20.63,110.0,14.0,20,0,1,0,0,1,6006.507181794034,812.8923507108439,4206.725054048198,5152.164935300037,6976.064300232707,16.0,18.0,228.0,40.0,21.0
2022-07-24,axevalla,1,5,gerben,5,v,hans crebas,2140.0,0,2140.0,100000.0,5.0,12.0,8.6,2.21,21857.0,3,2022-07-06,lindesberg-9,hans crebas,4.0,2640.0,9.0,9.97,110.0,15.2,2022-06-26,kalmar-11,hans crebas,3.0,2140.0,9.0,6.02,110.0,12.2,2022-06-12,vaggeryd-7,hans crebas,1.0,2148.0,9.0,2.22,20.0,13.7,2022-05-30,färjestad-8,hans crebas,1.0,2640.0,9.0,1.99,30.0,14.7,2022-05-07,åby-6,erik adielsson,1.0,2640.0,9.0,8.77,110.0,14.4,9,1,1,1,0,0,2566.350636345657,4231.196882217894,4904.29257725266,6006.507181794034,11501.58559756547,18.0,10.0,14.0,13.0,23.0
2022-07-24,axevalla,1,6,will i am,6,v,kajsa frick,2140.0,0,2140.0,100000.0,6.0,0.0,84.77,11.55,14058.0,8,2022-07-06,lindesberg-9,kajsa frick,6.0,2640.0,1.0,35.4,110.0,15.2,2022-06-16,lindesberg-8,kajsa frick,2.0,1640.0,1.0,2.69,22.0,13.3,2022-06-02,romme-3,kajsa frick,1.0,2140.0,1.0,4.71,30.0,14.7,2022-05-13,solvalla-4,kajsa frick,1.0,2140.0,1.0,16.12,40.0,13.5,2022-05-06,solvalla-6,anders eriksson,1.0,1640.0,1.0,35.44,40.0,11.9,29,1,1,1,1,1,944.1076379488159,3119.790798145967,6006.507181794034,6935.717076596412,6935.717076596412,18.0,20.0,14.0,20.0,7.0
2022-07-24,axevalla,1,7,vasco de gama,8,v,olof thorson,2140.0,0,2140.0,100000.0,7.0,0.0,75.03,10.14,8505.0,15,2022-06-21,jägersro-6,olof thorson,3.0,2140.0,2.0,29.4,40.0,12.9,2022-06-05,axevalla-10,henriette larsen,4.0,2140.0,2.0,18.49,150.0,13.8,2022-05-19,örebro-5,wilma karlsson,1.0,2660.0,2.0,5.72,30.0,14.9,2022-05-03,jägersro-9,olof thorson,1.0,2140.0,2.0,12.87,35.0,13.8,2022-04-21,jägersro-1,olof thorson,1.0,2140.0,2.0,10.42,30.0,14.6,28,1,1,0,1,1,2551.5077222615173,2996.85189111502,6006.507181794034,6487.769258055282,6006.507181794034,33.0,16.0,17.0,16.0,12.0
2022-07-24,axevalla,1,9,indigo,7,v,rick ebbinge,2140.0,0,2140.0,100000.0,9.0,4.0,14.56,3.06,15910.0,6,2022-07-07,halmstad-4,håkan b johansson,5.0,1640.0,7.0,2.83,125.0,12.0,2022-06-16,åby-4,rick ebbinge,5.0,2140.0,7.0,2.91,35.0,13.3,2022-06-04,mantorp-5,rick ebbinge,7.0,1640.0,7.0,14.56,110.0,10.7,2022-05-18,åby-8,daisy paling,7.0,2140.0,7.0,3.33,40.0,13.3,2022-04-27,jägersro-9,rick ebbinge,7.0,1640.0,7.0,1.93,60.0,11.0,14,1,1,1,1,1,1659.309562544265,878.0240901127003,572.6302284848314,345.309020272667,422.9154516242031,17.0,21.0,12.0,17.0,21.0
2022-07-24,axevalla,1,10,capital gain c.c.,5,v,oskar kylin blom,2140.0,0,2140.0,100000.0,10.0,12.0,6.73,2.02,17851.0,2,2022-07-13,solvalla-8,oskar kylin blom,1.0,1640.0,6.0,13.12,60.0,12.3,2022-06-11,östersund-7,oskar kylin blom,20.0,2140.0,6.0,13.46,110.0,30.0,2022-05-28,solvalla-4,oskar kylin blom,4.0,2140.0,6.0,6.47,100.0,13.6,2022-05-11,solvalla-7,oskar kylin blom,4.0,2640.0,6.0,3.7,40.0,15.9,2022-05-03,romme-4,oskar kylin blom,4.0,2140.0,6.0,5.1,30.0,13.6,7,1,1,1,0,1,8494.48391898452,0.8609147285877977,2446.919322642204,1547.5676620451568,1340.2329094063966,11.0,32.0,14.0,17.0,8.0
2022-07-24,axevalla,1,11,brunello hall,6,h,emilia leo,2140.0,0,2140.0,100000.0,11.0,0.0,66.08,11.95,15241.0,15,2022-07-08,bergsåker-7,sofia frilén,6.0,2140.0,8.0,3.78,30.0,14.3,2022-06-05,axevalla-10,hanna forslin,15.0,2140.0,8.0,11.12,150.0,14.4,2022-05-28,solvalla-4,emilia leo,1.0,2140.0,8.0,61.66,100.0,13.1,2022-05-20,bergsåker-7,emilia leo,1.0,2640.0,8.0,5.95,40.0,15.2,2022-04-30,örebro-5,emilia leo,1.0,2140.0,8.0,26.06,110.0,30.0,28,1,1,1,1,0,493.04413375200147,12.24744871391589,10966.331584284586,6935.717076596412,11501.58559756547,16.0,33.0,8.0,8.0,20.0
