datum,t1_vinst,t2_vinst,t3_vinst,t4_vinst,t1_utd,t2_utd,t3_utd,t4_utd,t1_kostn,t2_kostn,t3_kostn,t4_kostn,t1_7,t2_7,t3_7,t4_7,t1_6,t2_6,t3_6,t4_6,t1_5,t2_5,t3_5,t4_5
2016-06-11,1786,1678,1678,1678,2002,1918,1918,1918,216,240,240,240,0,0,0,0,2,2,2,2,24,22,22,22
2016-06-12,1570,1438,1438,1438,2002,1918,1918,1918,432,480,480,480,0,0,0,0,2,2,2,2,24,22,22,22
2016-06-18,17473,17341,17773,17253,18121,18037,18541,18021,648,696,768,768,1,1,1,1,13,13,15,13,77,75,89,74
2016-06-26,31727,31595,32326,31507,32555,32471,33364,32455,828,876,1038,948,2,2,2,2,26,26,29,26,138,136,162,135
2016-07-02,44720,44588,45319,39723,45788,45704,46597,40927,1068,1116,1278,1204,2,2,2,2,29,29,32,28,174,172,198,157
2016-07-07,44640,44456,45271,39591,45996,45860,46805,41083,1356,1404,1534,1492,2,2,2,2,29,29,32,28,182,178,206,163
2016-07-09,44450,44266,45081,39401,46094,45958,46903,41181,1644,1692,1822,1780,2,2,2,2,31,31,34,30,206,200,230,185
2016-07-10,45926,45742,46557,40945,47858,47722,48667,42887,1932,1980,2110,1942,3,3,3,3,43,43,46,40,270,264,294,228
2016-07-16,48844,48660,49475,43916,51019,50883,51828,46020,2175,2223,2353,2104,4,4,4,4,54,54,57,50,320,314,344,269
2016-07-23,49630,48981,49796,44237,52093,51420,52365,46557,2463,2439,2569,2320,4,4,4,4,54,54,57,50,326,317,347,272
2016-07-24,50601,49952,50767,45124,53304,52631,53576,47660,2703,2679,2809,2536,4,4,4,4,55,55,58,51,339,330,360,283
2016-07-26,50460,50804,51619,45976,53379,53699,54644,48728,2919,2895,3025,2752,4,4,4,4,55,57,60,53,342,352,382,305
2016-07-30,50376,50672,51487,45844,53535,53855,54800,48884,3159,3183,3313,3040,4,4,4,4,55,57,60,53,348,358,388,311
2016-08-06,50106,50402,51217,45628,53535,53855,54800,48884,3429,3453,3583,3256,4,4,4,4,55,57,60,53,348,358,388,311
2016-08-07,49818,50114,50929,45412,53535,53855,54800,48884,3717,3741,3871,3472,4,4,4,4,55,57,60,53,348,358,388,311
2016-08-17,52900,53196,54011,48522,56905,57225,58170,52210,4005,4029,4159,3688,5,5,5,5,67,69,72,64,409,419,449,360
2016-08-20,52916,56778,57593,52104,57209,61095,62040,56080,4293,4317,4447,3976,5,5,5,5,67,70,73,65,411,431,461,372
2016-08-27,91781,95643,59300,90969,96290,100176,64017,95161,4509,4533,4717,4192,6,6,5,6,78,81,76,76,462,482,500,423
2016-09-03,91565,95427,59084,90753,96290,100176,64017,95161,4725,4749,4933,4408,6,6,5,6,78,81,76,76,462,482,500,423
2016-09-04,92858,96720,60321,91950,97743,101629,65494,96614,4885,4909,5173,4664,7,7,6,7,90,93,89,88,519,539,571,483
2016-09-10,93367,97229,60830,92459,98468,102354,66219,97339,5101,5125,5389,4880,8,8,7,8,101,104,100,99,572,592,624,536
2016-09-17,101905,105677,69278,100907,107276,111090,74955,106075,5371,5413,5677,5168,9,9,8,9,113,115,111,110,629,645,677,589
2016-09-18,101730,105502,69103,100767,107371,111185,75050,106151,5641,5683,5947,5384,9,9,8,9,118,120,116,114,689,705,737,633
2016-09-24,104966,108738,72339,104058,110850,114664,78529,109604,5884,5926,6190,5546,10,10,9,10,129,131,127,124,739,755,787,674
2016-09-25,106764,110508,74109,105828,112872,116602,80467,111542,6108,6094,6358,5714,10,10,9,10,131,133,129,126,767,781,813,700
2016-10-01,106584,110328,73929,105648,112962,116692,80557,111632,6378,6364,6628,5984,10,10,9,10,134,136,132,129,803,817,849,736
2016-10-08,106296,110040,73641,105360,112962,116692,80557,111632,6666,6652,6916,6272,10,10,9,10,134,136,132,129,803,817,849,736
2016-10-15,107011,110732,74333,106052,113920,117600,81465,112540,6909,6868,7132,6488,10,10,9,10,136,138,134,131,825,837,869,756
2016-10-22,107625,111346,74947,106594,114750,118430,82295,113370,7125,7084,7348,6776,10,10,9,10,138,140,136,133,847,859,891,778
2016-10-23,107337,111058,74659,106306,114750,118430,82295,113370,7413,7372,7636,7064,10,10,9,10,141,143,139,136,883,895,927,814
2016-10-29,107526,111175,74776,106423,115155,118835,82700,113775,7629,7660,7924,7352,11,11,10,11,152,155,151,148,934,955,987,874
2016-11-05,107238,111047,74648,106295,115155,118923,82788,113863,7917,7876,8140,7568,11,11,10,11,152,155,151,148,934,957,989,876
2016-11-06,107514,111131,74732,106379,115647,119169,83034,114109,8133,8038,8302,7730,11,11,10,11,152,155,151,148,938,959,991,878
2016-11-12,108550,112095,75696,107343,116899,120421,84286,115361,8349,8326,8590,8018,11,11,10,11,156,159,155,152,986,1007,1039,926
2016-11-19,111676,115221,78822,110469,120241,123763,87628,118703,8565,8542,8806,8234,12,12,11,12,167,170,166,163,1039,1060,1092,979
2016-11-26,111460,115005,78606,110253,120241,123763,87628,118703,8781,8758,9022,8450,12,12,11,12,167,170,166,163,1039,1060,1092,979
2016-11-27,112130,115675,79276,110923,121127,124649,88514,119589,8997,8974,9238,8666,12,12,11,12,169,172,168,165,1061,1082,1114,1001
2016-12-03,111860,115405,79006,110707,121127,124649,88514,119589,9267,9244,9508,8882,12,12,11,12,169,172,168,165,1070,1091,1123,1010
2016-12-10,112850,116395,79996,111175,122387,125909,89774,120219,9537,9514,9778,9044,12,12,11,12,169,172,168,165,1076,1097,1129,1013
2016-12-17,112634,117076,80677,111856,122459,126878,90743,121188,9825,9802,10066,9332,12,12,11,12,169,175,171,168,1080,1133,1165,1049
2016-12-23,112391,116833,80434,111613,122459,126878,90743,121188,10068,10045,10309,9575,12,12,11,12,169,175,171,168,1080,1133,1165,1049
2016-12-25,113831,117589,81190,112369,124187,127850,91715,122160,10356,10261,10525,9791,12,12,11,12,169,175,171,168,1096,1142,1174,1058
2016-12-26,113843,117601,81134,112327,124361,128024,91947,122334,10518,10423,10813,10007,12,12,11,12,172,178,175,171,1129,1175,1226,1091
2016-12-27,114968,118726,82259,113077,125729,129392,93315,123246,10761,10666,11056,10169,12,12,11,12,172,178,175,171,1138,1184,1235,1097
2016-12-28,123490,127248,90781,112971,134539,138202,102125,123428,11049,10954,11344,10457,13,13,12,12,184,190,187,173,1198,1244,1295,1119
2016-12-29,123330,126960,90493,112683,134667,138202,102125,123428,11337,11242,11632,10745,13,13,12,12,184,190,187,173,1202,1244,1295,1119
2016-12-30,127184,130814,94347,116537,138809,142344,106267,127570,11625,11530,11920,11033,13,13,12,12,186,192,189,175,1226,1268,1319,1143
2016-12-31,127988,131141,94674,116864,139901,142863,106786,128089,11913,11722,12112,11225,13,13,12,12,188,193,190,176,1250,1279,1330,1154
2017-01-07,130451,133604,97287,119327,142580,145542,109669,130768,12129,11938,12382,11441,13,13,12,12,191,196,193,179,1283,1312,1369,1187
2017-01-14,131621,134774,98457,120416,144020,146982,111109,132145,12399,12208,12652,11729,13,13,12,12,194,199,196,182,1319,1348,1405,1220
2017-01-21,132287,135440,99123,121082,144929,147891,112018,133054,12642,12451,12895,11972,13,13,12,12,194,199,196,182,1328,1357,1414,1229
2017-01-28,144663,147528,111211,133170,157521,160141,124268,145304,12858,12613,13057,12134,14,14,13,13,205,209,206,192,1377,1398,1455,1270
2017-01-29,144393,147492,111175,133134,157521,160393,124520,145556,13128,12901,13345,12422,14,14,13,13,205,209,206,192,1377,1402,1459,1274
2017-02-04,161794,164507,128190,150149,175210,177696,141823,162859,13416,13189,13633,12710,15,15,14,14,217,220,217,203,1435,1453,1510,1325
2017-02-11,162194,164907,128590,150549,175898,178384,142511,163547,13704,13477,13921,12998,15,15,14,14,218,221,218,204,1448,1466,1523,1338
2017-02-18,161954,164667,128350,150309,175898,178384,142511,163547,13944,13717,14161,13238,15,15,14,14,218,221,218,204,1448,1466,1523,1338
2017-02-25,161711,164424,128080,150066,175898,178384,142511,163547,14187,13960,14431,13481,15,15,14,14,218,221,218,204,1457,1475,1535,1347
2017-02-26,207263,186292,149948,171934,221706,200540,164667,185703,14443,14248,14719,13769,15,15,14,14,222,223,220,206,1505,1497,1557,1369
2017-03-04,207284,186198,149854,171840,221889,200662,164789,185825,14605,14464,14935,13985,15,15,14,14,222,223,220,206,1508,1499,1559,1371
2017-03-11,207149,186063,149719,171705,222042,200815,164942,185978,14893,14752,15223,14273,15,15,14,14,225,226,223,209,1544,1535,1595,1407
2017-03-18,208747,187661,151317,173303,223883,202656,166783,187819,15136,14995,15466,14516,16,16,15,15,236,237,234,220,1598,1589,1649,1461
2017-03-25,209047,187445,151101,173087,224471,202656,166783,187819,15424,15211,15682,14732,16,16,15,15,236,237,234,220,1604,1589,1649,1461
2017-03-26,210058,188017,151673,173659,225725,203444,167571,188607,15667,15427,15898,14948,16,16,15,15,239,239,236,222,1637,1609,1669,1481
2017-04-01,209842,187801,151385,173371,225725,203444,167571,188607,15883,15643,16186,15236,16,16,15,15,239,239,236,222,1637,1609,1669,1481
2017-04-08,209554,187513,151097,173155,225725,203444,167571,188607,16171,15931,16474,15452,16,16,15,15,239,239,236,222,1637,1609,1669,1481
2017-04-14,210382,188341,151925,173653,226796,204515,168642,189321,16414,16174,16717,15668,16,16,15,15,239,239,236,222,1646,1618,1678,1487
2017-04-16,210972,188931,152515,173840,227656,205375,169502,189751,16684,16444,16987,15911,16,16,15,15,239,239,236,222,1650,1622,1682,1489
2017-04-22,212452,190411,153995,174872,229436,207155,171282,191039,16984,16744,17287,16167,16,16,15,15,244,244,241,226,1715,1687,1747,1533
2017-04-29,212212,190171,153755,174632,229436,207155,171282,191039,17224,16984,17527,16407,16,16,15,15,244,244,241,226,1715,1687,1747,1533
2017-05-01,212034,190559,154143,175020,229498,207735,171862,191619,17464,17176,17719,16599,16,16,15,15,244,245,242,227,1717,1698,1758,1544
2017-05-06,211818,190343,153927,174804,229498,207735,171862,191619,17680,17392,17935,16815,16,16,15,15,244,245,242,227,1717,1698,1758,1544
2017-05-07,211863,190689,162865,175150,229813,208297,181070,192181,17950,17608,18205,17031,16,16,16,15,245,247,254,229,1729,1718,1815,1564
2017-05-13,211651,190587,162763,175048,229889,208411,181184,192295,18238,17824,18421,17247,16,16,16,15,245,247,254,229,1733,1724,1821,1570
2017-05-14,211435,190299,162475,174760,229889,208411,181184,192295,18454,18112,18709,17535,16,16,16,15,245,247,254,229,1733,1724,1821,1570
2017-05-20,211387,190251,162427,174632,230129,208651,181424,192455,18742,18400,18997,17823,16,16,16,15,245,247,254,229,1745,1736,1833,1578
2017-05-27,212218,191082,163258,175078,231230,209752,182525,193189,19012,18670,19267,18111,16,16,16,15,245,247,254,229,1748,1739,1836,1580
2017-05-28,212018,193261,165437,177257,231273,212147,184920,195584,19255,18886,19483,18327,16,17,17,16,246,257,264,239,1759,1783,1880,1624
2017-06-03,212522,193765,165941,177761,231993,212867,185640,196304,19471,19102,19699,18543,16,17,17,16,246,257,264,239,1763,1787,1884,1628
2017-06-10,213752,194461,166637,178457,233511,213779,186552,197216,19759,19318,19915,18759,16,17,17,16,249,259,266,241,1802,1809,1906,1650
2017-06-11,213698,194407,166583,178403,233727,213995,186768,197432,20029,19588,20185,19029,16,17,17,16,249,259,266,241,1808,1815,1912,1656
2017-06-17,213428,194137,166503,178187,233727,213995,186928,197432,20299,19858,20425,19245,16,17,17,16,249,259,268,241,1812,1819,1938,1658
