iter	Recall	Logloss
0	0	0.6563524126
1	0	0.624711155
2	0	0.596272511233	0	0.570888147444	0	0.547637955655	0	0.526133766466	0	0.504386114577	0	0.486311591788	0	0.469391181499	0	0.4532296826110	0	0.4376431853111	0	0.4217436891212	0	0.4080731051313	0	0.3963982741414	0	0.3853173581515	0	0.3773678641616	0	0.3699805792
17	0	0.359127911
18	0	0.3507714464
19	0	0.3440900619
20	0	0.3368134722
21	0	0.3314207317
22	0	0.3269407592
23	0	0.3198606518
24	0	0.3136286683
25	0	0.30867878
26	0	0.3029326801
27	0.0005555555556	0.2995843424
28	0.0005555555556	0.2948466615
29	0.002222222222	0.289992636
30	0.005555555556	0.2851495261
31	0.005555555556	0.2818971134
32	0.006666666667	0.2796052487
33	0.01444444444	0.2775570033
34	0.01611111111	0.2750288816
35	0.02277777778	0.2719123036
36	0.02833333333	0.2683202098
37	0.03555555556	0.264990519
38	0.03611111111	0.2622400477
39	0.03944444444	0.2595759021
40	0.04055555556	0.2578211247
41	0.04166666667	0.2566892406
42	0.04333333333	0.2546139926
43	0.04611111111	0.2527934602
44	0.04944444444	0.2508466698
45	0.04833333333	0.2493214204
46	0.05	0.2475658072
47	0.05222222222	0.245857476
48	0.05833333333	0.2448974284
49	0.06166666667	0.2437310887
50	0.06888888889	0.2428079286
51	0.06777777778	0.2415421152	52	0.07333333333	0.2404233753	53	0.07611111111	0.2395588554	54	0.07833333333	0.2388871955	55	0.07888888889	056	0.09	0.2356	0.081657	0.09	0.2362087489
58	0.09333333333	0.2347848993
59	0.095	0.2339004677
60	0.095	0.2324682539
61	0.095	0.2322579895
62	0.095	0.231125717
63	0.095	0.2300054038
64	0.095	0.2291026813
65	0.095	0.2285695522
66	0.095	0.2282436506
67	0.095	0.2274003531
68	0.095	0.2265958019
69	0.09666666667	0.2262093007
70	0.1	0.2259006061
71	0.1016666667	0.2255396092
72	0.1016666667	0.2249570143
73	0.1016666667	0.224357142
74	0.1016666667	0.2237220183
75	0.1033333333	0.2235053977
76	0.105	0.2229549621
77	0.1033333333	0.2227006153
78	0.105	0.2218691426
79	0.105	0.2212514726
80	0.105	0.220601828
81	0.105	0.2202635314
82	0.1066666667	0.2199204158
83	0.1066666667	0.2197333455
84	0.1066666667	0.2193299747
85	0.1066666667	0.2187279797
86	0.1066666667	0.2181924993
87	0.1066666667	0.2179880114
88	0.1066666667	0.2176805968
89	0.1066666667	0.2175585853
90	0.1066666667	0.2170382326
91	0.1066666667	0.2163683977
92	0.1066666667	0.2162157985
93	0.1066666667	0.2158180437
94	0.1066666667	0.2157600105
95	0.1066666667	0.2156175934
96	0.1066666667	0.2153944402
97	0.1066666667	0.2150640331
98	0.1083333333	0.2147196011
99	0.11	0.2143711973
100	0.1116666667	0.2141239491
101	0.1133333333	0.2137222725
102	0.1133333333	0.2135756842
103	0.1133333333	0.213108861
104	0.115	0.2128811195
105	0.115	0.2123014569
106	0.1183333333	0.2120460365
