iter	Passed	Remaining
0	417	626168
1	783	587210
2	1182	589896
3	1566	585967
4	1993	596033
5	2369	590099
6	2742	584910
7	3101	578483
8	3468	574570
9	3840	572200
10	4218	571092
11	4607	571290
12	4973	568863
13	5377	570794
14	5727	567021
15	6150	570432
16	6596	575447
17	7030	578813
18	7406	577295
19	7776	575464
20	8189	576761
21	8599	577740
22	9032	580039
23	9457	581652
24	9872	582467
25	10234	580239
26	10641	580546
27	11012	578947
28	11462	581415
29	11818	579108
30	12239	580007
31	12648	580250
32	13089	581865
33	13468	580713
34	13901	581858
35	14263	580066
36	14625	578316
37	15005	577309
38	15404	577093
39	15788	576269
40	16155	574882
41	16524	573645
42	16930	573669
43	17286	572026
44	17657	570931
45	18034	570037
46	18455	570552
47	18826	569513
48	19197	568476
49	19578	567785
50	19959	567083
51	20348	566620
52	20721	565727
53	21078	564438
54	21417	562709
55	21768	561306
56	22139	560468
57	22502	559459
58	22899	559298
59	23218	557240
60	23613	557036
61	24008	556844
62	24406	556704
63	24812	556720
64	25185	556024
65	25551	555171
66	25950	555032
67	26369	555303
68	26757	554918
69	27070	553005
70	27460	552682
71	27861	552595
72	28233	551907
73	28622	551555
74	28986	550751
75	29379	550480
76	29778	550316
77	30159	549833
78	30525	549064
79	30916	548761
80	31273	547873
81	31654	547396
82	32040	547011
83	32422	546554
84	32820	546367
85	33246	546631
86	33669	546831
87	34064	546586
88	34464	546403
89	34891	546636
90	35277	546216
91	35700	546377
92	36073	545760
93	36440	545059
94	36859	545129
95	37247	544751
96	37619	544132
97	37997	543604
98	38390	543282
99	38723	542128
100	39056	540983
101	39408	540126
102	39814	540004
103	40210	539753
104	40562	538896
105	40972	538829
106	41367	538550
107	41784	538550
108	42178	538258
109	42527	537398
110	42928	537192
111	43290	536492
112	43704	536448
113	44065	535744
114	44532	536322
115	44955	536370
116	45353	536107
117	45751	535834
118	46123	535265
119	46500	534752
120	46888	534379
121	47251	533712
122	47672	533701
123	48030	532983
124	48372	532095
125	48733	531430
126	49133	531188
127	49531	530916
128	49900	530340
129	50259	529662
130	50686	529693
131	51005	528600
132	51392	528221
133	51754	527587
134	52130	527092
135	52490	526448
136	52842	525722
137	53258	525635
138	53651	525325
139	54045	525011
140	54424	524564
141	54803	524103
142	55173	523567
143	55572	523312
144	55961	522951
145	56370	522777
146	56773	522545
147	57139	521977
148	57524	521577
149	57914	521232
150	58280	520661
151	58644	520083
152	59048	519859
153	59434	519474
154	59803	518942
155	60218	518807
156	60562	518062
157	60930	517525
158	61322	517191
159	61703	516769
160	62103	516499
161	62533	516483
162	62886	515825
163	63297	515640
164	63691	515324
165	64083	514981
166	64485	514729
167	64801	513786
168	65226	513703
169	65599	513220
170	65995	512910
171	66401	512679
172	66727	511832
173	67131	511591
174	67464	510803
175	67860	510497
176	68220	509919
177	68636	509761
178	69065	509697
179	69462	509395
180	69827	508850
181	70229	508587
182	70595	508059
183	70987	507715
184	71391	507459
185	71734	506772
186	72141	506530
187	72514	506055
188	72892	505621
189	73264	505139
190	73650	504759
191	74068	504594
192	74472	504331
193	74858	503944
194	75292	503878
195	75681	503512
196	76043	502964
197	76421	502531
198	76836	502330
199	77199	501798
200	77598	501492
201	77976	501056
202	78383	500802
203	78778	500472
204	79145	499967
205	79598	500001
206	79940	499338
207	80326	498952
208	80708	498539
209	81101	498192
210	81527	498052
211	81920	497707
212	82268	497084
213	82663	496750
214	83055	496401
215	83423	495903
216	83782	495359
217	84150	494866
218	84551	494565
219	84937	494182
220	85305	493691
221	85668	493170
222	86042	492716
223	86431	492350
224	86672	491145
225	87165	491369
226	87644	491501
227	88037	491155
228	88412	490706
229	88857	490646
230	89249	490294
231	89637	489914
232	90016	489486
233	90391	489041
234	90729	488393
235	91109	487974
236	91487	487546
237	91894	487272
238	92269	486825
239	92651	486420
240	93016	485923
241	93405	485554
242	93782	485119
243	94150	484642
244	94507	484109
245	94869	483603
246	95200	482940
247	95576	482505
248	95947	482051
249	96311	481557
250	96664	481010
251	97069	480723
252	97410	480122
253	97782	479674
254	98168	479294
255	98522	478756
256	98942	478543
257	99327	478158
258	99703	477730
259	100085	477332
260	100460	476900
261	100809	476342
262	101113	475581
263	101456	474999
264	101820	474521
265	102188	474062
266	102554	473595
267	102948	473253
268	103249	472491
269	103658	472223
270	104048	471867
271	104439	471514
272	104789	470976
273	105166	470562
274	105534	470109
275	105934	469794
276	106291	469293
277	106642	468765
278	107036	468427
279	107441	468138
280	107797	467632
281	108178	467238
282	108613	467074
283	109002	466713
284	109401	466396
285	109773	465961
286	110133	465478
287	110532	465157
288	110916	464773
289	111310	464434
290	111687	464019
291	112017	463416
292	112397	463016
293	112760	462549
294	113142	462160
295	113537	461822
296	113867	461221
297	114272	460923
298	114621	460401
299	115005	460021
300	115383	459617
301	115809	459404
302	116201	459054
303	116578	458642
304	116948	458208
305	117359	457932
306	117743	457549
307	118155	457277
308	118568	457008
309	118985	456751
310	119362	456340
311	119725	455878
312	120086	455409
313	120429	454871
314	120816	454499
315	121217	454181
316	121592	453766
317	121988	453430
318	122379	453073
319	122771	452719
320	123124	452223
321	123509	451845
322	123852	451313
323	124250	450983
324	124634	450601
325	124941	449941
326	125334	449596
327	125722	449229
328	126126	448918
329	126492	448473
330	126853	448009
331	127238	447633
332	127645	447333
333	127993	446829
334	128303	446190
335	128673	445762
336	129084	445475
337	129472	445110
338	129902	444886
339	130320	444621
340	130688	444188
341	131081	443838
342	131478	443501
343	131890	443212
344	132283	442863
345	132650	442423
346	133009	441959
347	133405	441616
348	133784	441218
349	134188	440904
350	134569	440515
351	134954	440135
352	135316	439681
353	135740	439431
354	136064	438855
355	136409	438350
356	136777	437918
357	137166	437552
358	137576	437255
359	137942	436818
360	138334	436461
361	138720	436087
