iter	Accuracy	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.7405967277	0.6844155967	0.6844155967	0.6850106479	0.7320188836	0.7320188836	0.7447963716	0.2159239843	0.7383523519	0.3334809286	0.7405967277	0.7476953284
1	0.7405967277	0.6744465821	0.6744465821	0.6748571991	0.7320188836	0.7320188836	0.7447963716	0.2159239843	0.7383523519	0.3334809286	0.7405967277	0.7476953284
2	0.7408063604	0.6651304228	0.6651304228	0.6653537026	0.7320188836	0.7320188836	0.7451142251	0.2162073491	0.7385085068	0.3338187805	0.7408063604	0.7480784426
3	0.7409976188	0.6563768343	0.6563768343	0.6564987231	0.7322965843	0.7322965843	0.7452657439	0.216342604	0.7387242463	0.3340088664	0.7409976188	0.7481981658
4	0.7409321086	0.6497897536	0.6497897536	0.6501064602	0.7322965843	0.7322965843	0.7451663829	0.2162538954	0.7386754308	0.3339031339	0.7409321086	0.7480784426
5	0.7408172717	0.6431864924	0.6431864924	0.6429233474	0.7514579284	0.7514579284	0.7357991499	0.2081058217	0.7435461064	0.3259455553	0.7408172717	0.7320115892
6	0.741018605	0.6364288215	0.6364288215	0.6362209408	0.7553457373	0.7553457373	0.734304768	0.2068441065	0.7446766532	0.3247567309	0.741018605	0.729162177
7	0.7408848703	0.629240045	0.629240045	0.6288938581	0.7561788392	0.7561788392	0.7337353808	0.2063660477	0.7447880705	0.3242438676	0.7408848703	0.7282283361
8	0.7408455642	0.6236535838	0.6236535838	0.6234916055	0.7561788392	0.7561788392	0.7336794165	0.2063191393	0.7447592378	0.3241859635	0.7408455642	0.7281565022
9	0.7407276459	0.6192728791	0.6192728791	0.6187825842	0.7561788392	0.7561788392	0.7335115747	0.2061785417	0.7446727534	0.3240123751	0.7407276459	0.7279410004
10	0.740780054	0.6143778359	0.6143778359	0.613772949	0.7561788392	0.7561788392	0.7335861615	0.2062410058	0.7447111884	0.3240895025	0.740780054	0.728036779
11	0.7407407479	0.6090787242	0.6090787242	0.6084177078	0.7561788392	0.7561788392	0.7335302199	0.2061941542	0.7446823617	0.3240316535	0.7407407479	0.727964945
12	0.7409922445	0.604519821	0.604519821	0.6040594835	0.7567342405	0.7567342405	0.7336364307	0.2062831188	0.7450063503	0.324192493	0.7409922445	0.727964945
13	0.7410524825	0.5998045306	0.5998045306	0.5993557881	0.7570119411	0.7570119411	0.7335963343	0.2062495271	0.7451202226	0.3241764776	0.7410524825	0.7278452218
14	0.7409529383	0.5952008582	0.5952008582	0.5947235787	0.7567342405	0.7567342405	0.7335805225	0.2062362824	0.744977522	0.3241346497	0.7409529383	0.7278931111
15	0.7408795982	0.5906869838	0.5906869838	0.5900595854	0.7564565399	0.7564565399	0.7336019831	0.2062542591	0.7448539896	0.324131366	0.7408795982	0.7279888897
16	0.7411336526	0.5876468618	0.5876468618	0.5868677376	0.7575673424	0.7575673424	0.7334604143	0.206135711	0.745318998	0.3240867241	0.7411336526	0.7275339415
17	0.7414846933	0.5842455425	0.5842455425	0.5832949257	0.7584004443	0.7584004443	0.7335822488	0.2062377284	0.745784929	0.3242890221	0.7414846933	0.7274860522
18	0.7424537748	0.58085651	0.58085651	0.5800458518	0.7625659539	0.7625659539	0.7330783419	0.2058162195	0.7475314641	0.3241456649	0.7424537748	0.7258099274
19	0.7443331621	0.5784408138	0.5784408138	0.5776336127	0.7808941961	0.7808941961	0.7276844017	0.2013749642	0.7533509049	0.3201821805	0.7443331621	0.7140770539
20	0.7443361893	0.5751527861	0.5751527861	0.5743152011	0.7772840878	0.7772840878	0.7292308347	0.2026351987	0.7524910848	0.3214654875	0.7443361893	0.7170701339
21	0.7456775565	0.5721665872	0.5721665872	0.5714653629	0.7797833935	0.7797833935	0.7299895764	0.203257329	0.7540653601	0.3224621038	0.7456775565	0.7174532481
22	0.7457401959	0.5693777246	0.5693777246	0.5686982114	0.7820049986	0.7820049986	0.7291220574	0.202546213	0.7546381904	0.3217550274	0.7457401959	0.715729234
23	0.7455208014	0.5661732583	0.5661732583	0.5653816828	0.7756178839	0.7756178839	0.7315809721	0.2045704241	0.752956099	0.3237510143	0.7455208014	0.7206139406
24	0.7441484275	0.5640625778	0.5640625778	0.5633675573	0.7692307692	0.7692307692	0.7324858427	0.2053220666	0.7504087572	0.3241282471	0.7441484275	0.7233915188
25	0.743862897	0.561792783	0.561792783	0.5610264143	0.7683976673	0.7683976673	0.7324563638	0.2052975219	0.7499966682	0.3240236548	0.743862897	0.7235591313
26	0.7445360601	0.5602198978	0.5602198978	0.5593356604	0.7708969731	0.7708969731	0.7322893361	0.2051585249	0.7510973579	0.3240719122	0.7445360601	0.7227210689
27	0.7447482506	0.558304806	0.558304806	0.5575134396	0.7714523743	0.7714523743	0.732339404	0.2052001773	0.7513872335	0.3241729389	0.7447482506	0.722649235
28	0.7444024819	0.5562936001	0.5562936001	0.5554683221	0.7703415718	0.7703415718	0.7323486507	0.205207871	0.7508648186	0.3240843507	0.7444024819	0.7229365706
29	0.7443684479	0.5543358464	0.5543358464	0.5534879719	0.7700638711	0.7700638711	0.7324239769	0.2052705604	0.7507724521	0.324137931	0.7443684479	0.7231041831
30	0.7443213119	0.5525106743	0.5525106743	0.5516852054	0.7697861705	0.7697861705	0.7324811086	0.2053181246	0.7506704505	0.3241726114	0.7443213119	0.723247851
31	0.7441276521	0.5514076123	0.5514076123	0.550720952	0.7675645654	0.7675645654	0.7331968186	0.2059152201	0.7499871778	0.3247180451	0.7441276521	0.7247324186
32	0.7440279514	0.5493858354	0.5493858354	0.54886167	0.768675368	0.768675368	0.7325637538	0.2053869556	0.7501852368	0.3241597377	0.7440279514	0.7236309652
33	0.7439940738	0.5484632725	0.5484632725	0.5480671733	0.7670091641	0.7670091641	0.7332571968	0.2059656972	0.7497535161	0.3247310564	0.7439940738	0.7249479204
34	0.7444000806	0.5465436685	0.5465436685	0.5461532587	0.7683976673	0.7683976673	0.7332072519	0.2059239414	0.7503901124	0.3248033807	0.7444000806	0.7245408615
35	0.7446280874	0.5450717167	0.5450717167	0.5446872972	0.7681199667	0.7681199667	0.7336503114	0.2062947494	0.7504895535	0.325239579	0.7446280874	0.7251873668
36	0.7447643798	0.5435363541	0.5435363541	0.5431590151	0.767842266	0.767842266	0.7339655147	0.2065590916	0.7505218061	0.3255430623	0.7447643798	0.7256662596
37	0.7455217403	0.5414828683	0.5414828683	0.5408757417	0.7672868648	0.7672868648	0.7352799398	0.2076662909	0.7509425045	0.3268662013	0.7455217403	0.7275099969
38	0.7444237268	0.5407704543	0.5407704543	0.5402644365	0.767842266	0.767842266	0.7334878328	0.2061586639	0.7502719889	0.3250455534	0.7444237268	0.725043699
39	0.7445127268	0.5397108059	0.5397108059	0.539412834	0.768675368	0.768675368	0.7332412704	0.205952381	0.7505403282	0.3248635643	0.7445127268	0.7245169169
40	0.7444210125	0.5385203155	0.5385203155	0.5382094919	0.768675368	0.768675368	0.7331129955	0.2058451699	0.750473123	0.3247301736	0.7444210125	0.7243493044
41	0.7445258289	0.5373458629	0.5373458629	0.5370588283	0.768675368	0.768675368	0.7332595991	0.2059677059	0.7505499299	0.3248826291	0.7445258289	0.7245408615
42	0.7450631689	0.53652823	0.53652823	0.5363904905	0.7672868648	0.7672868648	0.734634281	0.2071214393	0.7506056304	0.3261908978	0.7450631689	0.7266719345
43	0.7448875703	0.5355966435	0.5355966435	0.5355847031	0.7675645654	0.7675645654	0.7342628109	0.206808829	0.750544469	0.3258281268	0.7448875703	0.7261212078
44	0.7459593797	0.5348887751	0.5348887751	0.5350240573	0.7670091641	0.7670091641	0.7360229108	0.2082956259	0.7511966338	0.3276199514	0.7459593797	0.7285396164
45	0.7469736653	0.5343661164	0.5343661164	0.5346026537	0.7653429603	0.7653429603	0.7382217287	0.2101731107	0.7515377387	0.3297834151	0.7469736653	0.7317721428
46	0.7465913048	0.5330313088	0.5330313088	0.5333313354	0.7633990558	0.7633990558	0.7385715947	0.21047393	0.7507801272	0.3299723923	0.7465913048	0.7326820391
47	0.7468899374	0.5322799694	0.5322799694	0.532691839	0.7642321577	0.7642321577	0.7386137469	0.2105102119	0.7512045989	0.3300947583	0.7468899374	0.7325383713
48	0.7468872231	0.5314946279	0.5314946279	0.5319593957	0.7650652597	0.7650652597	0.7382262462	0.2101769912	0.7514061678	0.3297624035	0.7468872231	0.7318439767
49	0.7466251823	0.5308302984	0.5308302984	0.5314218708	0.7650652597	0.7650652597	0.7378531165	0.2098567946	0.7512128338	0.3293681631	0.7466251823	0.7313650839
50	0.7463765565	0.5300965402	0.5300965402	0.5308081071	0.7622882533	0.7622882533	0.7387778296	0.2106515233	0.7503489256	0.3300865801	0.7463765565	0.7332088212
51	0.7466203796	0.529105169	0.529105169	0.5298582978	0.7611774507	0.7611774507	0.7396433626	0.2113990437	0.7502559189	0.3308987747	0.7466203796	0.7345736657
52	0.746486645	0.5284191576	0.5284191576	0.529275872	0.7620105526	0.7620105526	0.7390642172	0.2108984705	0.7503619991	0.3303635926	0.746486645	0.7336398247
53	0.7467747333	0.5278429926	0.5278429926	0.5288062195	0.7633990558	0.7633990558	0.7388338261	0.2106997777	0.7509155898	0.3302498799	0.7467747333	0.7330172641
54	0.746737985	0.5271115847	0.5271115847	0.5281381783	0.7639544571	0.7639544571	0.7385248655	0.2104337184	0.7510244623	0.3299748111	0.746737985	0.732490482
55	0.7464420667	0.5263475865	0.5263475865	0.527419214	0.7622882533	0.7622882533	0.7388716511	0.2107323814	0.7503973143	0.3301858423	0.7464420667	0.7333285444
56	0.7469870803	0.5254500477	0.5254500477	0.5265656952	0.7625659539	0.7625659539	0.7395240445	0.2112957833	0.7508682689	0.3309031753	0.7469870803	0.7340947729
57	0.7469947537	0.5250902049	0.5250902049	0.5262259135	0.7642321577	0.7642321577	0.7387634244	0.2106391121	0.7512820032	0.3302532101	0.7469947537	0.7327299284
58	0.7471649237	0.5246255169	0.5246255169	0.5258192472	0.7656206609	0.7656206609	0.7383664601	0.2102974828	0.7517466198	0.3299623003	0.7471649237	0.731891866
59	0.7474033183	0.5241130719	0.5241130719	0.525353008	0.7661760622	0.7661760622	0.7384505692	0.2103698056	0.7520578693	0.3301028954	0.7474033183	0.7318679214
60	0.7470233591	0.5235881097	0.5235881097	0.5248939898	0.7661760622	0.7661760622	0.7379101096	0.2099056604	0.7517774881	0.3295312033	0.7470233591	0.7311735268
61	0.7475263522	0.5229089018	0.5229089018	0.5242330789	0.7672868648	0.7672868648	0.7381157669	0.2100821168	0.7524186828	0.3298513699	0.7475263522	0.7311735268
62	0.7473009033	0.5224446712	0.5224446712	0.5237499709	0.7681199667	0.7681199667	0.7374153661	0.2094819752	0.7524545643	0.3291877417	0.7473009033	0.7300720734
63	0.7472668693	0.5217505469	0.5217505469	0.5230282775	0.767842266	0.767842266	0.7374938047	0.2095490716	0.7523621139	0.3292450583	0.7472668693	0.7302396858
64	0.7470286312	0.5214010951	0.5214010951	0.5227774131	0.7658983616	0.7658983616	0.7380449376	0.210021322	0.7517137232	0.329648001	0.7470286312	0.7314129732
65	0.7470364612	0.5208767148	0.5208767148	0.5223136117	0.7661760622	0.7661760622	0.737928733	0.2099216313	0.7517871529	0.3295508839	0.7470364612	0.7311974714
66	0.7476444271	0.520503874	0.520503874	0.5220152969	0.7658983616	0.7658983616	0.7389218918	0.2107756974	0.7521683271	0.3305765312	0.7476444271	0.7325383713
67	0.7478435155	0.5199865681	0.5199865681	0.5215434635	0.7664537628	0.7664537628	0.7389496839	0.2107996639	0.7524504703	0.3306577213	0.7478435155	0.7324425927
68	0.747243536	0.5194297657	0.5194297657	0.5210220243	0.7656206609	0.7656206609	0.7384784339	0.2103937729	0.7518046498	0.3300808141	0.747243536	0.7320355338
69	0.7479141413	0.5188141356	0.5188141356	0.5204023652	0.7675645654	0.7675645654	0.7385393369	0.2104461702	0.752772268	0.3303256648	0.7479141413	0.7316524196
70	0.7479560052	0.5183665001	0.5183665001	0.5199957516	0.7681199667	0.7681199667	0.7383440776	0.2102782424	0.7529377557	0.3301700985	0.7479560052	0.7312693054
71	0.7477856787	0.5181190868	0.5181190868	0.51980444	0.7681199667	0.7681199667	0.7381023876	0.2100706311	0.7528120662	0.3299141221	0.7477856787	0.730958025
72	0.7480974134	0.5176202325	0.5176202325	0.5193973204	0.7689530686	0.7689530686	0.7381633038	0.2101229322	0.7532436751	0.3300554264	0.7480974134	0.7308383018
73	0.748286114	0.5171393311	0.5171393311	0.5189949354	0.768675368	0.768675368	0.738558066	0.2104622871	0.7533158174	0.3304482779	0.748286114	0.7314129732
74	0.7482624678	0.516513917	0.516513917	0.5183115987	0.7692307692	0.7692307692	0.7382702181	0.2102147682	0.753432565	0.3301943021	0.7482624678	0.7309101358
75	0.7478432025	0.5162826252	0.5162826252	0.5181413259	0.7692307692	0.7692307692	0.7376765503	0.2097055038	0.7531232915	0.3295657347	0.7478432025	0.7301439073
76	0.7479270869	0.5159110076	0.5159110076	0.5178578946	0.7689530686	0.7689530686	0.7379219938	0.2099158517	0.7531180198	0.3297999047	0.7479270869	0.7305270215
77	0.7483096038	0.5155776821	0.5155776821	0.5175998401	0.7695084699	0.7695084699	0.7382100326	0.2101630641	0.7535343921	0.3301560824	0.7483096038	0.7307664679
78	0.7479401889	0.515457229	0.515457229	0.5175319411	0.7689530686	0.7689530686	0.7379405505	0.2099317665	0.7531276841	0.3298195462	0.7479401889	0.7305509662
79	0.7488990391	0.5151108622	0.5151108622	0.5172583182	0.7708969731	0.7708969731	0.738409979	0.2103348992	0.7543038438	0.3304958628	0.7488990391	0.730694634
80	0.7491845696	0.5148322314	0.5148322314	0.5170382075	0.771730075	0.771730075	0.7384333623	0.2103550072	0.7547146487	0.3305971925	0.7491845696	0.7305270215
81	0.7491923996	0.5145727839	0.5145727839	0.5168160754	0.7720077756	0.7720077756	0.7383177742	0.2102556345	0.7547870228	0.3304999108	0.7491923996	0.7303115198
82	0.7489172568	0.514177018	0.514177018	0.5164046532	0.7720077756	0.7720077756	0.737929423	0.2099222231	0.7545840356	0.3300878651	0.7489172568	0.7298086823
83	0.7492395356	0.5136374406	0.5136374406	0.5158843195	0.7722854763	0.7722854763	0.7382577802	0.2102040816	0.7548883608	0.3304616481	0.7492395356	0.7301678519
84	0.7493050458	0.5132090973	0.5132090973	0.515461356	0.7722854763	0.7722854763	0.7383502567	0.2102835539	0.7549367028	0.3305598479	0.7493050458	0.7302875751
85	0.7493783859	0.5130065741	0.5130065741	0.5153101105	0.7725631769	0.7725631769	0.7383272451	0.2102637745	0.7550573275	0.3305608365	0.7493783859	0.7301917966
86	0.74931559	0.5127959911	0.5127959911	0.5151601266	0.771730075	0.771730075	0.7386185597	0.210514355	0.7548113639	0.3307939531	0.74931559	0.7307664679
87	0.7493103179	0.5124514524	0.5124514524	0.5148657828	0.7720077756	0.7720077756	0.7384843356	0.2103988496	0.7548740507	0.3306768169	0.7493103179	0.7305270215
88	0.7490326173	0.512269505	0.512269505	0.5147324141	0.7714523743	0.7714523743	0.7383453227	0.2102793127	0.7545358606	0.3304782298	0.7490326173	0.7304791322
89	0.7489330731	0.5120384575	0.5120384575	0.5145412179	0.7711746737	0.7711746737	0.7383313266	0.2102672825	0.7543957027	0.3304378867	0.7489330731	0.7305270215
90	0.749391488	0.5118107369	0.5118107369	0.5143348925	0.7725631769	0.7725631769	0.7383457354	0.2102796674	0.7550669962	0.3305804765	0.749391488	0.7302157412
