iter	Accuracy_SumError	Accuracy_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight
0	12485.19956	20717.81801	6972.199559	11765.19956	10411.81801	6972.199559	11765.19956	6972.199559	10411.81801
1	12522.47338	20717.81801	6290.47338	10364.47338	10411.81801	6290.47338	10364.47338	6290.47338	10411.81801
2	12739.98239	20717.81801	6682.982392	10931.98239	10411.81801	6682.982392	10931.98239	6682.982392	10411.81801
3	12856.66565	20717.81801	6641.665654	10732.66565	10411.81801	6641.665654	10732.66565	6641.665654	10411.81801
4	12792.96995	20717.81801	6713.969946	10940.96995	10411.81801	6713.969946	10940.96995	6713.969946	10411.81801
5	12870.94505	20717.81801	6775.945053	10986.94505	10411.81801	6775.945053	10986.94505	6775.945053	10411.81801
6	13020.36136	20717.81801	6569.361362	10424.36136	10411.81801	6569.361362	10424.36136	6569.361362	10411.81801
7	13072.31158	20717.81801	6693.311577	10620.31158	10411.81801	6693.311577	10620.31158	6693.311577	10411.81801
8	13052.60342	20717.81801	6796.603422	10846.60342	10411.81801	6796.603422	10846.60342	6796.603422	10411.81801
9	13045.66565	20717.81801	6641.665654	10543.66565	10411.81801	6641.665654	10543.66565	6641.665654	10411.81801
10	13112.29913	20717.81801	6724.29913	10642.29913	10411.81801	6724.29913	10642.29913	6724.29913	10411.81801
11	13144.31158	20717.81801	6693.311577	10548.31158	10411.81801	6693.311577	10548.31158	6693.311577	10411.81801
12	13066.99484	20717.81801	6651.994839	10542.99484	10411.81801	6651.994839	10542.99484	6651.994839	10411.81801
13	13060.65321	20717.81801	6672.653208	10590.65321	10411.81801	6672.653208	10590.65321	6672.653208	10411.81801
14	13081.99484	20717.81801	6651.994839	10527.99484	10411.81801	6651.994839	10527.99484	6651.994839	10411.81801
15	13115.32402	20717.81801	6662.324023	10515.32402	10411.81801	6662.324023	10515.32402	6662.324023	10411.81801
16	13120.33647	20717.81801	6631.33647	10448.33647	10411.81801	6631.33647	10448.33647	6631.33647	10411.81801
17	13166.6781	20717.81801	6610.678101	10360.6781	10411.81801	6610.678101	10360.6781	6610.678101	10411.81801
18	13147.01973	20717.81801	6590.019732	10339.01973	10411.81801	6590.019732	10339.01973	6590.019732	10411.81801
19	13108.03218	20717.81801	6559.032178	10316.03218	10411.81801	6559.032178	10316.03218	6559.032178	10411.81801
20	13048.05707	20717.81801	6497.057071	10252.05707	10411.81801	6497.057071	10252.05707	6497.057071	10411.81801
21	13077.37381	20717.81801	6538.373809	10305.37381	10411.81801	6538.373809	10305.37381	6538.373809	10411.81801
22	13095.05707	20717.81801	6497.057071	10205.05707	10411.81801	6497.057071	10205.05707	6497.057071	10411.81801
23	13106.38626	20717.81801	6507.386255	10214.38626	10411.81801	6507.386255	10214.38626	6507.386255	10411.81801
24	13111.41115	20717.81801	6445.411148	10085.41115	10411.81801	6445.411148	10085.41115	6445.411148	10411.81801
25	13138.41115	20717.81801	6445.411148	10058.41115	10411.81801	6445.411148	10058.41115	6445.411148	10411.81801
26	13107.42359	20717.81801	6414.423594	10027.42359	10411.81801	6414.423594	10027.42359	6414.423594	10411.81801
27	13103.09441	20717.81801	6404.09441	10011.09441	10411.81801	6404.09441	10011.09441	6404.09441	10411.81801
28	13102.43604	20717.81801	6383.436041	9970.436041	10411.81801	6383.436041	9970.436041	6383.436041	10411.81801
29	13141.09441	20717.81801	6404.09441	9973.09441	10411.81801	6404.09441	9973.09441	6404.09441	10411.81801
