iter	Passed	Remaining
0	41	4076
1	110	5434
2	172	5563
3	260	6247
4	345	6565
5	405	6357
6	458	6095
7	511	5881
8	571	5776
9	599	5398
10	652	5277
11	741	5438
12	796	5328
13	872	5362
14	936	5309
15	1006	5286
16	1064	5195
17	1117	5092
18	1169	4983
19	1224	4896
20	1284	4831
21	1339	4747
22	1391	4659
23	1443	4571
24	1505	4517
25	1542	4389
26	1577	4265
27	1604	4126
28	1665	4076
29	1751	4086
30	1807	4023
31	1860	3954
32	1913	3884
33	1932	3751
34	1981	3679
35	2043	3632
36	2100	3575
37	2180	3557
38	2227	3483
39	2275	3413
40	2349	3381
41	2404	3321
42	2469	3274
43	2525	3213
44	2582	3156
45	2643	3102
46	2695	3039
47	2751	2980
48	2812	2927
49	2847	2847
50	2896	2783
51	2946	2719
52	3009	2668
53	3051	2599
54	3102	2538
55	3157	2480
56	3209	2421
57	3254	2356
58	3309	2299
59	3360	2240
60	3412	2181
61	3473	2128
62	3525	2070
63	3577	2012
64	3631	1955
65	3687	1899
66	3741	1842
67	3794	1785
68	3846	1728
69	3913	1677
70	3990	1629
71	4041	1571
72	4095	1514
73	4147	1457
74	4207	1402
75	4264	1346
76	4323	1291
77	4374	1233
78	4421	1175
79	4472	1118
80	4524	1061
81	4576	1004
82	4610	944
83	4671	889
84	4724	833
85	4776	777
86	4828	721
87	4880	665
88	4929	609
89	4988	554
90	5040	498
91	5107	444
92	5137	386
93	5205	332
94	5268	277
95	5344	222
96	5411	167
97	5504	112
98	5566	56
99	5623	0
