datum,avd,häst,h1_dat,h1_dist,h2_dat,h2_dist,h3_dat,h3_dist,h4_dat,h4_dist,h5_dat,h5_dist
2020-09-13,1,TANGEN BORK,(200827),2100,200806,2640,200726,2140.0,200614,1640.0,200515,1660.0
2020-09-13,1,OPPGÅRDSDRÄNGEN,200827,2100,200809,2140,200726,2140.0,200628,2140.0,200618,2140.0
2020-09-13,1,OLAV,200827,2100,(200808),2120,200605,1640.0,200522,2100.0,200423,2140.0
2020-09-13,1,FINSETH FAKSEN,200827,2100,200818,2140,(200730),2140.0,200613,2080.0,200526,1640.0
2020-09-13,1,BALDER ODIN,200827,2100,200809,2140,200726,2140.0,200623,2080.0,200603,2160.0
2020-09-13,1,GRISLE TORE G.L.,200827,2100,200802,2160,(200718),2180.0,(200617),2100.0,200526,2040.0
2020-09-13,1,MJØLNER RØDER,200827,2100,200809,2140,200726,2140.0,200710,2140.0,(200626),2160.0
2020-09-13,1,ELD TEKNO,200827,2100,200726,2140,200716,2140.0,200628,2140.0,200618,2140.0
2020-09-13,1,MJØLNER RØNNER,200827,2100,200809,2140,200726,2140.0,200710,2140.0,200614,2140.0
2020-09-13,1,KAVALEREN,200827,2100,(200718),2180,(200630),2080.0,200510,2040.0,200430,2040.0
2020-09-13,1,GRUDE ELLING,200827,2100,(200808),2120,(200718),2180.0,200623,2080.0,(200605),2040.0
2020-09-13,1,VESSLE TOR,200827,2100,200818,2140,200726,2140.0,200716,2140.0,200709,2160.0
2020-09-13,2,MILLES STANDPOINT,200828,2100,200810,1609,(200721),2140.0,200708,2100.0,200603,2100.0
2020-09-13,2,STAND BY ME ÅS,(200829),2100,200822,2640,200809,2100.0,200727,2100.0,200714,2140.0
2020-09-13,2,STARSTRUCKED,200828,2100,(200724),2600,(200704),2100.0,(200627),2140.0,200601,2100.0
2020-09-13,2,ALMOND PASTE,200824,1640,200730,2640,(200721),2140.0,200709,2100.0,200602,2140.0
2020-09-13,2,VÄSTERBO DAZZEL,200812,2100,200629,1609,200614,1609.0,200601,2100.0,200419,2140.0
2020-09-13,2,COKTAIL'S HANGOVER,(200901),2140,(200807),2100,200803,2100.0,200719,1609.0,(200710),2100.0
2020-09-13,2,FIDANZA,200828,2100,(200725),2100,(200704),1609.0,(200617),1609.0,200608,2100.0
2020-09-13,2,CALL ME SUPERB,200824,1640,200817,2060,200802,2000.0,200719,2140.0,200603,2300.0
2020-09-13,2,INDIANA FORTUNA,200902,1609,200818,1609,200705,1609.0,200614,1609.0,200523,1600.0
2020-09-13,2,CORONA,200828,2100,200818,1609,200811,2160.0,(200721),1640.0,200710,2140.0
2020-09-13,2,JULIANA RAGS,(200824),1640,200814,1640,200722,1640.0,(200629),2140.0,200606,2140.0
2020-09-13,2,EERIN AM,200822,2660,200803,2140,(200707),2140.0,200607,2100.0,200506,1609.0
2020-09-13,2,L.J.'S SONADOR,(200903),1700,200830,2140,200802,1609.0,(200717),2140.0,(200627),2160.0
2020-09-13,2,NEW ACTION,200822,2660,(200718),2140,(200704),2100.0,200613,2100.0,200530,2600.0
2020-09-13,3,KING DI JESOLO,200826,2100,(200808),2100,200726,2040.0,(200605),2060.0,200516,2100.0
