datum,bana,avd,häst,plac,h1_dat,h1_plac
2015-01-17 00:00:00,ÅBY,1,RAMBO FLEX,0.0,2015-01-03 00:00:00,13.0
2015-01-17 00:00:00,ÅBY,1,VÄSTERBOONTHENEWS,1.0,2015-01-03 00:00:00,2.0
2015-01-17 00:00:00,ÅBY,2,RAYMOND PALEMA,0.0,2015-01-10 00:00:00,4.0
2015-01-17 00:00:00,ÅBY,2,SHARIF AMERICA,0.0,2015-01-03 00:00:00,13.0
2015-01-17 00:00:00,ÅBY,2,SPRINGOVER,1.0,2015-01-03 00:00:00,2.0
2015-01-17 00:00:00,ÅBY,3,MAN WINNER,0.0,2015-01-03 00:00:00,4.0
2015-01-17 00:00:00,ÅBY,3,QUICK FIX,1.0,2015-01-03 00:00:00,2.0
2015-01-17 00:00:00,ÅBY,4,KICKI THE DANCER,0.0,2015-01-10 00:00:00,13.0
2015-01-17 00:00:00,ÅBY,6,HERTIG SHIM,0.0,2015-01-03 00:00:00,4.0
2015-01-17 00:00:00,ÅBY,6,MONTDORE,0.0,2015-01-10 00:00:00,2.0
2015-01-24 00:00:00,BERGSÅKER,1,AIR GUNNER,0.0,2015-01-10 00:00:00,4.0
2015-01-24 00:00:00,BERGSÅKER,1,FREDRIK LADAY,0.0,2015-01-10 00:00:00,14.0
2015-01-24 00:00:00,BERGSÅKER,1,QUEASY,1.0,2015-01-10 00:00:00,13.0
2015-01-24 00:00:00,BERGSÅKER,2,KRUSEN,0.0,2015-01-10 00:00:00,13.0
2015-01-24 00:00:00,BERGSÅKER,2,MITT HJÄRTAS LILJA,0.0,2015-01-10 00:00:00,2.0
2015-01-24 00:00:00,BERGSÅKER,3,CANAKA B.F.,0.0,2015-01-10 00:00:00,5.0
2015-01-24 00:00:00,BERGSÅKER,4,DIGIGIRL I.H.,0.0,2015-01-10 00:00:00,5.0
2015-01-24 00:00:00,BERGSÅKER,4,MOCKINGBIRD FACE,0.0,2015-01-03 00:00:00,4.0
2015-01-24 00:00:00,BERGSÅKER,4,ROCKET SPEED,0.0,2015-01-10 00:00:00,3.0
2015-01-24 00:00:00,BERGSÅKER,5,GIN T.DELUXE,0.0,2015-01-10 00:00:00,13.0
2015-01-24 00:00:00,BERGSÅKER,6,GREENSTAR,0.0,2015-01-10 00:00:00,3.0
2015-01-24 00:00:00,BERGSÅKER,6,PAVE THE WAY,1.0,2015-01-10 00:00:00,6.0
2015-01-24 00:00:00,BERGSÅKER,6,VÄSTERBO PAYMYDAY,0.0,2015-01-14 00:00:00,6.0
2015-01-24 00:00:00,BERGSÅKER,7,GLOBAL PERFECTION,0.0,2015-01-17 00:00:00,13.0
2015-01-24 00:00:00,BERGSÅKER,7,JETHRO TULL,0.0,2015-01-03 00:00:00,2.0
2015-01-24 00:00:00,BERGSÅKER,7,OBI DEGATO,0.0,2015-01-10 00:00:00,6.0
2015-01-25 00:00:00,SOLVALLA,1,FOCUS HÅLERYD,0.0,2015-01-10 00:00:00,6.0
2015-01-25 00:00:00,SOLVALLA,1,JETSPIRIT,0.0,2015-01-18 00:00:00,1.0
2015-01-25 00:00:00,SOLVALLA,5,ALOE VERA,0.0,2015-01-10 00:00:00,5.0
2015-01-25 00:00:00,SOLVALLA,5,GREBY ANNA,0.0,2015-01-10 00:00:00,6.0
2015-01-25 00:00:00,SOLVALLA,5,NINEPOINTS ARIEL,0.0,2015-01-14 00:00:00,5.0
2015-01-25 00:00:00,SOLVALLA,5,RUB IT OUT,1.0,2015-01-10 00:00:00,2.0
2015-01-25 00:00:00,SOLVALLA,6,CERTIFICATION,1.0,2015-01-10 00:00:00,2.0
2015-01-25 00:00:00,SOLVALLA,6,CROQUE,0.0,2015-01-10 00:00:00,3.0
2015-01-25 00:00:00,SOLVALLA,6,DUFFMAN,0.0,2015-01-10 00:00:00,5.0
2015-01-25 00:00:00,SOLVALLA,6,RETURN TO SWEDEN,0.0,2015-01-17 00:00:00,13.0
2015-01-25 00:00:00,SOLVALLA,7,CANDOR HALL,1.0,2015-01-10 00:00:00,3.0
2015-01-25 00:00:00,SOLVALLA,7,ELECTRIFYING,0.0,2015-01-17 00:00:00,4.0
2015-01-25 00:00:00,SOLVALLA,7,LINUS WIBB,0.0,2015-01-17 00:00:00,6.0
2015-01-25 00:00:00,SOLVALLA,7,NAROLD VOX,0.0,2015-01-10 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,1,BEAT THE WIZ,0.0,2015-01-17 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,1,LISTAS RAFIKI,0.0,2015-01-17 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,1,ROCKET ZET,1.0,2015-01-10 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,2,ASTERIX HORNLINE,1.0,2015-01-17 00:00:00,6.0
2015-01-31 00:00:00,AXEVALLA,2,SAARI IN ACTION,0.0,2015-01-17 00:00:00,6.0
2015-01-31 00:00:00,AXEVALLA,2,VINCERE SCIS WIN,0.0,2015-01-17 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,3,FOOD MONEY,0.0,2015-01-10 00:00:00,4.0
2015-01-31 00:00:00,AXEVALLA,3,GOLDOMASTER,0.0,2015-01-10 00:00:00,3.0
2015-01-31 00:00:00,AXEVALLA,3,MONTGOMERY HILL,0.0,2015-01-17 00:00:00,5.0
2015-01-31 00:00:00,AXEVALLA,3,OBI WAN,0.0,2015-01-17 00:00:00,6.0
2015-01-31 00:00:00,AXEVALLA,4,VERSAILLES,0.0,2015-01-17 00:00:00,3.0
2015-01-31 00:00:00,AXEVALLA,5,DAYTONA,0.0,2015-01-21 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,5,FIDDELINA FIGHTER,0.0,2015-01-25 00:00:00,14.0
2015-01-31 00:00:00,AXEVALLA,6,ALLABALLAKAITOZ,0.0,2015-01-17 00:00:00,5.0
2015-01-31 00:00:00,AXEVALLA,6,BEAR DANCER,0.0,2015-01-17 00:00:00,4.0
2015-01-31 00:00:00,AXEVALLA,6,ONLINE D'AMOUR,0.0,2015-01-17 00:00:00,13.0
2015-01-31 00:00:00,AXEVALLA,7,LIGHT BRODDE,0.0,2015-01-17 00:00:00,3.0
2015-01-31 00:00:00,AXEVALLA,7,ODIN TÖLL,0.0,2015-01-17 00:00:00,5.0
2015-02-07 00:00:00,SOLVALLA,1,AIR GUNNER,0.0,2015-01-24 00:00:00,5.0
2015-02-07 00:00:00,SOLVALLA,1,ARISTOCAT BOKO,0.0,2015-01-10 00:00:00,6.0
2015-02-07 00:00:00,SOLVALLA,1,BEAR DANCER,0.0,2015-01-31 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,1,HIGHSPEED CALL,0.0,2015-01-10 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,1,JA EL TOMCAT,0.0,2015-01-10 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,1,OCTOBER KRONOS,0.0,2015-01-03 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,1,QUEASY,0.0,2015-01-24 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,1,REBELLION,0.0,2015-01-24 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,1,REMEE LA MARC,0.0,2015-01-17 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,1,VÄSTERBOONTHENEWS,1.0,2015-01-17 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,2,CERTIFICATION,0.0,2015-01-25 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,2,NELLY BURGE,0.0,2015-01-24 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,2,OBI DEGATO,0.0,2015-01-24 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,2,QUICK FIX,1.0,2015-01-17 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,2,RETURN TO SWEDEN,0.0,2015-01-25 00:00:00,6.0
2015-02-07 00:00:00,SOLVALLA,2,SPIRIT REAL,0.0,2015-01-17 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,2,YOUNG FARMER,0.0,2015-01-17 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,3,DREAMS TAKE TIME,0.0,2015-01-03 00:00:00,14.0
2015-02-07 00:00:00,SOLVALLA,3,FREEMAN T.PORTER,0.0,2015-01-22 00:00:00,14.0
2015-02-07 00:00:00,SOLVALLA,3,GOING FOR GOLD ZAZ,0.0,2015-01-24 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,3,HARRY HAYTHROW,0.0,2015-01-17 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,3,ROCKY WINNER,0.0,2015-01-10 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,3,WINMECREDIT,0.0,2015-01-31 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,4,JETSPIRIT,0.0,2015-01-25 00:00:00,6.0
2015-02-07 00:00:00,SOLVALLA,4,MR JÄGER,0.0,2015-01-24 00:00:00,5.0
2015-02-07 00:00:00,SOLVALLA,4,NEW REVOLUTION,0.0,2015-01-03 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,4,RAYMOND PALEMA,0.0,2015-01-17 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,4,SPRINGOVER,0.0,2015-01-17 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,5,BASCAPHI IN,0.0,2015-01-31 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,5,CHERIE SUND,0.0,2015-01-24 00:00:00,5.0
2015-02-07 00:00:00,SOLVALLA,5,OCCASIONE FONT,0.0,2015-01-10 00:00:00,4.0
2015-02-07 00:00:00,SOLVALLA,6,ALAMO BOKO,0.0,2015-01-17 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,6,FINISH FUTURE,0.0,2015-01-24 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,6,MONTDORE,0.0,2015-01-17 00:00:00,4.0
2015-02-07 00:00:00,SOLVALLA,6,PAVE THE WAY,0.0,2015-01-24 00:00:00,1.0
2015-02-07 00:00:00,SOLVALLA,6,PEDRO BI,0.0,2015-01-21 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,6,SHADOW WOODLAND,0.0,2015-01-03 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,6,SUPER OTTO,0.0,2015-01-28 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,6,VÄSTERBO PAYMYDAY,0.0,2015-01-24 00:00:00,4.0
2015-02-07 00:00:00,SOLVALLA,6,WEST WING,0.0,2015-01-17 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,7,ALLABALLAKAITOZ,0.0,2015-01-31 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,7,ALOE VERA,0.0,2015-01-25 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,7,I AM DYNAMITE,0.0,2015-01-25 00:00:00,13.0
2015-02-07 00:00:00,SOLVALLA,7,LINUS WIBB,0.0,2015-01-25 00:00:00,3.0
2015-02-07 00:00:00,SOLVALLA,7,PERICLE BI,0.0,2015-01-25 00:00:00,2.0
2015-02-07 00:00:00,SOLVALLA,7,RUB IT OUT,0.0,2015-01-25 00:00:00,1.0
