datum,bana,avd,häst,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_kmtid,h1_odds,h1_pris,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_kmtid,h2_odds,h2_pris,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_kmtid,h3_odds,h3_pris,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_kmtid,h4_odds,h4_pris,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_kmtid,h5_odds,h5_pris
2015-06-14,BJERKE,6,B.B.S.SUGARLIGHT,150531,Solvalla,Peter Untersteiner,5,1609,5,"10,4a","5,55",3000',150531,Solvalla,Peter Untersteiner,3,1609,1,"9 ,9a","2,19",250',150510,Charlottenlund,Peter Untersteiner,0,2011,9,"10,9ag","3,50",633',150425,Åby,Peter Untersteiner,1,2140,6,"10,7a","8,89",1500',150405,Romme,Peter Untersteiner,2,2140,10,"12,1a","3,38",150'
2015-06-14,BJERKE,6,MOSAIQUE FACE,150531,Solvalla,Lutfi Kolgjini,2,1609,6,"10,2a","15,59",3000',150531,Solvalla,Lutfi Kolgjini,3,1609,4,"10,5a","2,29",250',150523,Gävle,Lutfi Kolgjini,1,1609,1,"9 ,0a","7,17",400',150501,Kalmar,Adrian Kolgjini,0,1640,3,uag,"1,56",35',150404,KL,Lutfi Kolgjini,6,2100,,"13,5ag","5,40",300'
2015-06-14,BJERKE,6,VINCENNES,150531,Solvalla,Eric Raffin,0,1609,8,"10,4a","17,02",3000',150531,Solvalla,Örjan Kihlström,4,1609,3,"10,7a","8,86",250',150517,Vermo,Örjan Kihlström,2,1609,6,"12,2a","6,80",1035',150503,Neapel,Roberto Andreghetti,1,1600,,"11,8a","2,50",,150503,Neapel,Roberto Andreghetti,1,1600,,"11,1a","5,60",
2015-07-02,HALMSTAD,2,NUNCIO,150531,Solvalla,Stefan Melander,3,1609,4,"10,2a","4,94",3000',150531,Solvalla,Stefan Melander,2,1609,7,"10,5a","8,69",250',150506,Solvalla,Stefan Melander,1,1640,1,"11,2a","1,19",80',150422,Solvalla,Stefan Melander,1,1640,9,"10,9a","2,10",80',141122,Meadowlands,John Campbell,3,1609,,"9 ,7a","2,00",
2015-08-15,ÅBY,1,B.B.S.SUGARLIGHT,150815,Åby,Peter Untersteiner,2,1640,5,"10,4a","4,28",400',150728,Jägersro,Peter Untersteiner,2,1609,2,"9 ,9a","7,38",1000',150711,Årjäng,Peter Untersteiner,5,1640,4,"10,4a","2,31",600',150614,Bjerke,Peter Untersteiner,1,2100,,"11,3a","2,70",,150531,Solvalla,Peter Untersteiner,5,1609,5,"10,4a","5,55",3000'
2015-08-15,ÅBY,1,MOSAIQUE FACE,150815,Åby,Lutfi Kolgjini,0,1640,6,"10,8a","4,75",400',150728,Jägersro,Lutfi Kolgjini,5,1609,3,"10,2a","4,45",1000',150711,Årjäng,Lutfi Kolgjini,3,1640,5,"10,1a","5,39",600',150614,Bjerke,Adrian Kolgjini,4,2100,,"11,6a","6,00",,150531,Solvalla,Lutfi Kolgjini,2,1609,6,"10,2a","15,59",3000'
2015-08-15,ÅBY,1,NAHAR,150815,Åby,Robert Bergh,d,1640,1,uag,"4,39",400',150808,Dannero,Robert Bergh,1,2140,4,"12,0a","2,75",150',150727,Boden,Jan Norberg,3,2140,6,"14,7a","1,57",30',150613,Boden,Jan Norberg,d,2140,3,9ag,"6,93",1000',150531,Solvalla,Robert Bergh,0,1609,2,"10,4a","11,73",250'
2015-08-15,ÅBY,1,REPAY MERCI,150815,Åby,Knud Mönster,4,1640,4,"10,6a","20,56",400',150728,Jägersro,Knud Mönster,0,1609,10,"10,3a","15,73",1000',150711,Årjäng,Knud Mönster,2,1640,2,"10,1a","47,97",600',150614,Bjerke,Knud Mönster,1,1609,,"10,8a","5,50",,150614,Bjerke,Knud Mönster,2,1609,,"11,3a","6,90",
2015-08-15,ÅBY,1,RUE DU BAC,150815,Åby,Örjan Kihlström,0,1640,2,uag,"4,89",400',150803,Cagnes sur Mer,Roberto Andreghetti,d,2150,,-a,"3,70",,150725,Enghien,Roberto Andreghetti,2,2150,,"13,7a","9,50",,150711,Enghien,Tony Le Beller,5,2150,,"13,2a","14,00",,150627,Enghien,David Thomain,d,1609,,-a,"30,00",
2015-08-15,ÅBY,1,SUPPORT JUSTICE,150815,Åby,Geir Vegard Gundersen,1,1640,3,"10,2a","6,79",400',150801,Biri,Geir Vegard Gundersen,1,2600,,"12,8a","1,10",,150718,Axevalla,Geir Vegard Gundersen,3,2640,1,"13,3ag","2,47",150',(150704),Jarlsberg,Geir Vegard Gundersen,1,2100,,"12,6a","1,10",,150614,Bjerke,Geir Vegard Gundersen,5,2100,,"11,6a","7,40",
