,datum,avd,startnr,häst,proba6,proba1,proba9,kelly6,kelly1,kelly9,meta_predict,välj,first,second,diff
0,2022-06-18,7,8,don fanucci zet,0.8230612253134298,0.8892024818188803,0.8500030257715325,0.7062632412559811,0.8160646024306742,0.7509894306133434,0.621526304878129,True,0.621526304878129,0.08538389754789873,0.5361424073302302
29,2022-06-18,7,1,martin de bos,0.024234450388643525,0.03708153761557424,0.08443859491335588,-0.006166544842142008,0.007080806810675604,0.05591332270978554,0.08538389754789873,False,0.621526304878129,0.08538389754789873,0.5361424073302302
2,2022-06-18,5,6,frozen a.f.,0.40663403165522227,0.426616669700457,0.30246732405751375,0.18454127493395356,0.2120032754751694,0.04138569287570144,0.4079370578149492,True,0.4079370578149492,0.19804019191240663,0.20989686590254258
10,2022-06-18,5,2,ayah de lux,0.1172529976580839,0.12185925030329396,0.07829204667719886,-0.054506223682208296,-0.04900371609018,-0.10104794535435663,0.19804019191240663,False,0.4079370578149492,0.19804019191240663,0.20989686590254258
3,2022-06-18,3,6,amalencius b.b.,0.33910356990946544,0.5135670644610948,0.4302224359367078,0.018028070959736953,0.2772491024131833,0.15341413838406143,0.399160909775151,True,0.399160909775151,0.24404703438218808,0.15511387539296292
8,2022-06-18,3,5,ivory di quattro,0.2901505143847308,0.15240343666207412,0.1090952945778078,0.189141901426552,0.03179399065159244,-0.017676718921098327,0.24404703438218808,False,0.399160909775151,0.24404703438218808,0.15511387539296292
4,2022-06-18,6,7,l.a.boko,0.2840448079303653,0.36631799771887186,0.32059792483526456,0.005693670808576554,0.11995327006227235,0.056458014573095856,0.35341325255659456,True,0.35341325255659456,0.209153962914477,0.14425928964211757
9,2022-06-18,6,1,black and quick,0.09426362047748015,0.16486650507676875,0.08067588895802215,-0.11138543669353321,-0.024752041473646774,-0.12805828684049128,0.209153962914477,False,0.35341325255659456,0.209153962914477,0.14425928964211757
1,2022-06-18,1,5,devils tongue,0.26708212675530224,0.1766661065609326,0.5046306868594301,-0.0897371348896068,-0.22417197184962362,0.2634613566944523,0.4133679095681583,True,0.4133679095681583,0.30213984314883746,0.11122806641932081
5,2022-06-18,1,9,double trouble e.p,0.3036342357721389,0.14474594237179153,0.07267576663675537,0.19649485232911007,0.013160793979212356,-0.06999774162291787,0.30213984314883746,False,0.4133679095681583,0.30213984314883746,0.11122806641932081
6,2022-06-18,2,13,tangen frikk,0.17862471606328983,0.27589734872773136,0.3467813042873574,-0.0822123303877885,0.04595033111110801,0.1393442915010802,0.2897598286243144,True,0.2897598286243144,0.1842986534256795,0.10546117519863488
12,2022-06-18,2,11,buska blyg,0.15681956805294098,0.240136664842507,0.19734847207411654,0.015469002901531335,0.11275335779122285,0.06279216266122258,0.1842986534256795,False,0.2897598286243144,0.1842986534256795,0.10546117519863488
7,2022-06-18,4,1,amie ness,0.26940095405244935,0.2132115798925434,0.19470214597659277,0.07421710029783114,0.0030164026911957895,-0.02043793590615383,0.2724151946333406,True,0.2724151946333406,0.18512533934892295,0.08728985528441763
11,2022-06-18,4,8,endless story,0.12623089092954662,0.19903637068081492,0.21816294506688183,-0.09396726919579992,-0.0028141132428317448,0.021132540550474695,0.18512533934892295,False,0.2724151946333406,0.18512533934892295,0.08728985528441763
