datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,proba,f,spela,insats,prob_order,poäng
2021-10-09,ÅBY,1,6,HONEY MEARAS,4,s,Örjan Kihlström,2140.0,0,2140.0,27.0,6.0,27.0,2.82,1.57,295815.0,2021-09-05,Jägersro-8,Örjan Kihlström,1.0,2140.0,7.0,3.88,1000.0,11.5,2021-08-24,Jägersro-12,Örjan Kihlström,2.0,2140.0,7.0,1.3,100.0,13.4,2021-07-25,Axevalla-12,Örjan Kihlström,1.0,2640.0,7.0,3.21,1200.0,12.8,2021-07-16,Axevalla-7,Örjan Kihlström,1.0,2640.0,7.0,1.62,75.0,13.5,2021-06-26,Rättvik-10,Örjan Kihlström,1.0,2140.0,7.0,3.4,110.0,13.8,1,1,1,1,1,1,34678.585382982055,6651.416330443618,37988.4869532564,9497.1217383141,11501.58559756547,34.0,12.0,30.0,9.0,20.0,0.3141444841283896,-0.06269920591095686,False,-0.0,1,1
2021-10-09,ÅBY,1,11,MELLBY FREE,7,s,Björn Goop,2140.0,0,2140.0,18.0,11.0,18.0,4.59,1.8,250087.0,2021-09-18,Färjestad-7,Björn Goop,2.0,2140.0,9.0,6.52,150.0,11.5,2021-08-28,Bergsåker-11,Björn Goop,5.0,2140.0,9.0,23.85,1000.0,11.5,2021-08-18,Solvalla-7,Björn Goop,2.0,2140.0,9.0,3.44,1000.0,10.7,2021-07-10,Halmstad-3,Björn Goop,2.0,1640.0,9.0,2.16,110.0,11.2,2021-06-27,Kalmar-7,Björn Goop,2.0,2140.0,9.0,1.92,110.0,12.1,4,1,1,1,1,1,8146.288038201084,4693.2361750509335,21033.625270240995,6976.064300232707,6976.064300232707,21.0,21.0,10.0,39.0,13.0,0.17302101281023097,-0.057335251030930325,False,-0.0,2,2
2021-10-09,ÅBY,1,1,DIXIE BRICK,6,s,Jorma Kontio,2140.0,0,2140.0,13.0,1.0,13.0,8.61,2.09,43125.0,2021-09-26,Solvalla-6,Jorma Kontio,2.0,1640.0,2.0,15.93,220.0,10.5,2021-08-18,Solvalla-8,Jorma Kontio,1.0,2640.0,2.0,8.42,200.0,13.6,2021-07-27,Jägersro-2,Jorma Kontio,5.0,1640.0,2.0,12.24,200.0,11.7,2021-06-22,Solvalla-4,Jorma Kontio,5.0,2140.0,2.0,8.68,60.0,12.5,2021-06-16,Solvalla-3,Jorma Kontio,5.0,1660.0,2.0,13.18,100.0,12.6,9,1,1,1,1,0,9865.64474537587,15508.734855975692,2098.879024374998,1149.6033871246218,1484.131591025766,13.0,39.0,22.0,35.0,6.0,0.11907835547249156,0.0033199264938439236,True,0.6639852987687848,3,3
2021-10-09,ÅBY,1,12,HEVIN BOKO,7,s,Mika Forss,2140.0,0,2140.0,10.0,12.0,10.0,11.55,3.26,79836.0,2021-09-26,Solvalla-6,Mika Forss,7.0,1640.0,11.0,5.82,220.0,10.9,2021-09-15,Solvalla-11,Mika Forss,1.0,2140.0,11.0,1.51,60.0,12.7,2021-09-04,Jägersro-11,Mika Forss,2.0,2140.0,11.0,2.32,110.0,11.8,2021-08-28,Bergsåker-8,Andreas Lövdal,2.0,2160.0,11.0,3.34,200.0,30.0,2021-07-25,Axevalla-3,Mika Forss,2.0,2140.0,11.0,1.97,100.0,14.4,12,1,1,1,0,1,809.8214353480527,8494.48391898452,6976.064300232707,9406.523183503248,6651.416330443618,13.0,11.0,11.0,7.0,34.0,0.0899012571356897,0.003635973451868813,True,0.7271946903737626,4,3
2021-10-09,ÅBY,1,3,ACTIVATED,6,s,Carl Johan Jepson,2140.0,0,2140.0,10.0,3.0,10.0,8.71,2.77,159778.0,2021-09-25,Solvalla-7,Carl Johan Jepson,7.0,2180.0,2.0,9.66,220.0,12.8,2021-09-04,Jägersro-11,Carl Johan Jepson,15.0,2140.0,2.0,5.72,110.0,13.0,2021-08-28,Bergsåker-8,Magnus A Djuse,1.0,2160.0,2.0,12.41,200.0,12.4,2020-12-27,Vincennes-6,Franck Ouvrie,1.0,2700.0,2.0,66.7,,30.0,2020-12-13,Vincennes-4,Franck Ouvrie,1.0,2850.0,2.0,118.5,,30.0,10,0,1,0,0,0,809.8214353480527,10.488088481701515,15508.734855975692,,,14.0,21.0,7.0,244.0,14.0,0.08939639083698905,-0.028710432660158915,False,-0.0,5,4
2021-10-09,ÅBY,1,2,RACING BRODDA,6,s,Rikard N Skoglund,2140.0,0,2140.0,9.0,2.0,9.0,10.63,2.89,129024.0,2021-09-26,Solvalla-6,Rikard N Skoglund,3.0,1640.0,1.0,7.04,220.0,10.5,2021-09-15,Solvalla-11,Rikard N Skoglund,2.0,2140.0,1.0,2.55,60.0,12.9,2021-09-04,Jägersro-11,Rikard N Skoglund,7.0,2140.0,1.0,20.52,110.0,12.2,2021-08-18,Solvalla-5,Rikard N Skoglund,7.0,3180.0,1.0,3.28,100.0,13.6,2021-08-08,Dannero-10,Rikard N Skoglund,7.0,2140.0,1.0,14.45,100.0,12.4,11,1,1,1,0,1,5983.816015903301,5152.164935300037,572.6302284848314,545.9815003314424,545.9815003314424,13.0,11.0,11.0,17.0,10.0,0.0844311199079232,-0.010643530153559327,False,-0.0,6,4
2021-10-09,ÅBY,1,9,ULTRA BRIGHT,8,s,Fredrik Persson,2140.0,0,2140.0,6.0,9.0,6.0,16.83,4.12,74084.0,2021-09-15,Åby-5,Fredrik Persson,1.0,1640.0,4.0,2.04,100.0,10.6,2021-09-04,Jägersro-11,Fredrik Persson,20.0,2140.0,4.0,19.42,110.0,30.0,2021-08-28,Charlottenlund-7,Fredrik Persson,1.0,2000.0,4.0,1.88,,13.1,2021-07-10,Halmstad-3,Erik Adielsson,1.0,1640.0,4.0,4.42,110.0,11.3,2021-06-27,Kalmar-7,Per Lennartsson,1.0,2140.0,4.0,6.43,110.0,12.3,16,1,1,1,1,1,10966.331584284586,0.8609147285877977,,11501.58559756547,11501.58559756547,24.0,11.0,7.0,49.0,13.0,0.07291821900967509,0.014353356028605919,True,2.870671205721184,7,2
2021-10-09,ÅBY,1,4,MILY,7,s,Robert Bergh,2140.0,0,2140.0,3.0,4.0,3.0,21.48,5.18,34102.0,2021-09-26,Solvalla-6,Per Lennartsson,8.0,1640.0,8.0,62.76,220.0,11.0,2021-09-15,Åby-5,Robert Bergh,2.0,1640.0,8.0,10.56,100.0,10.7,2021-09-04,Jägersro-11,Björn Goop,3.0,2140.0,8.0,56.3,110.0,12.0,2021-08-22,Vaggeryd-10,Stefan Persson,3.0,2140.0,8.0,54.62,100.0,13.6,2021-08-02,Mantorp-4,Kim Eriksson,3.0,2140.0,8.0,198.51,100.0,13.0,18,1,1,1,1,1,491.18152943108606,6651.416330443618,4231.196882217894,4034.287934927351,4034.287934927351,13.0,11.0,11.0,13.0,20.0,0.02547337280538433,-0.022110935163102762,False,-0.0,8,15
2021-10-09,ÅBY,1,8,UNIQUE JUNI,8,s,Erik Adielsson,2140.0,0,2140.0,2.0,8.0,2.0,36.42,8.06,66724.0,2021-09-18,Forssa-12,Santtu Raitala,15.0,2640.0,,2.9,,14.8,2021-09-17,Forssa-7,Santtu Raitala,1.0,1640.0,,3.2,,12.1,2021-08-28,Bergsåker-8,William Ekberg,8.0,2160.0,,8.37,200.0,12.9,2021-08-18,Solvalla-7,Mats E Djuse,8.0,2140.0,,14.09,1000.0,11.3,2021-05-29,Solvalla-10,Erik Adielsson,8.0,1640.0,,8.89,220.0,10.5,23,1,1,0,1,1,,,468.32321284097344,1047.202539353519,491.18152943108606,21.0,1.0,20.0,10.0,81.0,0.02161951433887817,-0.006002746690515443,False,-0.0,9,15
2021-10-09,ÅBY,1,7,SHARP DREAM,8,s,Johan Untersteiner,2140.0,0,2140.0,1.0,7.0,1.0,70.94,13.8,22701.0,2021-09-15,Åby-5,Johan Untersteiner,3.0,1640.0,7.0,26.71,100.0,10.9,2021-09-04,Jägersro-7,Johan Untersteiner,7.0,2140.0,7.0,26.8,125.0,12.9,2021-08-25,Åby-7,Johan Untersteiner,2.0,2140.0,7.0,4.48,60.0,13.5,2021-04-10,Jägersro-6,Johan Untersteiner,2.0,2180.0,7.0,6.49,110.0,14.6,2021-03-31,Åby-5,Johan Untersteiner,2.0,2140.0,7.0,2.63,60.0,13.1,28,1,1,1,0,1,4034.287934927351,610.4258745992146,5152.164935300037,6976.064300232707,5152.164935300037,24.0,11.0,10.0,137.0,10.0,0.015466981813459995,0.0013901585622941384,True,0.2780317124588277,10,15
