datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2022-08-20,örebro,1,1,uncle töll,6,v,björn goop,2640.0,1,2640.0,125000.0,1.0,18.0,4.7,1.81,30627.0,2,2022-08-08,färjestad-5,tova bengtsson,3.0,2140.0,3.0,3.47,60.0,14.2,2022-06-30,åby-8,tova bengtsson,6.0,2140.0,3.0,28.67,250.0,13.6,2022-06-13,färjestad-4,andré eklundh,3.0,2140.0,3.0,8.41,50.0,12.4,2022-05-18,åby-2,stefan persson,3.0,2660.0,3.0,4.81,50.0,15.6,2022-04-30,örebro-1,tova bengtsson,3.0,2100.0,3.0,1.81,35.0,14.7,4,1,1,1,0,1,3124.9459971558285,1423.2958167204195,2852.6723560462033,2852.6723560462033,2386.7169291026403,12.0,39.0,17.0,26.0,18.0
2022-08-20,örebro,1,2,exodus brick,6,h,mika forss,2640.0,1,2640.0,125000.0,2.0,1.0,37.54,8.44,40343.0,5,2022-08-13,åby-5,mika forss,8.0,2140.0,2.0,77.3,250.0,11.9,2022-07-16,årjäng-5,mats e djuse,6.0,2640.0,2.0,57.51,125.0,13.1,2022-06-11,östersund-5,jörgen westholm,8.0,1640.0,2.0,92.64,125.0,13.8,2022-05-30,bollnäs-9,mats e djuse,8.0,2160.0,2.0,9.65,25.0,13.4,2022-05-18,solvalla-9,jörgen westholm,8.0,2640.0,2.0,45.24,60.0,13.9,23,1,1,1,0,1,523.6012696767594,1006.4221236374541,370.24200842632285,165.57725979346156,256.51118787629423,7.0,28.0,35.0,12.0,12.0
2022-08-20,örebro,1,3,monfalcone,12,h,paw mahony,2640.0,1,2640.0,125000.0,3.0,1.0,76.86,11.63,14744.0,4,2022-08-09,solvalla-6,peter strömberg,15.0,1640.0,7.0,62.72,40.0,14.5,2022-07-16,årjäng-5,peter strömberg,4.0,2640.0,7.0,112.32,125.0,13.0,2022-07-08,arvika-9,peter strömberg,6.0,1700.0,7.0,73.38,140.0,13.2,2022-05-04,solvalla-5,viktor malmrot,6.0,2140.0,7.0,68.55,60.0,13.9,2022-04-24,årjäng-4,peter strömberg,6.0,1640.0,7.0,86.63,40.0,12.7,29,1,1,1,1,1,6.324555320336759,2735.738970442854,1065.0970612392814,697.2697008005748,569.3183266881678,11.0,24.0,8.0,65.0,10.0
2022-08-20,örebro,1,4,furies rain,5,v,örjan kihlström,2640.0,1,2640.0,125000.0,4.0,13.0,7.78,2.53,38096.0,15,2022-07-29,halmstad-5,peter untersteiner,1.0,2140.0,2.0,8.99,35.0,12.6,2021-12-05,mantorp-7,peter untersteiner,5.0,2140.0,2.0,4.29,50.0,15.8,2021-11-20,jägersro-11,johan untersteiner,5.0,2140.0,2.0,61.79,125.0,12.5,2021-11-07,eskilstuna-12,johan untersteiner,5.0,2140.0,2.0,85.4,800.0,12.8,2021-10-24,solvalla-12,johan untersteiner,5.0,2140.0,2.0,86.14,200.0,12.1,8,1,1,1,1,1,6487.769258055282,1049.439512187499,1659.309562544265,4197.758048749996,2098.879024374998,22.0,236.0,15.0,13.0,14.0
2022-08-20,örebro,1,5,digital dominance,6,v,jörgen westholm,2640.0,1,2640.0,125000.0,5.0,12.0,7.04,2.38,35095.0,15,2022-08-06,rättvik-9,jörgen westholm,2.0,2140.0,6.0,22.72,125.0,12.2,2022-05-28,solvalla-12,mats e djuse,15.0,3160.0,6.0,95.31,1000.0,13.5,2022-05-14,umåker-11,mats e djuse,5.0,2640.0,6.0,7.87,125.0,14.4,2022-04-30,örebro-11,örjan kihlström,5.0,3160.0,6.0,16.83,400.0,15.0,2022-04-17,romme-4,örjan kihlström,5.0,3180.0,6.0,4.53,100.0,14.1,7,1,0,1,0,0,7436.509530762067,31.622776601683793,1659.309562544265,2968.263182051532,1484.131591025766,14.0,70.0,14.0,14.0,13.0
2022-08-20,örebro,1,6,toto barosso,5,v,johan untersteiner,2640.0,1,2640.0,125000.0,6.0,19.0,5.38,2.48,33330.0,1,2022-07-26,jägersro-9,johan untersteiner,20.0,2140.0,7.0,19.95,100.0,30.0,2022-07-07,halmstad-12,johan untersteiner,3.0,3160.0,7.0,6.27,200.0,13.6,2022-06-21,jägersro-8,johan untersteiner,6.0,1640.0,7.0,5.1,40.0,12.2,2022-06-08,tingsryd-8,johan untersteiner,6.0,3218.0,7.0,4.66,60.0,14.5,2022-05-17,axevalla-9,peter untersteiner,6.0,2140.0,7.0,5.46,40.0,13.8,5,1,0,1,1,1,0.820849986238988,5705.344712092407,569.3183266881678,697.2697008005748,569.3183266881678,25.0,19.0,16.0,13.0,22.0
2022-08-20,örebro,1,7,global bookmaker,5,v,magnus a djuse,2640.0,1,2640.0,125000.0,7.0,7.0,15.7,4.21,24874.0,3,2022-07-30,bollnäs-8,mats e djuse,7.0,1640.0,11.0,16.27,125.0,12.6,2022-07-14,örebro-9,rikard n skoglund,2.0,1609.0,11.0,8.79,50.0,11.6,2022-07-02,eskilstuna-8,magnus a djuse,7.0,2140.0,11.0,24.42,250.0,12.3,2022-06-11,östersund-5,magnus a djuse,7.0,1640.0,11.0,6.42,125.0,11.8,2022-05-28,solvalla-11,magnus a djuse,7.0,2140.0,11.0,23.14,250.0,12.0,15,1,1,1,1,1,610.4258745992146,4703.261591751624,863.2725506816674,610.4258745992146,863.2725506816674,21.0,16.0,12.0,21.0,14.0
2022-08-20,örebro,1,8,borups tornado,6,v,ulf ohlsson,2640.0,1,2640.0,125000.0,8.0,10.0,7.76,2.43,43856.0,6,2022-08-06,rättvik-9,ulf ohlsson,8.0,2140.0,4.0,2.87,125.0,12.8,2022-07-22,axevalla-12,björn goop,1.0,4160.0,4.0,6.82,150.0,15.3,2022-07-02,eskilstuna-9,ulf ohlsson,15.0,2140.0,4.0,3.89,220.0,13.3,2022-06-14,axevalla-8,magnus jakobsson,15.0,2160.0,4.0,1.87,25.0,13.8,2022-05-28,solvalla-8,ulf ohlsson,15.0,2140.0,4.0,10.88,220.0,12.3,8,1,0,1,0,1,370.24200842632285,13430.958365832146,14.832396974191326,5.0,14.832396974191326,14.0,15.0,20.0,18.0,17.0
2022-08-20,örebro,1,9,arch lane,8,v,daniel wäjersten,2640.0,1,2640.0,125000.0,9.0,2.0,36.84,8.25,31546.0,20,2022-08-11,örebro-4,ulf ohlsson,3.0,2100.0,3.0,3.36,25.0,13.9,2022-06-24,hagmyren-1,jennifer persson,15.0,2140.0,3.0,4.11,50.0,30.0,2022-03-15,eskilstuna-9,ulf ohlsson,3.0,2140.0,3.0,2.83,30.0,14.0,2022-02-26,axevalla-5,ulf ohlsson,3.0,2640.0,3.0,10.85,125.0,15.9,2022-02-05,solvalla-11,daniel wäjersten,3.0,2140.0,3.0,7.29,220.0,13.8,23,1,1,1,0,1,2017.1439674636756,7.0710678118654755,2209.670505430644,4510.471031652402,5983.816015903301,9.0,48.0,101.0,17.0,21.0
2022-08-20,örebro,1,10,infinitus,8,v,rikard n skoglund,2640.0,1,2640.0,125000.0,10.0,2.0,27.75,5.95,15181.0,15,2022-08-09,solvalla-6,rikard n skoglund,2.0,1640.0,4.0,9.27,40.0,10.4,2022-06-24,årjäng-6,andré eklundh,15.0,3180.0,4.0,2.04,25.0,16.4,2022-06-05,axevalla-4,andré eklundh,2.0,2140.0,4.0,31.64,50.0,13.0,2022-05-17,axevalla-9,stefan persson,2.0,2140.0,4.0,9.69,40.0,30.0,2022-04-24,årjäng-4,andré eklundh,2.0,1640.0,4.0,8.95,40.0,11.9,20,1,0,1,1,1,4206.725054048198,5.0,4703.261591751624,4206.725054048198,4206.725054048198,11.0,46.0,19.0,19.0,23.0
