datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2023-01-14,kalmar,1,2,fighter simoni,6,v,dwight pieters,2640.0,1,2640.0,110000.0,1.0,4.0,18.09,3.51,18680.0,4,2022-12-26,solvalla-12,dwight pieters,5.0,2140.0,5.0,51.62,220.0,14.5,2022-12-10,åby-9,dwight pieters,2.0,1640.0,5.0,51.77,110.0,12.6,2022-10-31,mantorp-8,dwight pieters,15.0,3160.0,5.0,6.17,50.0,16.9,2022-10-08,åby-1,emilia leo,15.0,2140.0,5.0,4.43,150.0,14.1,2022-09-17,färjestad-8,dwight pieters,15.0,2140.0,5.0,50.63,110.0,12.9,16,1,1,0,1,1,2201.322892003233,6976.064300232707,7.0710678118654755,12.24744871391589,10.488088481701515,19.0,16.0,40.0,23.0,21.0
2023-01-14,kalmar,1,3,lucky guy boko,5,v,joakim lövgren,2640.0,1,2640.0,110000.0,3.0,39.0,2.31,1.3,34339.0,2,2022-12-26,solvalla-6,joakim lövgren,2.0,2140.0,12.0,4.25,220.0,14.7,2022-12-11,kalmar-7,joakim lövgren,1.0,2140.0,12.0,1.49,40.0,14.3,2022-11-19,jägersro-9,tyler mifsud,1.0,1640.0,12.0,13.29,110.0,11.6,2022-10-08,åby-7,tyler mifsud,1.0,2140.0,12.0,8.91,150.0,12.0,2022-09-21,åby-9,tyler mifsud,1.0,3160.0,12.0,36.78,150.0,14.9,1,1,1,1,1,0,9865.64474537587,6935.717076596412,11501.58559756547,13430.958365832146,13430.958365832146,19.0,15.0,22.0,42.0,17.0
2023-01-14,kalmar,1,4,r.k.king,11,v,oscar ginman,2640.0,1,2640.0,110000.0,4.0,0.0,74.68,11.17,9206.0,8,2022-12-23,halmstad-10,jörgen sjunnesson,4.0,2140.0,1.0,14.72,110.0,14.4,2022-12-11,kalmar-4,jörgen sjunnesson,1.0,1640.0,1.0,5.93,40.0,12.3,2022-10-28,kalmar-8,oscar ginman,15.0,2660.0,1.0,86.04,40.0,14.9,2022-10-04,kalmar-9,oscar ginman,15.0,2140.0,1.0,88.36,60.0,13.5,2022-09-11,tingsryd-5,oscar ginman,15.0,1609.0,1.0,5.55,10.0,12.7,28,1,1,0,1,1,2566.350636345657,6935.717076596412,6.324555320336759,7.745966692414834,3.1622776601683795,22.0,12.0,44.0,24.0,23.0
2023-01-14,kalmar,1,5,olga utca,9,s,gustav johansson,2640.0,1,2640.0,110000.0,5.0,6.0,9.29,2.94,9470.0,3,2023-01-04,jägersro-6,gustav johansson,1.0,2160.0,5.0,7.01,60.0,14.4,2022-12-21,åby-8,gustav johansson,4.0,2160.0,5.0,6.4,60.0,15.3,2022-12-14,jägersro-6,gustav johansson,2.0,2160.0,5.0,16.45,60.0,14.0,2022-11-28,halmstad-10,sara brodin,2.0,2660.0,5.0,41.55,40.0,15.3,2022-11-21,halmstad-3,gustav johansson,2.0,2140.0,5.0,9.15,25.0,15.3,10,0,0,0,0,1,8494.48391898452,1895.3755572212776,5152.164935300037,4206.725054048198,3325.708165221809,10.0,14.0,7.0,16.0,7.0
2023-01-14,kalmar,1,6,gerben,6,v,hans crebas,2640.0,1,2640.0,110000.0,6.0,11.0,8.39,2.55,22602.0,5,2022-12-26,solvalla-12,hans crebas,7.0,2140.0,3.0,6.46,220.0,15.2,2022-12-10,åby-9,örjan kihlström,5.0,1640.0,3.0,3.62,110.0,12.7,2022-11-30,åby-9,hans crebas,2.0,2140.0,3.0,4.4,110.0,12.5,2022-11-18,örebro-2,hans crebas,2.0,2609.0,3.0,1.49,25.0,15.0,2022-11-01,axevalla-7,hans crebas,2.0,2140.0,3.0,2.55,25.0,13.6,9,1,1,1,1,1,809.8214353480527,1556.570344516668,6976.064300232707,3325.708165221809,3325.708165221809,19.0,16.0,10.0,12.0,17.0
2023-01-14,kalmar,1,7,oskar run,6,h,kevin oscarsson,2640.0,1,2640.0,110000.0,7.0,3.0,26.49,4.76,13793.0,15,2022-12-31,axevalla-10,carl johan jepson,2.0,2140.0,11.0,35.67,110.0,16.1,2022-12-21,åby-2,carl johan jepson,1.0,2640.0,11.0,13.19,40.0,16.5,2022-12-06,axevalla-7,victor rosleff,15.0,2160.0,11.0,4.35,25.0,16.0,2022-11-22,färjestad-4,carl johan jepson,15.0,2140.0,11.0,5.11,25.0,15.6,2022-11-14,färjestad-9,andré eklundh,15.0,2660.0,11.0,3.5,40.0,16.2,20,1,1,0,1,0,6976.064300232707,6935.717076596412,5.0,5.0,6.324555320336759,14.0,10.0,15.0,14.0,8.0
2023-01-14,kalmar,1,8,persos otello,7,v,kim eriksson,2640.0,1,2640.0,110000.0,8.0,1.0,47.8,7.19,16210.0,20,2022-11-25,solvalla-3,magnus jakobsson,15.0,3180.0,6.0,15.02,80.0,16.1,2022-11-12,eskilstuna-4,magnus jakobsson,2.0,3160.0,6.0,31.66,100.0,15.1,2022-10-31,mantorp-8,magnus jakobsson,2.0,3160.0,6.0,3.89,50.0,15.5,2022-09-24,solvalla-13,claes sjöström,2.0,3160.0,6.0,64.81,300.0,14.4,2022-09-16,kalmar-8,örjan kihlström,2.0,3160.0,6.0,3.58,150.0,15.5,25,0,0,0,0,0,8.94427190999916,6651.416330443618,4703.261591751624,11520.591026621687,8146.288038201084,50.0,13.0,12.0,37.0,8.0
2023-01-14,kalmar,1,9,lucifer sam,6,v,stefan persson,2640.0,1,2640.0,110000.0,9.0,17.0,6.34,2.06,19727.0,1,2022-12-23,halmstad-10,stefan persson,1.0,2140.0,9.0,4.81,110.0,14.3,2022-11-30,åby-9,stefan persson,4.0,2140.0,9.0,15.4,110.0,12.7,2022-11-19,jägersro-11,stefan persson,20.0,2640.0,9.0,8.5,110.0,30.0,2022-10-28,kalmar-8,stefan persson,20.0,2640.0,9.0,3.07,40.0,14.6,2022-09-15,åby-9,stefan persson,20.0,2660.0,9.0,8.61,40.0,14.4,7,1,1,1,0,0,11501.58559756547,2566.350636345657,0.8609147285877977,0.5191511147666147,0.5191511147666147,22.0,23.0,11.0,22.0,43.0
2023-01-14,kalmar,1,10,first one in,9,v,sören boel,2640.0,1,2640.0,110000.0,10.0,1.0,59.01,8.38,14361.0,7,2023-01-05,åby-4,tony jönsson,2.0,2160.0,1.0,3.53,40.0,15.4,2022-12-15,åby-6,tony jönsson,3.0,2180.0,1.0,6.65,50.0,15.2,2022-11-15,jägersro-8,tony jönsson,2.0,2160.0,1.0,5.27,50.0,15.0,2022-11-01,halmstad-2,tony jönsson,2.0,2180.0,1.0,5.12,25.0,14.1,2022-10-19,åby-5,tony jönsson,2.0,2160.0,1.0,17.06,40.0,15.1,27,0,0,0,0,0,4206.725054048198,2852.6723560462033,4703.261591751624,3325.708165221809,4206.725054048198,9.0,21.0,30.0,14.0,13.0
2023-01-14,kalmar,1,11,jello w.,7,v,thomas uhrberg,2640.0,1,2640.0,110000.0,11.0,10.0,8.82,2.76,13205.0,20,2022-12-23,halmstad-7,thomas uhrberg,1.0,2140.0,1.0,13.97,110.0,13.6,2022-12-04,mantorp-4,björn goop,1.0,2640.0,1.0,1.71,40.0,15.2,2022-11-17,åby-7,stig-christer westrum,7.0,2140.0,1.0,5.04,40.0,15.1,2022-10-27,åby-7,björn goop,7.0,2640.0,1.0,11.57,40.0,14.6,2022-10-18,axevalla-8,per henriksen,7.0,2140.0,1.0,80.01,40.0,14.8,10,1,1,1,1,1,11501.58559756547,6935.717076596412,345.309020272667,345.309020272667,345.309020272667,22.0,19.0,17.0,21.0,9.0
