datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,proba_cat1L1,proba_cat2L1,proba_xgb1L1,proba_xgb2L1
2022-10-08,åby,1,1,honey mearas,5,s,örjan kihlström,2140.0,0,2140.0,500000.0,1.0,42.0,1.78,1.24,2022-09-16,kalmar,örjan kihlström,2.0,2140.0,7.0,1.81,200.0,12.5,2022-08-17,solvalla,örjan kihlström,1.0,2140.0,7.0,3.08,1000.0,10.6,2022-07-24,axevalla,örjan kihlström,20.0,2140.0,7.0,1.78,100.0,30.0,2022-05-07,åby,örjan kihlström,20.0,2140.0,7.0,2.82,250.0,11.8,2022-04-15,färjestad,örjan kihlström,20.0,2140.0,7.0,1.83,150.0,12.3,0,1,1,1,1,1,9406.523183503248,34678.585382982055,0.820849986238988,1.2978777869165363,1.005331810828057,22.0,30.0,24.0,78.0,22.0,0.3291219900045434,0.0,0.09090909090909091,False,False,False,True,True,True,0.3677181147433991,0.4412981835921096,0.07945085,0.08108901
2022-10-08,åby,1,2,global brilliance,5,s,magnus jakobsson,2140.0,0,2140.0,500000.0,2.0,1.0,75.29,10.89,2022-07-24,axevalla,björn goop,8.0,2140.0,4.0,35.41,100.0,13.2,2022-07-07,halmstad,erik adielsson,5.0,2140.0,4.0,9.26,200.0,12.8,2022-06-13,solvalla,erik adielsson,3.0,1640.0,4.0,15.6,40.0,11.4,2022-06-05,axevalla,ulf ohlsson,3.0,2140.0,4.0,16.1,50.0,13.3,2022-05-18,åby,stefan persson,3.0,1640.0,4.0,17.03,70.0,11.9,28,1,1,1,1,1,331.1545195869232,2098.879024374998,2551.5077222615173,2852.6723560462037,3375.327450682418,76.0,17.0,24.0,8.0,18.0,0.08746024534302589,41.0,0.6363636363636364,False,False,False,False,False,False,0.025384726082947704,0.028572931501602023,0.024560118,0.019833282
2022-10-08,åby,1,4,racing brodda,7,s,rikard n skoglund,2140.0,0,2140.0,500000.0,3.0,11.0,12.44,2.45,2022-09-30,bollnäs,rikard n skoglund,2.0,1640.0,2.0,8.44,100.0,11.0,2022-07-24,axevalla,rikard n skoglund,6.0,2140.0,2.0,13.77,100.0,13.0,2022-03-02,solvalla,rikard n skoglund,1.0,1660.0,2.0,1.19,60.0,12.5,2022-02-19,bergsåker,rikard n skoglund,1.0,2640.0,2.0,12.24,500.0,14.0,2022-02-05,solvalla,rikard n skoglund,1.0,2140.0,2.0,1.54,220.0,13.8,13,1,1,0,1,1,6651.416330443618,900.1713130052182,8494.48391898452,24521.4628862633,16265.698340872146,8.0,68.0,144.0,11.0,14.0,0.13013062244434348,31.0,0.36363636363636365,False,False,False,True,True,True,0.09036904531991205,0.08126453089598705,0.13675687,0.12600654
2022-10-08,åby,1,5,digital class,7,s,ulf ohlsson,2140.0,0,2140.0,500000.0,4.0,9.0,12.88,2.32,2022-09-24,solvalla,björn goop,2.0,2140.0,4.0,19.48,220.0,12.2,2022-09-14,solvalla,björn goop,3.0,2140.0,4.0,8.9,60.0,12.4,2022-09-07,solvalla,björn goop,3.0,2140.0,4.0,12.92,60.0,12.2,2022-08-31,solvalla,ulf ohlsson,3.0,2180.0,4.0,4.02,125.0,12.5,2022-07-24,axevalla,ulf ohlsson,3.0,2140.0,4.0,8.26,100.0,12.7,13,1,1,1,0,1,9865.64474537587,3124.9459971558285,3124.9459971558285,4510.471031652402,4034.287934927351,14.0,10.0,7.0,7.0,38.0,0.02755679236710586,33.0,0.45454545454545453,False,False,False,False,False,False,0.0353074741379633,0.04729620748544639,0.00014442447,0.00022492664
2022-10-08,åby,1,6,chablis ribb,5,s,johan untersteiner,2140.0,0,2140.0,500000.0,5.0,2.0,34.25,6.0,2022-09-16,kalmar,stefan persson,15.0,2140.0,10.0,83.74,200.0,12.9,2022-09-03,jägersro,mats e djuse,5.0,2140.0,10.0,14.65,110.0,13.1,2022-07-24,axevalla,magnus a djuse,7.0,2140.0,10.0,30.87,100.0,13.1,2022-07-07,halmstad,magnus a djuse,7.0,2140.0,10.0,30.03,200.0,12.3,2022-06-24,hagmyren,mats e djuse,7.0,1640.0,10.0,11.22,70.0,11.8,22,1,1,1,1,1,14.142135623730953,1556.570344516668,545.9815003314424,772.1344425735364,456.80089655441896,22.0,13.0,41.0,17.0,13.0,0.0474011812812358,40.0,0.5454545454545454,False,False,False,False,False,False,0.02508501284394036,0.024477445614403858,0.024579631,0.016178643
2022-10-08,åby,1,7,dear friend,9,s,erik adielsson,2140.0,0,2140.0,500000.0,6.0,19.0,5.07,1.65,2022-09-24,solvalla,erik adielsson,3.0,2140.0,7.0,9.67,220.0,12.3,2022-09-03,jägersro,erik adielsson,1.0,2140.0,7.0,3.53,110.0,12.6,2022-08-21,vaggeryd,magnus a djuse,1.0,2148.0,7.0,9.22,125.0,12.5,2022-07-07,halmstad,erik adielsson,1.0,3180.0,7.0,27.75,200.0,13.5,2022-06-12,bjerke,johan untersteiner,1.0,1609.0,7.0,15.42,,10.9,5,1,1,1,0,1,5983.816015903301,11501.58559756547,12260.73144313165,15508.734855975692,,14.0,21.0,13.0,45.0,25.0,0.07870854157201272,23.0,0.18181818181818182,False,False,False,True,True,False,0.15494403552064376,0.18705444769212626,0.2885582,0.24362752
2022-10-08,åby,1,8,kia ora,5,s,oskar kylin blom,2140.0,0,2140.0,500000.0,7.0,1.0,44.48,8.69,2022-09-24,solvalla,oskar kylin blom,1.0,2160.0,2.0,31.65,220.0,12.6,2022-09-14,bergsåker,oskar kylin blom,15.0,2140.0,2.0,7.38,60.0,13.7,2022-08-27,bergsåker,isabell eriksson,3.0,2140.0,2.0,6.3,200.0,13.2,2022-07-02,eskilstuna,oskar kylin blom,3.0,2160.0,2.0,3.91,220.0,14.0,2022-06-12,bjerke,oskar kylin blom,3.0,2160.0,2.0,2.97,,15.1,24,0,1,0,0,0,16265.698340872146,7.745966692414834,5705.344712092407,5983.816015903301,,14.0,10.0,18.0,56.0,20.0,0.03196388005452067,41.0,0.6363636363636364,False,False,False,True,True,False,0.024569297663127217,0.026762702841934893,0.006447678,0.006593934
2022-10-08,åby,1,9,nina ginto,6,s,stefan persson,2140.0,0,2140.0,500000.0,9.0,0.0,69.7,9.2,2022-09-07,åby,gustav johansson,3.0,1640.0,5.0,10.07,60.0,11.0,2022-08-27,bergsåker,gustav johansson,1.0,2140.0,5.0,2.6,200.0,12.6,2022-08-13,åby,stefan persson,15.0,2160.0,5.0,13.81,220.0,13.0,2022-07-24,axevalla,stefan persson,15.0,2160.0,5.0,10.57,110.0,13.5,2022-07-09,halmstad,stefan persson,15.0,2640.0,5.0,9.19,110.0,14.4,28,1,0,0,0,1,3124.9459971558285,15508.734855975692,14.832396974191326,10.488088481701515,10.488088481701515,31.0,11.0,14.0,20.0,15.0,0.028092912312585188,42.0,0.7272727272727273,False,False,False,False,False,True,0.022748941329428275,0.020579670847505678,0.0013016242,0.0006679205
2022-10-08,åby,1,10,iceland falls,6,s,kevin oscarsson,2140.0,0,2140.0,500000.0,10.0,2.0,38.36,5.67,2022-07-09,halmstad,björn goop,2.0,1640.0,5.0,1.79,110.0,11.4,2022-06-26,kalmar,magnus a djuse,2.0,2140.0,5.0,1.93,110.0,11.9,2022-05-28,solvalla,carl johan jepson,15.0,3160.0,5.0,52.82,1000.0,13.4,2022-05-07,åby,magnus a djuse,15.0,2140.0,5.0,12.28,125.0,12.3,2022-04-30,örebro,magnus a djuse,15.0,2100.0,5.0,8.88,110.0,13.6,23,1,1,0,1,1,6976.064300232707,6976.064300232707,31.622776601683796,11.180339887498947,10.488088481701515,91.0,13.0,29.0,21.0,7.0,0.04247955474784189,40.0,0.5454545454545454,False,False,False,False,False,False,0.026484245558967237,0.025304229748568583,0.00011227381,0.00018814046
2022-10-08,åby,1,11,sayonara,5,s,carl johan jepson,2140.0,0,2140.0,500000.0,11.0,13.0,7.25,1.87,2022-09-16,kalmar,carl johan jepson,3.0,2140.0,9.0,5.78,200.0,12.6,2022-08-27,bergsåker,carl johan jepson,6.0,2140.0,9.0,38.44,1000.0,11.7,2022-08-17,solvalla,carl johan jepson,2.0,2140.0,9.0,6.43,1000.0,10.6,2022-06-12,bjerke,björn goop,2.0,1609.0,9.0,4.25,,9.9,2022-05-28,solvalla,carl johan jepson,2.0,1640.0,9.0,6.02,220.0,10.4,8,1,1,1,1,1,5705.344712092407,2846.591633440839,21033.625270240995,,9865.64474537587,22.0,20.0,10.0,66.0,15.0,0.14774875056792366,29.0,0.2727272727272727,False,False,False,True,True,True,0.09809146726590014,0.10323402334106262,0.027996976,0.040268533
