datum,avd,bana,häst,kusk,streck,spår,dist,lopp_dist,start,ålder,kön,pris,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,startnr,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,y,probat1L1,probat2L1,probab1L1,probab2L1
2016-01-09,4.0,åby,höwings tia maria,marika eriksson,0.0,2.0,2140.0,2140.0,0,5,s,100000.0,johanna pripp,jägersro,5.0,4.0,35.0,17.69,13.7,joakim lövgren,jägersro,5.0,4.0,20.0,24.89,14.9,joakim lövgren,åby,5.0,15.0,25.0,12.09,13.4,joakim lövgren,åby,5.0,15.0,25.0,5.11,30.0,marika eriksson,jägersro,5.0,15.0,30.0,5.01,13.7,1640.0,1640.0,1640.0,1640.0,1640.0,1,1,1,1,1,1447.6169935559344,1094.2955881771416,5.0,5.0,5.47722557505166,32.0,14.0,15.0,18.0,16.0,,0.06358244899337168,29.0,0.6666666666666666,False,False,True,False,False,False,0,0.23884522770280184,0.12291039769136983,0.4666449,0.4696951
2016-01-09,4.0,åby,lovely sky,jan hansen,3.0,4.0,2140.0,2140.0,0,6,s,100000.0,jan hansen,åby,4.0,3.0,30.0,8.31,15.9,tony wallin,solvalla,4.0,15.0,40.0,24.45,15.7,torbjörn jansson,solvalla,4.0,15.0,40.0,12.53,15.3,tony wallin,solvalla,4.0,15.0,50.0,8.47,14.0,stefan söderkvist,vaggeryd,4.0,15.0,22.0,3.06,14.1,2140.0,2640.0,2140.0,2140.0,1640.0,1,1,1,1,0,2209.670505430644,6.324555320336759,6.324555320336759,7.071067811865476,4.69041575982343,9.0,43.0,14.0,38.0,45.0,,0.07143178672308437,26.0,0.4666666666666667,True,False,False,True,False,False,0,0.23926783939298646,0.125930861096743,0.46592176,0.4696951
2016-01-09,4.0,åby,nakoda goj,tino ärling,2.0,12.0,2140.0,2140.0,0,7,v,100000.0,ulf ohlsson,solvalla,1.0,4.0,60.0,11.92,14.8,ulf ohlsson,solvalla,1.0,15.0,60.0,16.5,14.9,tino ärling,romme,1.0,15.0,100.0,7.86,18.2,torbjörn jansson,solvalla,1.0,15.0,40.0,34.04,16.8,ulf ohlsson,solvalla,1.0,15.0,80.0,15.15,15.6,2640.0,2140.0,2140.0,2140.0,2640.0,1,1,1,1,1,1895.375557221277,7.745966692414835,10.0,6.324555320336759,8.94427190999916,10.0,14.0,11.0,10.0,294.0,,0.07040208865531561,27.0,0.5333333333333333,False,False,False,False,False,True,0,0.23863869803916957,0.1212522653578446,0.46642837,0.4696951
2016-01-09,4.0,åby,qualis talis,daniel wäjersten,15.0,8.0,2140.0,2140.0,0,7,v,100000.0,stefan söderkvist,solvalla,1.0,3.0,200.0,8.69,13.7,stefan söderkvist,åby,1.0,3.0,100.0,6.96,12.8,björn goop,romme,1.0,4.0,100.0,6.72,16.9,stefan söderkvist,solvalla,1.0,4.0,200.0,49.52,13.7,stefan söderkvist,jägersro,1.0,4.0,100.0,23.01,13.2,2140.0,1640.0,2640.0,2140.0,2140.0,1,1,0,1,1,5705.344712092408,4034.287934927351,2446.919322642204,3460.466492113392,2446.919322642204,14.0,14.0,7.0,21.0,21.0,,0.08338866319307683,14.0,0.13333333333333333,False,True,False,False,False,False,0,0.3000358631208235,0.19734694590400875,0.46717212,0.47007602
2016-01-09,4.0,åby,quantum outlook,niclas benzon,3.0,7.0,2140.0,2140.0,0,8,v,100000.0,carl johan jepson,örebro,9.0,3.0,35.0,5.4,15.7,carl johan jepson,färjestad,9.0,1.0,20.0,1.77,15.2,carl johan jepson,åby,9.0,2.0,25.0,12.34,14.1,eric martinsson,åby,9.0,2.0,25.0,11.09,15.0,niclas benzon,åmål,9.0,2.0,22.0,5.92,13.4,2100.0,2640.0,2140.0,2140.0,1680.0,1,1,1,1,1,2386.7169291026403,4904.29257725266,3325.708165221809,3325.708165221809,3119.7907981459666,20.0,20.0,18.0,23.0,19.0,,0.05879969840537469,26.0,0.4666666666666667,False,False,True,False,False,False,0,0.2447594331287058,0.1279858737490567,0.46642837,0.4696951
2016-01-09,4.0,åby,sheer bliss,fredrik berg,3.0,13.0,2140.0,2140.0,0,8,s,100000.0,fredrik berg,mantorp,9.0,3.0,100.0,9.15,14.3,fredrik berg,axevalla,9.0,2.0,25.0,4.5,13.8,fredrik berg,åby,9.0,2.0,35.0,14.26,14.1,fredrik berg,solvalla,9.0,2.0,50.0,11.7,14.0,fredrik berg,jägersro,9.0,2.0,100.0,8.24,13.7,1640.0,2140.0,2140.0,2140.0,2140.0,1,1,1,1,1,4034.287934927351,3325.708165221809,3935.030968151612,4703.261591751624,6651.416330443618,21.0,18.0,26.0,43.0,18.0,,0.07863404643206806,26.0,0.4666666666666667,False,False,True,True,True,True,0,0.24182281661003058,0.13013970593033417,0.46926683,0.4740899
2016-01-09,4.0,åby,storm cloud,ville karhulahti,4.0,6.0,2140.0,2140.0,0,5,s,100000.0,jorma kontio,romme,5.0,3.0,100.0,10.78,14.7,maria törnqvist,bergsåker,5.0,1.0,30.0,6.62,16.0,maria törnqvist,eskilstuna,5.0,5.0,25.0,3.73,14.1,maria törnqvist,eskilstuna,5.0,5.0,30.0,10.31,15.4,markus b svedberg,solvalla,5.0,5.0,40.0,3.79,15.2,2160.0,2660.0,1640.0,2140.0,2140.0,0,0,1,0,1,4034.287934927351,6006.507181794034,742.065795512883,812.8923507108439,938.6472350101868,7.0,10.0,13.0,9.0,20.0,,0.05591316775638357,25.0,0.4,False,False,False,False,False,False,0,0.25093207160766695,0.13384993000428128,0.46692586,0.4700505
2016-01-09,4.0,åby,swing kronos,adrian kolgjini,14.0,1.0,2140.0,2140.0,0,5,v,100000.0,johnny takter,åby,3.0,20.0,25.0,2.13,30.0,lutfi kolgjini,halmstad,3.0,1.0,35.0,17.48,13.6,christoffer eriksson,kalmar,3.0,15.0,100.0,7.64,16.0,lutfi kolgjini,eskilstuna,3.0,15.0,100.0,7.07,16.8,christoffer eriksson,kalmar,3.0,15.0,25.0,5.01,14.2,2640.0,2160.0,2140.0,2660.0,2160.0,1,0,1,0,0,0.4104249931194939,6487.769258055282,10.0,10.0,5.0,17.0,9.0,24.0,13.0,15.0,,0.04311227647674458,15.0,0.2,True,False,False,False,False,False,0,0.2792465409273214,0.17544870415848296,0.474381,0.4747902
2016-01-09,4.0,åby,tack wee,mads h nielsen,5.0,15.0,2140.0,2140.0,0,6,v,100000.0,åsbjörn tengsareid,momarken,,1.0,,5.1,15.4,torbjörn jansson,åby,,4.0,110.0,24.46,12.6,kenneth haugstad,örebro,,2.0,100.0,20.8,17.0,björn goop,solvalla,,2.0,200.0,9.25,14.3,christian nörlem,åby,,2.0,60.0,11.45,12.9,2680.0,1640.0,3160.0,2140.0,1640.0,0,1,0,1,1,,2566.350636345657,6651.416330443618,9406.523183503248,5152.1649353000375,12.0,16.0,13.0,15.0,17.0,,0.08000135042369544,24.0,0.3333333333333333,False,True,False,False,False,False,1,0.255968799407715,0.15139895026563285,0.47159684,0.47114265
2016-01-09,4.0,åby,takeachancewithme,henriette larsen,0.0,11.0,2140.0,2140.0,0,9,v,100000.0,björn goop,axevalla,4.0,2.0,30.0,4.94,16.3,björn goop,axevalla,4.0,1.0,20.0,3.38,16.6,rickard svanstedt,axevalla,4.0,15.0,30.0,110.73,17.0,stina hallerstedt,åby,4.0,15.0,25.0,67.33,13.2,anton johansson,åby,4.0,15.0,25.0,33.71,15.0,2140.0,2180.0,2160.0,1640.0,2160.0,1,0,0,1,0,3643.130763542206,4904.29257725266,5.47722557505166,5.0,5.0,13.0,47.0,70.0,12.0,14.0,,0.06344177985843058,29.0,0.6666666666666666,False,False,False,False,False,False,0,0.24096924875723455,0.12126676140856535,0.46607706,0.4696951
