datum,bana,7rätt,6rätt,5rätt
2014-12-26,SOLVALLA,621323,2642,140
2014-12-28,ÖREBRO,25581,301,33
2015-01-03,JÄGERSRO,291847,2102,146
2015-01-10,ROMME,34730,455,53
2015-01-17,ÅBY,2111,32,0
2015-01-24,BERGSÅKER,116316,486,45
2015-01-25,SOLVALLA,4950,73,0
2015-01-31,AXEVALLA,8126,48,0
2015-02-07,SOLVALLA,23061,82,0
2015-02-14,KALMAR,32660,98,0
2015-02-21,GÄVLE,1330,16,0
2015-02-28,HALMSTAD,617275,1226,78
2015-03-01,SOLVALLA,558,0,0
2015-03-07,BERGSÅKER,168755,977,89
2015-03-14,ESKILSTUNA,986,23,0
2015-03-21,MOMARKEN,9622,65,0
2015-03-28,SOLVALLA,756428,1926,114
2015-04-03,FÄRJESTAD,20160,128,0
2015-04-05,ROMME,3217,29,0
2015-04-11,JÄGERSRO,3136,38,0
2015-04-18,MANTORP,1273,0,0
2015-04-25,ÅBY,4183689,14745,878
2015-05-02,ÖREBRO,15228,107,0
2015-05-09,UMÅKER,7701,63,0
2015-05-10,CHARLOTTENLUND,1145848,3687,211
2015-05-16,ÅBY,28073,113,0
2015-05-17,VERMO,39506,369,32
2015-05-23,GÄVLE,3548,34,0
2015-05-30,SOLVALLA,6352404,24027,1099
2015-05-31,SOLVALLA,30709,322,35
2015-06-06,ÖSTERSUND,189421,1495,130
2015-06-13,BODEN,32550,265,25
2015-06-14,BJERKE,527,0,0
2015-06-21,KALMAR,1367478,2405,109
2015-06-27,FÄRJESTAD,1105891,6244,424
2015-07-02,HALMSTAD,2406,27,0
2015-07-04,HALMSTAD,31952,301,37
2015-07-11,ÅRJÄNG,17131,184,23
2015-07-18,AXEVALLA,477140,2073,145
2015-07-19,AXEVALLA,103710,337,27
2015-07-25,HAGMYREN,156895,1322,112
2015-07-28,JÄGERSRO,2615769,2052,126
2015-08-01,RÄTTVIK,11835,150,18
2015-08-08,DANNERO,2938,54,0
2015-08-15,ÅBY,1030326,4131,304
2015-08-19,SOLVALLA,7701,75,0
2015-08-22,GÄVLE,439292,1728,127
2015-08-25,JÄGERSRO,398202,2453,188
2015-08-29,BERGSÅKER,3426216,3177,92
2015-09-05,JÄGERSRO,100863,728,68
2015-09-06,JÄGERSRO,144972,915,71
2015-09-12,BOLLNÄS,82674,380,34
2015-09-19,FÄRJESTAD,2022,37,0
2015-09-26,SOLVALLA,431777,1800,127
2015-09-27,SOLVALLA,9214,98,0
2015-10-03,SKELLEFTEÅ,349,0,0
2015-10-10,ÅBY,106182,624,73
2015-10-17,ÖREBRO,8853,116,0
2015-10-24,JÄGERSRO,1000,15,0
2015-10-25,SOLVALLA,2102096,1356,28
2015-10-31,BERGSÅKER,32094,157,16
2015-11-07,ESKILSTUNA,628729,4296,296
2015-11-08,ESKILSTUNA,7913,127,19
2015-11-14,SOLVALLA,2474,39,0
2015-11-21,BJERKE,115370,711,75
2015-11-28,JÄGERSRO,9050,138,21
2015-11-29,ÖREBRO,55226,495,47
2015-12-05,ROMME,504,0,0
2015-12-12,ÅBY,14788006,37800,2011
2015-12-19,MANTORP,50584,516,48
2015-12-23,BERGSÅKER,305920,1680,121
2015-12-26,SOLVALLA,1753,35,0
2015-12-29,HALMSTAD,13865,49,0
2016-01-02,ROMME,90166,235,26
2016-01-09,ÅBY,10629768,13833,465
2016-01-16,GÄVLE,26865,320,39
2016-01-23,AXEVALLA,9268,140,21
2016-01-30,BERGSÅKER,305501,1403,89
2016-01-31,SOLVALLA,3492,36,0
2016-02-06,JÄGERSRO,641758,4204,362
2016-02-13,SOLVALLA,1257672,7188,363
2016-02-20,BOLLNÄS,5348,89,0
