iter	Passed	Remaining
0	79	79449
1	166	82899
2	250	83219
3	333	83063
4	415	82615
5	498	82616
6	577	81953
7	652	80965
8	733	80815
9	818	81007
10	907	81556
11	990	81539
12	1074	81545
13	1162	81879
14	1255	82427
15	1339	82358
16	1423	82306
17	1508	82276
18	1588	82038
19	1674	82036
20	1761	82130
21	1845	82060
22	1929	81982
23	2010	81747
24	2091	81572
25	2170	81299
26	2248	81046
27	2329	80875
28	2409	80689
29	2501	80887
30	2591	81000
31	2671	80807
32	2753	80688
33	2835	80570
34	2915	80395
35	2997	80276
36	3065	79796
37	3143	79584
38	3224	79445
39	3318	79653
40	3413	79840
41	3512	80119
42	3594	79991
43	3697	80340
44	3778	80178
45	3860	80072
46	3941	79926
47	4023	79800
48	4104	79652
49	4199	79790
50	4291	79852
51	4370	79677
52	4453	79576
53	4533	79428
54	4614	79278
55	4693	79110
56	4773	78978
57	4797	77919
58	4865	77593
59	4949	77537
60	5042	77615
61	5123	77511
62	5202	77384
63	5287	77323
64	5367	77214
65	5449	77113
66	5529	76995
67	5612	76929
68	5695	76851
69	5777	76755
70	5861	76690
71	5958	76799
72	6040	76711
73	6119	76576
74	6199	76455
75	6278	76338
76	6360	76246
77	6440	76129
78	6522	76039
79	6604	75946
80	6698	75998
81	6781	75914
82	6868	75879
83	6950	75795
84	6993	75285
85	7075	75201
86	7157	75111
87	7248	75124
88	7328	75009
89	7408	74907
90	7519	75110
91	7605	75059
92	7685	74952
93	7772	74909
94	7853	74819
95	7941	74785
96	8023	74691
97	8103	74585
98	8183	74475
99	8263	74374
100	8349	74321
101	8442	74324
102	8523	74231
103	8605	74141
104	8689	74066
105	8773	73992
106	8857	73919
107	8945	73883
108	9025	73780
109	9106	73680
110	9202	73703
111	9290	73662
112	9373	73579
113	9454	73483
114	9534	73374
115	9616	73281
116	9697	73184
117	9775	73068
118	9856	72968
119	9937	72873
120	10021	72799
121	10103	72713
122	10186	72629
123	10267	72536
124	10350	72451
125	10451	72500
126	10531	72395
127	10613	72306
128	10699	72241
129	10785	72180
130	10881	72185
131	10974	72163
132	11057	72080
133	11139	71990
134	11220	71897
135	11308	71842
136	11387	71732
137	11469	71641
138	11551	71550
139	11632	71456
140	11725	71434
141	11806	71336
142	11885	71232
143	11965	71130
144	12048	71046
145	12126	70934
146	12208	70842
147	12287	70738
148	12366	70631
149	12449	70546
150	12531	70461
151	12618	70396
152	12699	70303
153	12781	70213
154	12863	70127
155	12946	70045
156	13026	69943
157	13106	69845
158	13185	69740
159	13263	69634
160	13345	69545
161	13440	69523
162	13520	69426
163	13599	69325
164	13680	69233
165	13764	69153
166	13845	69063
167	13924	68961
168	14002	68854
169	14082	68757
170	14167	68681
171	14249	68595
172	14329	68501
173	14409	68405
174	14492	68322
175	14574	68236
176	14655	68142
177	14734	68043
178	14813	67944
179	14897	67868
180	14992	67837
181	15077	67766
182	15158	67672
183	15243	67603
184	15325	67513
185	15407	67427
186	15491	67349
187	15573	67265
188	15652	67165
189	15735	67085
190	15817	66997
191	15900	66916
192	15982	66827
193	16060	66725
194	16141	66634
195	16220	66538
196	16302	66452
197	16381	66354
198	16466	66281
199	16548	66193
200	16627	66097
201	16710	66014
202	16789	65916
203	16872	65834
204	16953	65744
205	17033	65653
206	17113	65559
207	17194	65470
208	17275	65381
209	17353	65281
210	17432	65185
211	17515	65104
212	17596	65017
213	17676	64922
214	17754	64826
215	17835	64735
216	17915	64644
217	17997	64560
218	18079	64473
219	18161	64391
220	18243	64306
221	18329	64234
222	18411	64150
223	18494	64069
224	18573	63975
225	18664	63920
226	18749	63847
227	18833	63768
228	18911	63671
229	18997	63601
230	19078	63510
231	19162	63432
232	19243	63345
233	19325	63261
234	19403	63164
235	19484	63076
236	19566	62991
237	19648	62907
238	19731	62827
239	19815	62747
240	19902	62679
241	19984	62595
242	20065	62509
243	20145	62419
244	20230	62344
245	20313	62261
246	20395	62178
247	20480	62103
248	20564	62022
249	20646	61938
250	20729	61859
251	20823	61809
252	20902	61716
253	20982	61626
254	21062	61536
255	21145	61455
256	21225	61364
257	21308	61281
258	21388	61193
259	21471	61111
260	21554	61029
261	21653	60994
262	21735	60907
263	21813	60814
264	21892	60721
265	21972	60631
266	22052	60539
267	22136	60462
268	22220	60382
269	22299	60290
270	22379	60201
271	22459	60112
272	22541	60029
273	22621	59938
274	22703	59853
275	22785	59771
276	22866	59683
277	22946	59595
278	23027	59508
279	23110	59427
280	23203	59370
281	23287	59291
282	23367	59203
283	23447	59114
284	23528	59027
285	23607	58935
286	23686	58844
287	23767	58758
288	23849	58674
289	23933	58596
290	24013	58507
291	24094	58421
292	24175	58333
293	24261	58261
294	24343	58176
295	24420	58081
296	24501	57996
297	24581	57907
298	24663	57822
299	24740	57728
300	24832	57667
301	24917	57590
302	24998	57503
303	25079	57417
304	25161	57334
305	25242	57249
306	25321	57158
307	25403	57075
308	25483	56987
309	25565	56903
310	25662	56852
311	25776	56840
312	25858	56757
313	25939	56670
314	26019	56582
315	26101	56498
316	26182	56411
317	26263	56325
318	26342	56236
319	26442	56190
320	26527	56112
321	26612	56034
322	26695	55952
323	26780	55875
324	26881	55831
325	26965	55750
326	27046	55663
327	27127	55578
328	27206	55488
329	27294	55416
330	27381	55342
331	27461	55254
332	27542	55167
333	27622	55079
334	27702	54992
335	27782	54904
336	27865	54820
337	27943	54729
338	28022	54640
339	28103	54553
340	28183	54465
341	28262	54376
342	28342	54288
343	28422	54201
344	28502	54114
345	28588	54037
346	28671	53954
347	28751	53868
348	28831	53780
349	28909	53689
350	28988	53599
351	29069	53514
352	29153	53433
353	29231	53343
354	29307	53249
355	29390	53166
356	29473	53086
357	29551	52994
358	29631	52907
359	29713	52823
360	29793	52737
361	29874	52652
362	29953	52563
363	30034	52477
364	30112	52387
365	30192	52300
366	30276	52220
367	30359	52139
368	30440	52054
369	30520	51967
370	30604	51886
371	30696	51821
372	30780	51740
373	30859	51651
374	30940	51567
375	31021	51481
376	31100	51394
377	31180	51306
378	31262	51224
379	31342	51137
380	31423	51052
381	31505	50969
382	31591	50893
383	31688	50833
384	31775	50758
385	31862	50682
386	31942	50596
387	32024	50512
388	32105	50427
389	32185	50340
390	32267	50258
391	32365	50199
392	32445	50113
393	32522	50021
394	32599	49931
395	32679	49844
396	32761	49761
397	32840	49673
398	32922	49589
399	33001	49502
400	33082	49417
401	33178	49354
402	33258	49269
403	33336	49179
404	33416	49092
405	33494	49004
406	33574	48918
407	33654	48831
408	33732	48743
409	33815	48661
410	33894	48574
411	33988	48507
412	34067	48420
413	34147	48334
414	34226	48247
415	34307	48162
416	34388	48077
417	34466	47988
418	34545	47901
419	34625	47816
420	34710	47737
421	34826	47700
422	34908	47617
423	34990	47534
424	35071	47449
425	35150	47362
426	35227	47272
427	35307	47186
428	35387	47100
429	35468	47016
430	35545	46926
431	35629	46846
432	35709	46760
433	35792	46679
434	35875	46597
435	35956	46512
436	36035	46425
437	36113	46337
438	36192	46250
439	36271	46163
440	36359	46087
441	36444	46009
442	36527	45927
443	36612	45848
444	36690	45759
445	36767	45670
446	36853	45593
447	36936	45511
448	37015	45424
449	37099	45344
450	37177	45256
451	37263	45177
452	37344	45094
453	37428	45012
454	37510	44929
455	37590	44844
456	37668	44757
457	37762	44687
458	37843	44604
459	37923	44519
460	38003	44433
