iter	Passed	Remaining
0	63647	1973064
1	143513	2152702
2	221052	2136842
3	307274	2150918
4	386906	2089297
5	481793	2087773
6	555778	1984922
7	638149	1914449
8	759584	1941160
9	889753	1957457
10	1034805	1975537
11	1178802	1964670
12	1303089	1904515
13	1460676	1878012
14	1579530	1790134
15	1700320	1700320
16	1831430	1615968
17	2021655	1572398
18	2144408	1467227
19	2344331	1406599
20	2492392	1305538
21	2639661	1199846
22	2766258	1082449
23	2982248	994082
24	3152706	882757
25	3395760	783637
26	3539169	655401
27	3800786	542969
28	3984535	412193
29	4221810	281454
30	4421190	142619
31	4632927	0
