iter	Passed	Remaining
0	23	11741
1	50	12554
2	84	14058
3	112	13967
4	126	12537
5	157	12943
6	188	13292
7	246	15147
8	290	15867
9	314	15403
10	351	15645
11	376	15306
12	400	15008
13	426	14790
14	457	14789
15	481	14572
16	506	14389
17	531	14232
18	556	14088
19	580	13930
20	621	14165
21	663	14411
22	688	14282
23	713	14143
24	738	14036
25	762	13906
26	787	13788
27	811	13683
28	836	13578
29	855	13396
30	878	13295
31	904	13225
32	929	13157
33	956	13112
34	981	13037
35	1006	12973
36	1029	12888
37	1059	12881
38	1090	12891
39	1115	12828
40	1140	12769
41	1165	12708
42	1190	12647
43	1214	12583
44	1238	12518
45	1291	12743
46	1321	12740
47	1354	12757
48	1385	12751
49	1410	12695
50	1445	12725
51	1477	12729
52	1510	12739
53	1535	12681
54	1559	12614
55	1566	12422
56	1601	12445
57	1625	12385
58	1648	12324
59	1674	12276
60	1697	12217
61	1723	12172
62	1748	12128
63	1774	12091
64	1799	12045
65	1839	12097
66	1859	12014
67	1884	11973
68	1897	11854
69	1941	11926
70	1967	11889
71	1995	11864
72	2027	11859
73	2052	11816
74	2060	11673
75	2084	11628
76	2108	11583
77	2133	11541
78	2156	11492
79	2169	11388
80	2200	11380
81	2230	11368
82	2262	11365
83	2286	11321
84	2310	11281
85	2338	11259
86	2363	11221
87	2388	11180
88	2413	11147
89	2438	11108
90	2464	11077
91	2493	11059
92	2524	11049
93	2561	11062
94	2586	11025
95	2599	10937
96	2623	10900
97	2650	10871
98	2681	10861
99	2699	10797
100	2739	10822
101	2764	10787
102	2800	10795
103	2831	10782
104	2854	10738
105	2879	10702
106	2898	10646
107	2939	10668
108	2970	10655
109	2995	10621
110	3029	10615
111	3060	10603
112	3084	10565
113	3121	10570
114	3158	10573
115	3182	10535
116	3207	10500
117	3232	10463
118	3258	10433
119	3282	10393
120	3308	10363
121	3342	10356
122	3358	10293
123	3382	10256
124	3407	10223
125	3431	10186
126	3465	10177
127	3495	10157
128	3527	10143
129	3552	10111
130	3565	10042
131	3590	10010
132	3618	9984
133	3642	9948
134	3650	9868
135	3680	9851
136	3693	9785
137	3717	9750
138	3749	9737
139	3774	9705
140	3797	9668
141	3823	9640
142	3860	9638
143	3884	9604
144	3917	9591
145	3948	9573
146	3974	9543
147	3999	9512
148	4022	9475
149	4046	9441
150	4065	9397
151	4089	9363
152	4128	9362
153	4152	9330
154	4165	9271
155	4191	9243
156	4217	9214
157	4242	9183
158	4266	9149
159	4289	9116
160	4314	9083
161	4338	9052
162	4364	9024
163	4395	9004
164	4426	8987
165	4450	8955
166	4475	8924
167	4503	8899
168	4535	8882
169	4541	8816
170	4565	8783
171	4597	8766
172	4622	8736
173	4647	8707
174	4670	8674
175	4695	8644
176	4735	8642
177	4759	8609
178	4784	8580
179	4808	8548
180	4834	8520
181	4857	8487
182	4876	8447
183	4906	8426
184	4931	8396
185	4969	8389
186	4994	8360
187	5033	8353
188	5063	8332
189	5088	8301
190	5126	8293
191	5150	8261
192	5173	8230
193	5199	8201
194	5223	8169
195	5255	8151
196	5299	8150
197	5369	8189
198	5412	8186
199	5458	8187
200	5490	8168
201	5514	8135
202	5538	8103
203	5564	8074
204	5571	8016
205	5611	8008
206	5643	7987
207	5662	7948
208	5686	7917
209	5710	7886
210	5738	7859
211	5763	7829
212	5787	7798
213	5800	7751
214	5825	7721
215	5862	7708
216	5890	7682
217	5937	7681
218	5974	7665
219	6004	7642
220	6039	7624
221	6078	7611
222	6102	7579
223	6130	7553
224	6154	7522
225	6179	7491
226	6203	7460
227	6229	7431
228	6255	7402
229	6263	7352
230	6296	7331
231	6322	7303
232	6348	7275
233	6377	7249
234	6410	7228
235	6437	7201
236	6485	7197
237	6522	7180
238	6547	7149
239	6609	7160
240	6634	7130
241	6672	7113
242	6702	7088
243	6726	7057
244	6751	7027
245	6786	7007
246	6812	6977
247	6837	6947
248	6860	6915
249	6886	6886
250	6912	6857
251	6941	6831
252	6965	6800
253	7005	6784
254	7030	6755
255	7056	6725
256	7085	6699
257	7112	6671
258	7136	6640
