,0
no ba ku hä,0.2376392813648945
ordinal hä ku ba,0.23777514932352095
ordinal hä ku+hx ba+hx,0.23787220783915858
no ku hä,0.23793211304364217
ordinal häst,0.2379397376598861
ordinal hä ku ba+hx,0.23795749563958282
no häst,0.23804936047308317
ordinal ba hä ku+hx,0.23804994196422946
ordinal hä ku,0.23806961043253083
no start n auto,0.239197998791433
ordinal kusk,0.23924616447332792
ordinal ba+hx,0.23933359694487422
ordinal bana,0.23934669603534497
no kusk,0.23935545501941596
no datum,0.2393680798765973
no bana,0.23938988787455692
all,0.23948398626088313
no hist n start,0.23956743775078965
90%,0.24028315704783215
40%,0.2411395768433689
70%,0.2416046123462264
50%,0.24191811531067514
30%,0.24216738405847735
