typ,datum,insats,utdelning,sjuor,sexor,femmor,kassa,year,vinst
1,2016-01-02,324.0,94520,1,12,59,94196.0,,94196.0
1,2016-01-09,288.0,0,0,0,0,93908.0,,-288.0
1,2016-01-16,288.0,0,0,0,0,93620.0,,-288.0
1,2016-01-23,288.0,0,0,0,0,93332.0,,-288.0
1,2016-01-30,288.0,267,0,0,3,93311.0,,-21.0
1,2016-01-31,288.0,144,0,4,40,93167.0,,-144.0
1,2016-02-06,288.0,0,0,0,0,92879.0,,-288.0
1,2016-02-13,288.0,0,0,0,0,92591.0,,-288.0
1,2016-02-20,270.0,178,0,2,26,92499.0,,-92.0
1,2016-02-27,300.0,0,0,0,0,92199.0,,-300.0
1,2016-02-28,288.0,0,0,0,0,91911.0,,-288.0
1,2016-03-05,288.0,0,0,0,0,91623.0,,-288.0
1,2016-03-12,288.0,112,0,2,22,91447.0,,-176.0
1,2016-03-19,270.0,0,0,0,0,91177.0,,-270.0
1,2016-03-25,320.0,0,0,0,0,90857.0,,-320.0
1,2016-03-27,288.0,0,0,0,0,90569.0,,-288.0
1,2016-04-02,320.0,75,0,0,5,90324.0,,-245.0
1,2016-04-09,324.0,0,0,0,0,90000.0,,-324.0
1,2016-04-16,288.0,0,0,0,0,89712.0,,-288.0
1,2016-04-23,288.0,0,0,0,5,89424.0,,-288.0
1,2016-04-30,300.0,300,0,0,6,89424.0,,0.0
1,2016-05-07,288.0,17,0,1,13,89153.0,,-271.0
1,2016-05-08,324.0,168,0,6,54,88997.0,,-156.0
1,2016-05-14,324.0,844,0,1,12,89517.0,,520.0
1,2016-05-15,300.0,0,0,0,0,89217.0,,-300.0
1,2016-05-21,270.0,0,0,0,0,88947.0,,-270.0
1,2016-05-28,270.0,0,0,0,0,88677.0,,-270.0
1,2016-05-29,320.0,3383,1,14,76,91740.0,,3063.0
1,2016-06-04,288.0,0,0,0,0,91452.0,,-288.0
1,2016-06-11,324.0,0,0,0,0,91128.0,,-324.0
1,2016-06-12,324.0,0,0,0,0,90804.0,,-324.0
1,2016-06-18,288.0,0,0,0,0,90516.0,,-288.0
1,2016-06-26,288.0,100,0,0,5,90328.0,,-188.0
1,2016-07-02,288.0,0,0,0,0,90040.0,,-288.0
1,2016-07-07,288.0,130,0,0,5,89882.0,,-158.0
1,2016-07-09,288.0,0,0,0,8,89594.0,,-288.0
1,2016-07-10,270.0,87,0,3,33,89411.0,,-183.0
1,2016-07-16,288.0,112,0,4,40,89235.0,,-176.0
1,2016-07-23,270.0,0,0,0,0,88965.0,,-270.0
1,2016-07-24,240.0,108,0,0,2,88833.0,,-132.0
1,2016-07-26,300.0,100,0,0,4,88633.0,,-200.0
1,2016-07-30,270.0,78,0,0,3,88441.0,,-192.0
1,2016-08-06,240.0,1920,0,0,6,90121.0,,1680.0
