datum,bana,avd,nr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,proba_cat1L1,proba_cat2L1,proba_xgb1L1,proba_xgb2L1,proba_cat1L2,proba_cat2L2,proba_xgb1L2,proba_xgb2L2,Meta,välj
2023-02-04,solvalla,1,5,likeaboss,6,h,elias strandberg,2140.0,0,2140.0,220000.0,5.0,43.0,2.94,1.3,2023-01-19,örebro,elias strandberg,1.0,2160.0,4.0,1.22,40.0,14.9,2023-01-07,färjestad,elias strandberg,1.0,2640.0,4.0,2.46,110.0,16.0,2022-12-23,romme,elias strandberg,1.0,2660.0,4.0,1.58,40.0,16.9,2022-11-02,solvalla,elias strandberg,1.0,2140.0,4.0,6.4,40.0,12.7,2022-10-14,romme,oskar j andersson,1.0,2140.0,4.0,3.43,30.0,14.5,2,0,0,0,1,1,6935.717076596412,11501.58559756547,6935.717076596412,6935.717076596412,6006.507181794034,16.0,12.0,15.0,51.0,19.0,0.1215528686370076,0.0,0.0833333333333333,False,False,False,True,True,True,0.3923549320736915,0.4151827350333306,0.41029686,0.43240318,0.0979225091024611,0.1098670939054754,0.088882044,0.08018124,0.0935748725613001,True
2023-02-04,solvalla,2,1,everglo lemon,4,v,anders eriksson,2140.0,0,2140.0,220000.0,1.0,19.0,15.01,3.82,2023-01-25,solvalla,anders eriksson,2.0,2140.0,2.0,1.83,80.0,16.3,2023-01-07,färjestad,anders eriksson,1.0,1640.0,2.0,2.52,110.0,14.6,2022-12-28,örebro,anders eriksson,2.0,2100.0,2.0,13.07,100.0,14.8,2022-12-07,solvalla,anders eriksson,2.0,2140.0,2.0,8.33,60.0,15.0,2022-11-18,romme,anders eriksson,2.0,2140.0,2.0,3.81,40.0,15.7,15,1,1,1,1,1,5949.207624609654,11501.58559756547,6651.416330443618,5152.164935300037,4206.725054048198,10.0,18.0,10.0,21.0,19.0,0.1682899539610044,16.0,0.1666666666666666,False,False,False,True,True,True,0.1764153336336835,0.1781501843649933,0.4514127,0.3501669,0.052360069311218,0.0505276466783019,0.11100024,0.13276413,0.07901935665761,True
2023-02-04,solvalla,2,8,chitchat,6,v,daniel wäjersten,2140.0,0,2140.0,220000.0,8.0,35.0,5.95,2.15,2023-01-21,östersund,daniel wäjersten,1.0,2140.0,4.0,1.46,110.0,15.3,2023-01-09,gävle,daniel wäjersten,1.0,2140.0,4.0,1.28,40.0,15.7,2022-12-13,bergsåker,daniel wäjersten,1.0,1640.0,4.0,1.66,30.0,15.4,2021-12-22,solvalla,anders eriksson,1.0,2140.0,4.0,1.75,60.0,15.3,2021-12-10,solvalla,anders eriksson,1.0,2140.0,4.0,1.55,40.0,18.7,6,1,1,1,0,0,11501.58559756547,6935.717076596412,6006.507181794034,8494.48391898452,6935.717076596412,14.0,12.0,27.0,356.0,12.0,0.1457180065665181,0.0,0.0833333333333333,False,False,False,True,True,True,0.3581745870350583,0.3621900262933248,0.1613393,0.22216749,0.0791418435873892,0.0837714288050315,0.017896224,0.024333283,0.0412207652602725,True
2023-02-04,solvalla,2,3,marabou brodda,6,s,thomas uhrberg,2140.0,0,2140.0,220000.0,3.0,15.0,3.15,1.6,2023-01-14,kalmar,thomas uhrberg,1.0,2140.0,8.0,4.81,110.0,14.2,2022-12-21,åby,thomas uhrberg,1.0,2140.0,8.0,7.56,60.0,15.5,2022-12-10,åby,andré eklundh,2.0,2660.0,8.0,5.11,40.0,15.7,2022-11-13,eskilstuna,thomas uhrberg,2.0,2140.0,8.0,6.14,110.0,14.6,2022-10-22,jägersro,thomas uhrberg,2.0,2140.0,8.0,7.72,110.0,15.8,2,0,0,0,0,0,11501.58559756547,8494.48391898452,4206.725054048198,6976.064300232707,6976.064300232707,21.0,24.0,11.0,27.0,22.0,0.0922760872356426,20.0,0.3333333333333333,False,False,False,True,True,False,0.0854519417100851,0.1309486631149459,0.15084824,0.22054653,0.0185932459662509,0.0261275934579564,0.05370609,0.0611509,0.0355402318678879,True
2023-02-04,solvalla,2,4,el vego khalifa,4,v,stefan persson,2140.0,0,2140.0,220000.0,4.0,16.0,8.61,6.78,2022-12-31,axevalla,stefan persson,1.0,2140.0,6.0,2.08,110.0,16.1,2022-12-13,axevalla,stefan persson,1.0,1640.0,6.0,1.35,25.0,15.1,2022-11-13,eskilstuna,jorma kontio,1.0,2140.0,6.0,11.39,30.0,13.5,2022-10-22,jägersro,stefan persson,1.0,1640.0,6.0,3.54,35.0,13.9,2022-09-27,åby,stefan persson,1.0,2140.0,6.0,6.23,50.0,15.6,9,1,1,1,1,1,11501.58559756547,5483.165792142293,6006.507181794034,6487.769258055282,7754.367427987846,35.0,18.0,30.0,22.0,25.0,0.1179992296263687,19.0,0.25,False,False,False,True,True,False,0.1406531116051349,0.1494826964495685,0.062703885,0.10259656,0.0294876277070369,0.0307523041040089,0.016376724,0.016665064,0.0223042631102195,True
2023-02-04,solvalla,3,9,eddy west,7,v,claes sjöström,2140.0,0,2140.0,150000.0,9.0,65.0,4.16,1.07,2022-12-28,örebro,claes sjöström,1.0,2100.0,1.0,1.38,100.0,14.4,2022-12-14,solvalla,claes sjöström,2.0,2140.0,1.0,11.05,100.0,14.0,2022-11-25,solvalla,claes sjöström,1.0,1640.0,1.0,10.82,100.0,11.2,2022-11-09,solvalla,claes sjöström,1.0,2180.0,1.0,1.81,60.0,13.3,2022-10-20,gävle,claes sjöström,1.0,1640.0,1.0,1.89,50.0,11.8,4,1,1,1,0,0,10966.331584284586,6651.416330443618,10966.331584284586,8494.48391898452,7754.367427987846,38.0,14.0,19.0,16.0,20.0,0.0803406504167665,0.0,0.0833333333333333,False,False,False,True,True,True,0.3527047176929739,0.4890922047845072,0.3336153,0.50029933,0.0945808273852481,0.1011125111345011,0.109328434,0.119770035,0.1057845705368343,True
2023-02-04,solvalla,4,1,milan boko,4,h,erwin bot,2140.0,0,2140.0,300000.0,1.0,29.0,17.49,1.0,2023-01-21,wolvega,erwin bot,1.0,2100.0,,1.3,,14.6,2023-01-05,wolvega,erwin bot,1.0,2100.0,,2.3,,13.4,2022-12-23,wolvega,jaap van rijn,1.0,2100.0,,1.6,,16.2,2022-12-09,wolvega,jaap van rijn,1.0,2100.0,,1.9,,16.6,2022-11-25,wolvega,erwin bot,1.0,2100.0,,1.9,,15.5,16,1,1,1,1,1,,,,,,14.0,16.0,13.0,14.0,14.0,0.0443319658423039,0.0,0.0909090909090909,False,False,False,True,True,False,0.2959876174326019,0.3021439134508375,0.23582737,0.2139008,0.0615795259164651,0.0578552868907494,0.050335743,0.061219648,0.057562105910683,True
2023-02-04,solvalla,4,5,gatling,4,v,björn goop,2140.0,0,2140.0,300000.0,5.0,18.0,4.9,3.73,2022-12-10,åby,björn goop,3.0,2140.0,9.0,8.54,110.0,14.1,2022-11-23,solvalla,carl johan jepson,1.0,2140.0,9.0,2.7,60.0,16.3,2022-10-19,åby,björn goop,1.0,2640.0,9.0,1.7,60.0,17.4,2022-10-05,solvalla,ulf ohlsson,1.0,2140.0,9.0,3.8,60.0,14.0,2022-09-19,mantorp,björn goop,1.0,2140.0,9.0,1.73,40.0,17.0,5,1,0,1,1,0,4231.196882217894,8494.48391898452,8494.48391898452,8494.48391898452,6935.717076596412,56.0,17.0,35.0,14.0,16.0,0.1405011706724369,11.0,0.1818181818181818,False,False,False,True,False,True,0.1972871057186151,0.1651869299455843,0.10464988,0.117086485,0.0383157757871989,0.0404652133920739,0.027912825,0.027753063,0.0331049962252433,True
2023-02-04,solvalla,4,2,windmill jam,4,h,johan untersteiner,2140.0,0,2140.0,300000.0,2.0,18.0,3.26,1.64,2022-12-10,åby,johan untersteiner,2.0,2140.0,9.0,3.01,100.0,13.8,2022-11-28,halmstad,johan untersteiner,1.0,2140.0,9.0,1.59,40.0,14.2,2022-11-09,åby,johan untersteiner,1.0,2140.0,9.0,1.43,60.0,15.0,2022-10-18,jägersro,johan untersteiner,1.0,2140.0,9.0,2.94,50.0,14.3,2022-09-05,halmstad,johan untersteiner,1.0,2140.0,9.0,2.18,40.0,15.5,2,1,1,0,1,0,6651.416330443618,6935.717076596412,8494.48391898452,7754.367427987846,6935.717076596412,56.0,12.0,19.0,22.0,43.0,0.1308320306900482,11.0,0.1818181818181818,False,False,False,True,True,True,0.1849831433099353,0.1647564422603349,0.09620702,0.11699935,0.0405814150757798,0.0403229929902604,0.023861697,0.025846845,0.0316954703446337,True
2023-02-04,solvalla,5,2,dwayne zet,7,v,magnus a djuse,2140.0,0,2140.0,250000.0,2.0,20.0,22.7,6.02,2023-01-21,östersund,mats e djuse,4.0,2140.0,10.0,10.2,125.0,14.4,2022-09-10,hagmyren,claes sjöström,6.0,2140.0,10.0,12.71,125.0,12.3,2022-08-27,bergsåker,magnus a djuse,2.0,1640.0,10.0,3.74,125.0,11.0,2022-08-18,östersund,ulf ohlsson,2.0,2140.0,10.0,5.66,30.0,14.7,2022-07-30,bollnäs,erik adielsson,2.0,1640.0,10.0,12.22,125.0,12.4,19,1,1,1,1,1,2735.738970442854,1006.422123637454,7436.509530762067,3643.130763542206,7436.509530762067,14.0,133.0,14.0,9.0,19.0,0.1257315437111544,0.0,0.0833333333333333,False,False,False,False,False,True,0.3590405627728763,0.2542372455308533,0.35878208,0.31923798,0.0685876350768908,0.064002474734984,0.09118778,0.080154866,0.0752622652629874,True
