datum,avd,bana,häst,kusk,streck,spår,dist,lopp_dist,start,ålder,kön,pris,h1_kusk,h1_bana,h1_spår,h1_plac,h1_pris,h1_odds,h1_kmtid,h2_kusk,h2_bana,h2_spår,h2_plac,h2_pris,h2_odds,h2_kmtid,h3_kusk,h3_bana,h3_spår,h3_plac,h3_pris,h3_odds,h3_kmtid,h4_kusk,h4_bana,h4_spår,h4_plac,h4_pris,h4_odds,h4_kmtid,h5_kusk,h5_bana,h5_spår,h5_plac,h5_pris,h5_odds,h5_kmtid,h1_dist,h2_dist,h3_dist,h4_dist,h5_dist,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4,rel_kr,streck_avst,rel_rank,h1_samma_bana,h2_samma_bana,h3_samma_bana,h1_samma_kusk,h2_samma_kusk,h3_samma_kusk,y,probat1,probat2,probat3,probat4,meta1_rf,meta2_ridge,meta3_knn,meta4_et,välj,spik,proba
2016-10-01,3.0,0.08641975308641975,0.08641975308641975,0.11389822712315431,47.0,1.0,2140.0,2140.0,0,8,0.0781586749702089,150000.0,0.1436247938849562,0.14104721703925477,0.0,6.0,0.0,58.8,11.1,0.14508655153291777,0.13526323739294277,0.0,2.0,150.0,2.2,10.2,0.10229388548603974,0.14386032826791254,0.0,3.0,400.0,25.93,10.7,0.10229388548603974,0.10713968912368492,0.0,3.0,400.0,8.18,11.6,0.11389822712315431,0.10713968912368492,0.0,3.0,150.0,2.85,14.4,2100.0,1640.0,1640.0,1640.0,2140.0,1,1,1,1,1,0.0,8146.288038201084,8068.575869854702,8068.575869854702,4940.973458019238,13.0,15.0,21.0,0.0,14.0,0.07124534278407395,0.0,0.08333333333333333,False,False,False,False,False,False,1,0.34311335169409035,0.3246483300616858,0.0878430400165737,0.34266478344141504,0.418286718763457,0.3085437556794817,0.0816106714218341,0.3241213460112368,True,False,0.24171931529566748
2016-10-01,5.0,0.08641975308641975,0.08641975308641975,0.08641975308641975,71.0,5.0,2140.0,2140.0,0,8,0.11146979463182208,300000.0,0.08641975308641975,0.14104721703925477,0.0,1.0,0.0,1.6,20.6,0.08641975308641975,0.08641975308641975,0.0,1.0,35.0,1.13,22.7,0.08641975308641975,0.08641975308641975,0.0,1.0,0.0,1.3,21.4,0.08641975308641975,0.14508655153291777,0.0,1.0,0.0,2.1,21.3,0.08641975308641975,0.10229388548603974,0.0,1.0,0.0,2.4,21.9,2160.0,2160.0,2080.0,1700.0,2609.0,0,0,0,1,1,0.0,6487.769258055282,0.0,0.0,0.0,13.0,9.0,6.0,14.0,28.0,0.26695562972273995,0.0,0.1111111111111111,False,False,False,True,True,True,1,0.79734576272122,0.38818959809814246,0.16279970850289327,0.7967542019481285,0.37862123232835737,0.29396617010756504,0.07488017892113008,0.3326595732013135,True,False,0.22946545019388112
2016-10-01,7.0,0.08641975308641975,0.08641975308641975,0.14508655153291777,43.0,4.0,2140.0,2140.0,0,5,0.11146979463182208,110000.0,0.14508655153291777,0.14104721703925477,0.0,4.0,0.0,1.7,12.1,0.08641975308641975,0.14508655153291777,0.0,1.0,0.0,1.8,10.2,0.08641975308641975,0.11389822712315431,0.0,2.0,0.0,15.5,11.3,0.08641975308641975,0.11389822712315431,0.0,2.0,0.0,2.0,14.0,0.14508655153291777,0.1436247938849562,0.0,2.0,200.0,12.66,15.6,2100.0,1600.0,1609.0,2680.0,2640.0,1,1,1,0,1,0.0,0.0,0.0,0.0,9406.523183503248,14.0,14.0,7.0,35.0,23.0,0.10385739891606773,0.0,0.08333333333333333,False,False,False,False,False,False,1,0.300244752142103,0.28190406335283164,0.08896531977855278,0.28957013383765146,0.3341658623276554,0.28257059221394254,0.06479400345989443,0.30283717304741226,True,False,0.2074714108768684
2016-10-01,4.0,0.08641975308641975,0.08641975308641975,0.11389822712315431,39.0,1.0,3160.0,3140.0,1,6,0.11146979463182208,100000.0,0.10713968912368492,0.09258617023221932,2.0,20.0,200.0,6.92,30.0,0.12455932471198387,0.13526323739294277,2.0,2.0,110.0,2.88,12.4,0.08641975308641975,0.10713968912368492,2.0,15.0,110.0,17.38,16.6,0.11389822712315431,0.10229388548603974,2.0,15.0,200.0,6.81,30.0,0.10713968912368492,0.1436247938849562,2.0,15.0,110.0,9.6,11.6,2140.0,2140.0,2140.0,2140.0,1640.0,1,1,1,1,1,1.160857183212945,6976.064300232708,10.488088481701515,14.142135623730953,10.488088481701515,7.0,21.0,42.0,56.0,14.0,0.0865501433593054,0.0,0.06666666666666667,False,False,False,False,True,False,1,0.29771046028289105,0.29178325498298624,0.07296071247793484,0.2971798117228353,0.3069781928588073,0.29934619301758203,0.07210563568569309,0.2736255443663979,True,False,0.20634871952071598
2016-10-01,6.0,0.08641975308641975,0.08641975308641975,0.07416101908267389,34.0,2.0,2140.0,2140.0,0,6,0.0781586749702089,125000.0,0.08641975308641975,0.08641975308641975,4.0,1.0,25.0,1.11,13.6,0.08641975308641975,0.06791166520120877,4.0,5.0,200.0,6.73,12.1,0.07416101908267389,0.07065458436241365,4.0,1.0,110.0,1.79,12.3,0.08641975308641975,0.07190282340663544,4.0,1.0,30.0,1.28,12.6,0.14508655153291777,0.07307090301747231,4.0,1.0,35.0,2.25,12.1,2080.0,2140.0,2100.0,2160.0,1640.0,1,1,1,0,1,5483.165792142293,2098.8790243749977,11501.58559756547,6006.507181794034,6487.769258055282,9.0,117.0,21.0,12.0,22.0,0.1261005599595361,0.0,0.1,False,False,False,True,True,True,0,0.33768415128969587,0.39024056848921473,0.23871290513275487,0.3360147540383076,0.18467914494864643,0.31594094275496815,0.08524184203490254,0.23620499522923544,True,False,0.18513623059219683
2016-10-01,6.0,0.08641975308641975,0.08641975308641975,0.12455932471198387,27.0,10.0,2140.0,2140.0,0,7,0.0781586749702089,125000.0,0.12455932471198387,0.10229388548603974,1.0,1.0,70.0,1.57,11.6,0.08641975308641975,0.12455932471198387,1.0,1.0,0.0,1.6,12.8,0.12455932471198387,0.14386032826791254,1.0,1.0,40.0,1.42,13.5,0.12455932471198387,0.12455932471198387,1.0,1.0,100.0,3.12,14.5,0.12455932471198387,0.11389822712315431,1.0,1.0,200.0,5.73,12.3,2140.0,2040.0,2660.0,3160.0,2140.0,1,0,0,0,1,9175.091274289012,0.0,6935.717076596412,10966.331584284586,15508.73485597569,17.0,17.0,24.0,11.0,22.0,0.07585191285937451,7.0,0.2,False,False,False,True,False,True,1,0.14785483527280976,0.1174060342792178,0.11486646514162724,0.2206693902725739,0.2020791555096845,0.3227875768009895,0.08959258049616596,0.18174529050907315,True,False,0.18052750723497255
2016-10-01,2.0,0.08641975308641975,0.08641975308641975,0.11389822712315431,20.0,8.0,2140.0,2140.0,0,4,0.0781586749702089,100000.0,0.07307090301747231,0.07065458436241365,4.0,1.0,100.0,3.96,16.1,0.12455932471198387,0.07065458436241365,4.0,1.0,20.0,2.17,13.5,0.08641975308641975,0.08641975308641975,4.0,15.0,15.0,5.87,18.6,0.11389822712315431,0.07190282340663544,4.0,15.0,20.0,1.86,18.6,0.10713968912368492,0.11389822712315431,4.0,15.0,10.0,1.93,17.5,2640.0,1640.0,2160.0,2640.0,2160.0,0,0,0,1,0,10966.331584284586,4904.29257725266,3.8729833462074175,4.47213595499958,3.1622776601683795,35.0,12.0,178.0,67.0,13.0,0.11175433973451036,0.0,0.09090909090909091,False,True,False,True,True,False,0,0.22206436818615313,0.2988462522585477,0.10485488312869994,0.16649429320547843,0.1884306197589598,0.3350759035360507,0.08988222231478185,0.1847162166028106,True,False,0.17993612978083884
2016-10-01,2.0,0.08641975308641975,0.08641975308641975,0.12455932471198387,19.0,9.0,2140.0,2140.0,0,6,0.0664157220307793,100000.0,0.12455932471198387,0.0953501240934021,6.0,1.0,30.0,1.88,12.0,0.08641975308641975,0.063177901856914,6.0,1.0,30.0,6.18,13.9,0.12455932471198387,0.10713968912368492,6.0,1.0,50.0,7.63,14.4,0.12455932471198387,0.07416101908267389,6.0,1.0,0.0,12.8,19.4,0.12455932471198387,0.08641975308641975,6.0,1.0,0.0,3.0,14.5,1640.0,2140.0,2140.0,2300.0,1640.0,1,1,1,1,1,6006.507181794034,6006.507181794034,7754.367427987845,0.0,0.0,22.0,28.0,19.0,21.0,18.0,0.09074738957146151,1.0,0.18181818181818182,False,False,False,True,True,True,0,0.15541789777010404,0.19514681407536028,0.05872949229100427,0.13110309320385652,0.1817468526169684,0.32450092913341816,0.09698311079663742,0.17782115435925452,True,False,0.17858319752450197
2016-10-01,1.0,0.08641975308641975,0.08641975308641975,0.07190282340663544,25.0,2.0,1640.0,1640.0,0,5,0.0664157220307793,100000.0,0.08641975308641975,0.10229388548603974,3.0,2.0,70.0,7.11,13.8,0.07416101908267389,0.06791166520120877,3.0,3.0,125.0,2.86,13.9,0.07416101908267389,0.07065458436241365,3.0,1.0,70.0,1.84,11.7,0.07307090301747231,0.07307090301747231,3.0,1.0,100.0,5.45,30.0,0.07307090301747231,0.1436247938849562,3.0,1.0,30.0,6.09,13.8,2640.0,2140.0,1609.0,2660.0,2140.0,1,0,1,0,1,5564.974163518141,4510.4710316524015,9175.091274289012,10966.331584284586,6006.507181794034,17.0,35.0,15.0,17.0,9.0,0.0715037215289048,0.0,0.08333333333333333,False,False,False,False,True,True,0,0.21274545951928256,0.27077229338715314,0.07744476716398035,0.20433511910772287,0.09446105250860638,0.32249552687047134,0.09450625576934875,0.15275665309521885,True,False,0.14481358057537314
2016-10-01,2.0,0.08641975308641975,0.08641975308641975,0.14508655153291777,9.0,5.0,2140.0,2140.0,0,4,0.11146979463182208,100000.0,0.1436247938849562,0.14104721703925477,0.0,4.0,0.0,15.9,14.8,0.14508655153291777,0.1242845261560249,0.0,1.0,0.0,2.1,14.7,0.11389822712315431,0.12455932471198387,0.0,1.0,0.0,1.8,14.8,0.12455932471198387,0.10229388548603974,0.0,1.0,0.0,3.5,15.3,0.10713968912368492,0.11389822712315431,0.0,1.0,0.0,21.0,14.9,2600.0,2100.0,2100.0,2100.0,2100.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,24.0,7.0,14.0,14.0,14.0,0.08121973714549227,11.0,0.36363636363636365,False,False,False,False,True,True,1,0.0766546691545734,0.0663661841619912,0.05685350678175046,0.08752786443646293,0.15291770186043083,0.2821704556844501,0.06048896191772751,0.1627818946502039,True,False,0.14356972983032115
