datum,avd,startnr,häst,vodds,prob_order,vodds2,prob_ord2,vodds3,prob_ord3,vodds4,prob_ord4
2020-12-12,1,1,VIKING BRODDE,6.0,4,6.46,4.0,7.1,5.0,5.61,4.0
2020-12-12,1,2,GLOBAL UNDECIDED,5.06,2,4.9,2.0,4.01,2.0,3.58,1.0
2020-12-12,1,3,REMARKABLE FEET,18.69,8,18.37,8.0,17.88,7.0,18.9,7.0
2020-12-12,1,4,OWEN FACE,57.49,10,67.55,10.0,81.56,10.0,97.4,10.0
2020-12-12,1,5,HOSSIANA BOKO,10.4,5,11.5,5.0,11.67,4.0,13.18,5.0
2020-12-12,1,6,DOM PERIGNON,4.32,1,3.99,1.0,4.01,1.0,4.47,2.0
2020-12-12,1,7,CASANOVA SISU,69.49,11,71.34,11.0,70.34,11.0,88.34,11.0
2020-12-12,1,8,MR CLAYTON J.F.,22.21,7,24.3,7.0,31.11,8.0,32.92,8.0
2020-12-12,1,9,ORLANDO TRISS,99.99,12,99.99,12.0,99.99,12.0,168.71,12.0
2020-12-12,1,10,HEADING REFERENCE,9.29,6,9.69,6.0,8.99,6.0,8.52,6.0
2020-12-12,1,11,HOPE AND DREAMS,57.8,9,61.18,9.0,77.67,9.0,95.5,9.0
2020-12-12,1,12,SIR HENRY P.HILL,4.49,3,4.34,3.0,4.81,3.0,5.49,3.0
2020-12-12,2,1,OPTANDSFRÖKEN,16.57,5,17.42,5.0,15.04,4.0,22.15,5.0
2020-12-12,2,3,NORHEIM BORKA,18.01,6,18.69,7.0,20.49,7.0,20.01,6.0
2020-12-12,2,4,NORDBY KULING,78.61,13,81.93,12.0,96.61,12.0,194.69,11.0
2020-12-12,2,5,HUGO BÄCK,51.75,11,53.98,11.0,62.05,11.0,125.46,13.0
2020-12-12,2,6,NORDBY ELDE,43.01,7,45.62,6.0,54.21,6.0,98.2,8.0
2020-12-12,2,7,MOESES,69.46,12,73.75,13.0,84.77,13.0,160.02,12.0
2020-12-12,2,8,VESTPOL GLADIATOR,27.84,10,24.44,9.0,27.64,10.0,35.51,7.0
2020-12-12,2,9,B.W.RUNE,17.39,4,17.46,4.0,17.82,5.0,17.17,4.0
2020-12-12,2,10,U.R.FAXE,42.78,9,44.58,10.0,50.02,9.0,85.83,10.0
2020-12-12,2,11,B.W.STURE,63.41,8,61.52,8.0,61.39,8.0,108.5,9.0
2020-12-12,2,13,TANGEN HAAP,10.16,3,9.97,3.0,8.87,3.0,7.63,3.0
2020-12-12,2,14,VÅLER NIKOLAI,3.37,2,3.46,2.0,2.94,2.0,3.27,2.0
2020-12-12,2,15,ÅSRUD VILJA,2.15,1,2.09,1.0,2.35,1.0,1.96,1.0
2020-12-12,3,1,BRIDA,27.25,9,28.99,9.0,29.07,10.0,39.89,9.0
2020-12-12,3,2,ELLA PACE,30.16,11,30.9,11.0,21.36,8.0,29.82,11.0
2020-12-12,3,3,MATILDA CASH,3.51,2,3.52,2.0,3.62,2.0,3.87,3.0
2020-12-12,3,5,NORMAL CAPTURE,99.99,13,99.99,13.0,99.99,13.0,244.74,13.0
2020-12-12,3,6,DISOBEY AM,99.99,14,99.99,14.0,99.99,14.0,216.33,14.0
2020-12-12,3,7,VÄSTERBO BURBERRY,36.42,12,37.86,12.0,32.61,12.0,63.18,12.0
2020-12-12,3,8,GAL GADOT RACING,6.6,5,5.74,3.0,5.9,3.0,6.97,4.0
2020-12-12,3,9,SAGA DOC,9.37,3,9.49,4.0,9.23,4.0,16.5,7.0
2020-12-12,3,10,WHELK,15.54,7,16.39,7.0,15.3,7.0,13.88,6.0
2020-12-12,3,11,GLOBAL U.S.A.,17.54,8,18.53,8.0,18.08,9.0,17.51,8.0
2020-12-12,3,12,ZOOROPA,11.95,4,11.04,5.0,11.08,5.0,8.16,2.0
2020-12-12,3,13,LYX HÅLERYD,13.76,6,14.51,6.0,15.03,6.0,14.92,5.0
2020-12-12,3,14,ICELAND FALLS,4.55,1,4.78,1.0,5.08,1.0,3.5,1.0
2020-12-12,3,15,HUNKYDORY DEGATO,41.59,10,43.39,10.0,43.19,11.0,36.07,10.0
2020-12-12,4,1,TRUMPIE,2.84,1,2.86,1.0,2.79,1.0,2.55,1.0
2020-12-12,4,2,ALFAS LEONORE,12.43,6,12.4,6.0,13.15,7.0,23.79,8.0
2020-12-12,4,3,JEANNE D'ARC BOKO,22.78,7,23.06,7.0,23.19,6.0,29.59,9.0
2020-12-12,4,4,SPARTAN COUGAR,30.23,11,31.45,11.0,30.5,11.0,41.76,10.0
2020-12-12,4,5,JARAMAZ BOKO,5.49,2,5.33,2.0,5.45,2.0,3.91,2.0
2020-12-12,4,6,LIVI NATIONALITY,74.32,12,75.72,12.0,78.03,12.0,134.65,12.0
2020-12-12,4,7,ZODIAC KRONOS,10.57,4,10.47,4.0,10.24,4.0,10.01,4.0
2020-12-12,4,8,MELLBY HERO,11.19,5,11.16,5.0,11.12,5.0,12.29,5.0
2020-12-12,4,9,CHARLES DU SUD,11.94,8,11.86,8.0,11.84,8.0,16.43,7.0
2020-12-12,4,10,HEFNER AM,15.65,10,15.73,10.0,15.69,9.0,15.98,6.0
2020-12-12,4,11,FLÄSK KEN,21.74,9,22.33,9.0,23.06,10.0,52.75,11.0
2020-12-12,4,12,VANJA,10.36,3,10.58,3.0,10.8,3.0,10.1,3.0
2020-12-12,5,1,TIMO LANE,8.51,6,8.66,6.0,9.04,6.0,11.16,6.0
