iter	Accuracy	Logloss
0	0.7485691412	0.6828928951	1	0.7490336006	0.6730543462	2	0.7547723872	0.6643011043	3	0.7534929693	0.6556233944	4	0.7557705637	0.6471894255	5	0.7550877065	0.6385316	66	6	0.7613569053	0.62997677	7	7	0.7593775913	0.6247098	8	08	0.7606047905	0.6186069	9	09	0.7606963996	0.6137721010	10	0.7595320439	0.6092461111	11	0.7573066682	0.6044201212	12	0.7585573204	0.599801131313	0.759079311	0.593248714	114	0.7612130776	0.588759715	115	0.7603416898	0.584718116	116	0.7583282977	0.581637117	117	0.759062272	0.57769018118	0.7584774379	0.5742800119119	0.7591773341	0.5700253122020	0.759595989	0.5655419121221	0.7598196993	0.5617748522222	0.761058625	0.5578312852323	0.7613569053	0.5529723562424	0.760089214	0.5507340921225	0.7619705049	0.5482352982226	0.7617297557	0.5456691272227	0.7599805659	0.5439168672228	0.758575461	0.5420888738229	0.7594415364	0.5388473699330	0.7598601913	0.5358000959331	0.760038097	0.5339499964
32	0.7619193879	0.5308252889
33	0.7621430982	0.5285287762
34	0.7623210038	0.5267416553535	0.7606921887	0.5256794123636	0.7604684785	0.5234183937337	0.7617819743	0.5205301638338	0.7622751993	0.5186726539339	0.7615582641	0.516320140	40	0.7626938542	0.5147907414141	0.762470144	0.51281331442	0.762963369	0.5110850874
43	0.7628887989	0.5088436162
44	0.7622176682	0.5075838631445	0.7624413785	0.5069657962446	0.7633362194	0.5062493663447	0.7632158448	0.5049828648	48	0.7630954701	0.503682154949	0.7625276751	0.502275150	050	0.7629750955	0.50108451	0.51	0.7632446103	0.50012952	0.52	0.7627055808	0.49887153	0.53	0.7630038611	0.49795654	0.54	0.7643173569	0.496955	0.7655	0.7634970861	0.495856	0.7556	0.7640936467	0.494657	0.757	0.7650342921	0.4926558	0.758	0.7652580023	0.4908759	0.559	0.7659003675	0.4899160	0.660	0.7656766573	0.4886161	0.661	0.7659749376	0.4879262	0.662	0.7661240777	0.4871563	0.663	0.7654071425	0.4854564	06664	0.7675121436	0.4840465	06665	0.7664969281	0.4837566	06666	0.7662732179	0.4826467	66667	0.7665714982	0.4868	0.766868	0.7673630035	0.4869	0.766969	0.7669443486	0.4870	0.777770	0.7667952084	0.4871	0.771771	0.7668697785	0.4872	07272772	0.7685561247	0.4773	07373773	0.7687798349	0.4774	07474774	0.7690035451	0.4775	07575775	0.7693018255	0.4776	07677676	0.7709136016	0.4777	07777777	0.7711373118	0.4778	07878	78	0.7698983861	0.4779	07779	79	0.7706153213	0.80	0.78880	80	0.7717051069	0.81	0.88881	81	0.7728982281	0.82	0.8888282	0.7728982281	0.83	0.78838383	0.7734202186	0.84	0.78848884	0.7733456486	0.85	0.85858885	0.7735693588	0.86	0.86868686	0.7729269936	0.87	0.87888787	0.7726287133	0.88	0.88888888	0.7738388736	0.89	0.88989	89	0.7739880137	0.90	0.90	90	90	0.7739134436	0.91	0.91	91	91	0.7732710785	0.92	0.92	92	92	0.7748540891	0.93	0.93	9393	0.7763625296	0.94	0.794	9494	0.7754964542	0.95	0.795	9595	0.7764370997	0.96	0.79699696	0.7777793611	0.97	0.97	99797	0.777704791	0.498	0.98	9998	0.7770624258	0.499	0999	9999	0.7769420512	0.100	0110011100	0.7773894717	0101	01110110101	0.7794199027	0102	01110102102	0.7794199027	0103103111103103	0.7794199027	0104104111104104	0.7792707626	0105105110105105	0.7810774834	0106101110106106	0.780136838	0.10711011010107	0.7838248497	0.10101011010108	0.78412313	0.45101010110109	0.7847654952	0.4511111111110	0.7846909251	0.45211111111111	0.7852129156	0.45111111211112	0.7855111959	0.45011111311113	0.7857349061	0.44911111111114	0.7869738319	0.44811111111115	0.787122972	0.44861111111116	0.7869738319	0.44811711111117	0.7872721122	0.44711811111118	0.7881381876	0.44711911191119	0.7877195327	0.446120120	1120	0.7879432429	0.44121	121	1121	0.7887347482	0.44122122	01122	0.7896008236	0.44123123	0123	0.7898245338	0.445124124	0124	0.7898245338	0.44112125	0.125	0.7898245338	0.44112126	0.126	0.7898245338	0.4411127	0.1127	0.7894516834	0.4411128	0.1128	0.7894516834	0.4411129	112129	0.7891075986	0.441130	0113130	0.7891821686	0.441131	0113131	0.7904210944	0.13132	0.113132	0.7905702346	0.133	0.80113133	0.7906448046	0.134	0.80113134	0.7914363099	01135	0.80113135	0.791017655	0136	0.805111136	0.7900024395	137	0.8061311137	0.7901515796	138	0.8061311138	0.7901515796	139	0.8061313139	0.7910922251	140	0.805114140	0.7906735702	0141	0.806114141	0.7913447008	0142	0.80142	142	0.7914192709	0143	0.801431143	0.7915684111	144	0.8081441144	0.7925836266	145	0.8081451145	0.7924344865	146	0.8091461146	0.7924344865	147	0.8101471147	0.7930310471	148	0.8091481148	0.7927327668149	0.81021491149	0.7938225524150	0.81101501150	0.7939716925151	0.81211511151	0.794568253152	0.811511521152	0.795285188153	0.812231531153	0.796524114154	0.810311541154	0.795732608155	0.811151551155	0.7968223156	0.81232151515156	0.7961054157	0.81241115157157	0.7961054158	0.81401515158158	0.795686159	0.8141815159	0159	0.796776160	0.815141160	0.160	0.799449161	0.815591161	0.161	0.799374162	0.815951162	0162	0.7995239163	0.816041163	163	0.80053917164	0.817091164164	0.801554387165	0.81682116165	0.8018526675166	0.81700116166	0.802300088	167	0.8171811167	0.8021509478	168	0.818321168	0.8028966486	0169	0.818771169	0.803269499	0170	0.818684170	0.803762724	0171	0.818087171	0.8035390137	0172	0.819858172	0.8036135838	173	0.8196774173	0.8039864342	174	0.8195872174	0.8040610043	175	0.8198581175	0.8041355743	176	0.8201217176	0.8052253599	177	0.8197617177	0.8058677251	178	0.820211178	0.8061202009	0179	0.820031179	0.8063439111	0180	0.820031180	0.8064184812	1181	0.820121181	0.806269341	01182	0.82012182	0.8064184812	18183	0.82112183	0.8065676213184184	0.82207184	0.806418481185	185	0.8230185	0.806493051186	0186	0.8231186	0.80664219187	1	187	0.8231187188	1	0.10723715118189	1	0.1062901711
190	1	0.105779223
191	1	0.104993056
192	1	0.1036100963
193	1	0.1026856208
