iter	Passed	Remaining
0	2854	5705644
1	5639	5633958
2	8221	5472857
3	10670	5324531
4	13408	5350149
5	15971	5307771
6	19120	5443769
7	21939	5462993
8	24791	5484528
9	27764	5525151
10	30491	5513460
11	33683	5580165
12	36811	5626500
13	39518	5606029
14	42257	5592102
15	44701	5542934
16	47334	5521468
17	49859	5490057
18	52467	5470447
19	55235	5468321
20	58025	5468198
21	60883	5474018
22	63668	5472713
23	66139	5445509
24	68926	5445187
25	71953	5462921
26	74731	5460931
27	77660	5469543
28	80293	5457221
29	82853	5440722
30	85432	5426311
31	88215	5425272
32	91217	5437103
33	94157	5444515
34	96794	5434322
35	99302	5417507
36	102042	5413769
37	105085	5425713
38	107596	5410194
39	110516	5415293
40	113372	5417000
41	116234	5418763
42	119058	5418564
43	121876	5417976
44	124512	5409383
45	127058	5397232
46	129839	5395244
47	132638	5393956
48	135568	5397854
49	138606	5405650
50	141435	5405056
51	144249	5403816
52	146944	5398148
53	149678	5393969
54	152528	5393960
55	155255	5389596
56	157766	5377890
57	160840	5385387
58	163716	5385998
59	166721	5390655
60	169592	5390812
61	172530	5392955
62	175437	5393998
63	178039	5385706
64	181040	5389447
65	183845	5387227
66	186857	5390966
67	189762	5391478
68	192473	5386462
69	195562	5391943
70	198383	5389878
71	201300	5390381
72	204254	5391758
73	207264	5394482
74	210006	5390155
75	212896	5389640
76	215747	5388071
77	218506	5384215
78	221510	5386354
79	224518	5388442
80	227535	5390629
81	230534	5392261
82	233713	5397943
83	236815	5401657
84	239905	5404935
85	242937	5406782
86	245671	5401959
87	248485	5398920
88	251464	5399425
89	254587	5402913
90	257530	5402481
91	260603	5404682
92	263815	5409636
93	266855	5410927
94	269814	5410488
95	272828	5411103
96	275745	5409726
97	278580	5406739
98	281532	5405991
99	284497	5405451
100	287529	5406119
101	290664	5408642
102	293701	5409231
103	296511	5405640
104	299475	5404820
105	302445	5404071
106	305339	5401948
107	308101	5397484
108	311056	5396405
109	313959	5394390
110	316996	5394649
111	320191	5397517
112	323215	5397406
113	326174	5396183
114	329145	5395123
115	332373	5398200
116	335292	5396208
117	338391	5397052
118	341134	5392213
119	344046	5390068
120	347018	5388824
121	350166	5390269
122	353081	5388081
123	356098	5387425
124	358967	5384505
125	362221	5387320
126	365374	5388552
127	368256	5385757
128	371246	5384511
129	374501	5387067
130	377461	5385311
131	380684	5387259
132	383379	5381720
133	386312	5379550
134	389345	5378742
135	392439	5378725
136	395389	5376723
137	398494	5376783
138	401417	5374378
139	404484	5373864
140	407487	5372472
141	410547	5371806
142	413638	5371511
143	416646	5370116
144	419751	5369919
145	422866	5369830
146	425754	5366818
147	428840	5366295
148	431665	5362499
149	434795	5362482
150	437878	5361837
151	440850	5359815
152	443961	5359455
153	446491	5352096
154	449149	5346329
155	451987	5342721
156	454805	5338897
157	457451	5333071
158	460318	5329847
159	463185	5326635
160	466122	5324221
161	468932	5320359
162	471997	5319382
163	475171	5319600
164	477956	5315460
165	480752	5311445
166	483746	5309625
167	486837	5308846
168	489905	5307790
169	492786	5304701
170	495821	5303264
171	498625	5299345
172	501650	5297781
173	504530	5294673
174	507423	5291700
175	510152	5287035
176	512941	5283003
177	515953	5281271
178	518719	5277026
179	521511	5273055
180	524467	5270757
181	527443	5268638
182	530577	5268080
183	533642	5266820
184	536833	5266771
185	539940	5265872
186	542966	5264164
187	545856	5261132
188	548703	5257682
189	551767	5256314
190	554829	5254903
191	557899	5253551
192	560790	5250513
193	563934	5249825
194	566917	5247618
195	570050	5246793
196	572989	5244164
197	575945	5241687
198	578956	5239702
199	582251	5240262
200	585282	5238419
201	588176	5235352
202	590882	5230623
203	593882	5228490
204	596811	5225742
205	599817	5223651
206	602947	5222634
207	605694	5218288
208	608862	5217576
209	612019	5216736
210	614981	5214223
211	618081	5212873
212	621145	5211208
213	623782	5205961
214	626413	5200688
215	629438	5198692
216	632521	5197166
