iter	Accuracy	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.7405054435	0.6826377291	0.6826377291	0.6824917169	0.7558659218	0.7558659218	0.7333370975	0.2060301508	0.7444311004	0.3238004068	0.7405054435	0.7277938343
1	0.7405054435	0.6732958892	0.6732958892	0.6734080013	0.7558659218	0.7558659218	0.7333370975	0.2060301508	0.7444311004	0.3238004068	0.7405054435	0.7277938343
2	0.7395185857	0.6650261401	0.6650261401	0.6653356223	0.8162011173	0.8162011173	0.7076693551	0.1859488354	0.7580703593	0.3028920908	0.7395185857	0.6760597303
3	0.7425658117	0.6572278847	0.6572278847	0.6579280954	0.7882681564	0.7882681564	0.7222510193	0.1970257628	0.7538169507	0.3152544266	0.7425658117	0.7047447013
4	0.7425789904	0.6496642986	0.6496642986	0.6503552911	0.7882681564	0.7882681564	0.7222684621	0.1970395196	0.7538264509	0.3152720366	0.7425789904	0.7047687861
5	0.7425762663	0.6427197215	0.6427197215	0.6433097834	0.7891061453	0.7891061453	0.7219240601	0.196768127	0.7540216075	0.3149913586	0.7425762663	0.7040703276
6	0.7425579339	0.6364188691	0.6364188691	0.6371961516	0.7879888268	0.7879888268	0.7223544084	0.1971073225	0.7537454925	0.3153364632	0.7425579339	0.7049614644
7	0.7426580626	0.6302824614	0.6302824614	0.6309576994	0.7882681564	0.7882681564	0.7223731365	0.1971221011	0.7538834576	0.315377738	0.7426580626	0.7049132948
8	0.7426712413	0.6256700227	0.6256700227	0.6262162795	0.7882681564	0.7882681564	0.7223905851	0.1971358715	0.7538929595	0.3153953618	0.7426712413	0.7049373796
9	0.7425658117	0.6213935436	0.6213935436	0.6216908138	0.7882681564	0.7882681564	0.7222510193	0.1970257628	0.7538169507	0.3152544266	0.7425658117	0.7047447013
10	0.7426053478	0.6163475471	0.6163475471	0.6168715738	0.7882681564	0.7882681564	0.7223033502	0.1970670391	0.7538454522	0.3153072626	0.7426053478	0.7048169557
11	0.7426053478	0.611140931	0.611140931	0.6112031525	0.7882681564	0.7882681564	0.7223033502	0.1970670391	0.7538454522	0.3153072626	0.7426053478	0.7048169557
12	0.7426185265	0.6064457731	0.6064457731	0.6061883973	0.7882681564	0.7882681564	0.7223207955	0.1970808017	0.7538549532	0.3153248785	0.7426185265	0.7048410405
13	0.7425921691	0.6021437959	0.6021437959	0.6020206694	0.7882681564	0.7882681564	0.7222859057	0.1970532784	0.7538359514	0.3152896486	0.7425921691	0.7047928709
14	0.7425921691	0.5973148103	0.5973148103	0.5971536716	0.7882681564	0.7882681564	0.7222859057	0.1970532784	0.7538359514	0.3152896486	0.7425921691	0.7047928709
15	0.7425921691	0.5932628937	0.5932628937	0.5926168736	0.7882681564	0.7882681564	0.7222859057	0.1970532784	0.7538359514	0.3152896486	0.7425921691	0.7047928709
16	0.742465683	0.5892989132	0.5892989132	0.5883308725	0.7879888268	0.7879888268	0.7222322543	0.1970109645	0.7536789863	0.3152131404	0.742465683	0.7047928709
17	0.742465683	0.585256851	0.585256851	0.5842586791	0.7879888268	0.7879888268	0.7222322543	0.1970109645	0.7536789863	0.3152131404	0.742465683	0.7047928709
18	0.7424920404	0.5818601285	0.5818601285	0.5807126251	0.7879888268	0.7879888268	0.7222671513	0.1970384857	0.7536979869	0.3152483656	0.7424920404	0.7048410405
19	0.742465683	0.5786955473	0.5786955473	0.5776927817	0.7879888268	0.7879888268	0.7222322543	0.1970109645	0.7536789863	0.3152131404	0.742465683	0.7047928709
20	0.7424788617	0.5756948086	0.5756948086	0.5746004406	0.7879888268	0.7879888268	0.7222497024	0.1970247241	0.7536884865	0.315230752	0.7424788617	0.7048169557
21	0.7424920404	0.5727457794	0.5727457794	0.5717596873	0.7879888268	0.7879888268	0.7222671513	0.1970384857	0.7536979869	0.3152483656	0.7424920404	0.7048410405
22	0.7424920404	0.569235738	0.569235738	0.5678389755	0.7879888268	0.7879888268	0.7222671513	0.1970384857	0.7536979869	0.3152483656	0.7424920404	0.7048410405
23	0.7424920404	0.5664935762	0.5664935762	0.5651465821	0.7879888268	0.7879888268	0.7222671513	0.1970384857	0.7536979869	0.3152483656	0.7424920404	0.7048410405
24	0.7424920404	0.5641415663	0.5641415663	0.5628193547	0.7879888268	0.7879888268	0.7222671513	0.1970384857	0.7536979869	0.3152483656	0.7424920404	0.7048410405
25	0.7425447552	0.5612672114	0.5612672114	0.5601224843	0.7879888268	0.7879888268	0.7223369553	0.1970935513	0.7537359909	0.3153188398	0.7425447552	0.7049373796
26	0.7425052191	0.5590374508	0.5590374508	0.5581310225	0.7879888268	0.7879888268	0.722284601	0.1970522492	0.7537074875	0.3152659812	0.7425052191	0.7048651252
27	0.7425447552	0.5569086029	0.5569086029	0.5559449202	0.7879888268	0.7879888268	0.7223369553	0.1970935513	0.7537359909	0.3153188398	0.7425447552	0.7049373796
28	0.7425447552	0.5548995699	0.5548995699	0.5541676705	0.7879888268	0.7879888268	0.7223369553	0.1970935513	0.7537359909	0.3153188398	0.7425447552	0.7049373796
29	0.742821508	0.5533686752	0.5533686752	0.5526546174	0.7879888268	0.7879888268	0.7227036477	0.1973831514	0.7539355747	0.3156893465	0.742821508	0.7054431599
30	0.7433354774	0.5521184416	0.5521184416	0.5515432393	0.7879888268	0.7879888268	0.7233856367	0.1979232442	0.754306511	0.3163797454	0.7433354774	0.7063824663
31	0.7435463367	0.5503197284	0.5503197284	0.5497019796	0.7879888268	0.7879888268	0.7236657996	0.1981456768	0.7544587956	0.3166638604	0.7435463367	0.7067678227
32	0.7438547478	0.5485182765	0.5485182765	0.5479614632	0.7877094972	0.7877094972	0.7241910557	0.1985635826	0.7546159981	0.317174671	0.7438547478	0.7075626204
33	0.7438283904	0.5471058559	0.5471058559	0.5465862334	0.7877094972	0.7877094972	0.7241559602	0.1985356238	0.7545969445	0.3171390013	0.7438283904	0.7075144509
34	0.7436887256	0.5457822875	0.5457822875	0.5453558045	0.7874301676	0.7874301676	0.7240851072	0.1984791945	0.754430295	0.3170443682	0.7436887256	0.7074903661
35	0.7436544904	0.5444651591	0.5444651591	0.5440560958	0.787150838	0.787150838	0.7241546651	0.1985345921	0.7543398079	0.3170923821	0.7436544904	0.7076589595
36	0.744042121	0.5434732633	0.5434732633	0.5432478991	0.7854748603	0.7854748603	0.7253669721	0.19950337	0.754225239	0.3181895332	0.744042121	0.7097543353
37	0.7441213405	0.5418783617	0.5418783617	0.541750618	0.7840782123	0.7840782123	0.7260563263	0.2000570166	0.7539526205	0.3187780365	0.7441213405	0.7110549133
38	0.7440975599	0.5407777403	0.5407777403	0.5407167219	0.7846368715	0.7846368715	0.7257907499	0.1998434832	0.754067491	0.3185529599	0.7440975599	0.7105491329
39	0.7439315377	0.5394069401	0.5394069401	0.5394391756	0.7843575419	0.7843575419	0.7256844868	0.1997581276	0.7538811363	0.3184215003	0.7439315377	0.7104768786
40	0.7439842525	0.5380812945	0.5380812945	0.5381109775	0.7843575419	0.7843575419	0.7257552792	0.1998149861	0.7539193348	0.3184937333	0.7439842525	0.7105732177
41	0.7439156349	0.5371315273	0.5371315273	0.5371748843	0.7851955307	0.7851955307	0.7253137701	0.1994607252	0.7540676914	0.3181123748	0.7439156349	0.7097543353
42	0.7443902155	0.5358807944	0.5358807944	0.5359208506	0.7837988827	0.7837988827	0.7265353001	0.2004428888	0.754081531	0.3192445532	0.7443902155	0.7117774566
43	0.7438786756	0.5352442876	0.5352442876	0.535313957	0.7857541899	0.7857541899	0.7250320067	0.1992350733	0.754172812	0.3178710662	0.7438786756	0.7092244701
