iter	Passed	Remaining
0	57	5721
1	116	5707
2	185	6000
3	230	5541
4	293	5567
5	356	5579
6	415	5524
7	485	5579
8	548	5543
9	613	5520
10	710	5748
11	746	5474
12	802	5373
13	865	5314
14	932	5281
15	988	5189
16	1047	5116
17	1104	5030
18	1164	4962
19	1217	4869
20	1276	4800
21	1339	4747
22	1408	4714
23	1498	4744
24	1557	4672
25	1614	4594
26	1682	4548
27	1745	4489
28	1782	4364
29	1856	4331
30	1912	4257
31	1969	4185
32	2093	4251
33	2167	4208
34	2204	4093
35	2259	4016
36	2315	3943
37	2373	3872
38	2457	3843
39	2547	3821
40	2627	3780
41	2703	3733
42	2758	3656
43	2846	3622
44	2908	3554
45	2970	3486
46	3027	3414
47	3116	3376
48	3178	3308
49	3243	3243
50	3331	3200
51	3428	3164
52	3498	3102
53	3555	3028
54	3619	2961
55	3682	2893
56	3772	2846
57	3838	2779
58	3896	2707
59	3976	2650
60	4034	2579
61	4086	2504
62	4152	2438
63	4212	2369
64	4306	2319
65	4362	2247
66	4417	2175
67	4476	2106
68	4556	2047
69	4638	1987
70	4705	1921
71	4768	1854
72	4839	1789
73	4893	1719
74	4950	1650
75	5005	1580
76	5067	1513
77	5122	1444
78	5176	1375
79	5198	1299
80	5252	1231
81	5319	1167
82	5350	1095
83	5412	1030
84	5466	964
85	5520	898
86	5584	834
87	5642	769
88	5677	701
89	5696	632
90	5752	568
91	5807	504
92	5863	441
93	5951	379
94	6006	316
95	6065	252
96	6130	189
97	6191	126
98	6246	63
99	6330	0
