datum,bana,avd,startnr,häst,ålder,kön,kusk,lopp_dist,start,dist,pris,spår,streck,vodds,podds,kr,plac,h1_dat,h1_bana,h1_kusk,h1_plac,h1_dist,h1_spår,h1_odds,h1_pris,h1_kmtid,h2_dat,h2_bana,h2_kusk,h2_plac,h2_dist,h2_spår,h2_odds,h2_pris,h2_kmtid,h3_dat,h3_bana,h3_kusk,h3_plac,h3_dist,h3_spår,h3_odds,h3_pris,h3_kmtid,h4_dat,h4_bana,h4_kusk,h4_plac,h4_dist,h4_spår,h4_odds,h4_pris,h4_kmtid,h5_dat,h5_bana,h5_kusk,h5_plac,h5_dist,h5_spår,h5_odds,h5_pris,h5_kmtid,bins,h1_auto,h2_auto,h3_auto,h4_auto,h5_auto,h1_perf,h2_perf,h3_perf,h4_perf,h5_perf,senast,delta1,delta2,delta3,delta4
2021-03-20,MANTORP,1,1,QUITE E.WOOD,7,v,André Eklundh,2140.0,1,2140.0,15.0,1.0,15.0,6.53,1.77,13784.0,6,2021-03-11 00:00:00,Åby-4,André Eklundh,1.0,2640.0,5.0,5.27,40.0,16.4,2021-02-03 00:00:00,Åby-8,André Eklundh,2.0,1640.0,5.0,3.56,60.0,12.9,2021-01-26 00:00:00,Axevalla-8,André Eklundh,2.0,2180.0,5.0,3.81,35.0,15.3,2021-01-04 00:00:00,Färjestad-9,André Eklundh,2.0,2140.0,5.0,2.59,35.0,15.0,2020-12-15 00:00:00,Axevalla-8,André Eklundh,2.0,2140.0,5.0,4.6,30.0,15.6,7,1,1,0,0,1,6935.717076596412,5152.164935300037,3935.0309681516123,3935.0309681516123,3643.130763542206,9.0,36.0,8.0,22.0,20.0
2021-03-20,MANTORP,1,2,GRINNEBYS ORION,10,v,Rikard N Skoglund,2140.0,1,2140.0,1.0,2.0,1.0,59.61,6.8,8676.0,1,2021-03-05 00:00:00,Solvalla-2,Magnus A Djuse,2.0,2140.0,4.0,5.5,40.0,14.4,2021-02-15 00:00:00,Eskilstuna-9,Magnus A Djuse,2.0,2140.0,4.0,17.44,30.0,13.7,2021-01-30 00:00:00,Eskilstuna-9,Rikard N Skoglund,15.0,2140.0,4.0,62.49,110.0,14.4,2021-01-13 00:00:00,Solvalla-9,Rikard N Skoglund,15.0,2140.0,4.0,10.38,60.0,13.8,2020-12-23 00:00:00,Mantorp-6,Rikard N Skoglund,15.0,2640.0,4.0,75.49,100.0,14.6,27,1,1,1,1,1,4206.725054048198,3643.130763542206,10.488088481701515,7.745966692414834,10.0,15.0,18.0,16.0,17.0,21.0
2021-03-20,MANTORP,1,3,MAGIC HAPPENS,8,v,Peter Untersteiner,2140.0,1,2140.0,2.0,3.0,2.0,44.37,6.53,15652.0,15,2021-02-25 00:00:00,Åby-8,Johan Untersteiner,5.0,1640.0,5.0,4.32,35.0,13.6,2021-02-11 00:00:00,Åby-4,Peter Untersteiner,3.0,2160.0,5.0,15.97,35.0,14.4,2021-01-28 00:00:00,Åby-10,Peter Untersteiner,1.0,2180.0,5.0,3.3,15.0,15.0,2020-12-12 00:00:00,Halmstad-2,Peter Untersteiner,1.0,2200.0,5.0,1.99,10.0,16.4,2020-11-30 00:00:00,Halmstad-7,Peter Untersteiner,1.0,2140.0,5.0,26.52,30.0,13.8,24,1,0,0,0,1,878.0240901127003,2386.7169291026403,4247.24195949226,3467.858538298206,6006.507181794034,23.0,14.0,14.0,47.0,12.0
2021-03-20,MANTORP,1,4,DWAYNE ZET,5,v,Örjan Kihlström,2140.0,1,2140.0,36.0,4.0,36.0,2.08,1.36,32975.0,20,2021-03-10 00:00:00,Solvalla-6,Örjan Kihlström,1.0,2140.0,7.0,1.92,60.0,13.8,2020-11-28 00:00:00,Solvalla-11,Örjan Kihlström,15.0,2140.0,7.0,5.69,220.0,12.6,2020-11-07 00:00:00,Eskilstuna-5,Örjan Kihlström,1.0,2140.0,7.0,2.29,110.0,12.8,2020-10-25 00:00:00,Solvalla-5,Örjan Kihlström,1.0,2140.0,7.0,24.77,200.0,12.4,2020-09-09 00:00:00,Solvalla-10,Örjan Kihlström,1.0,2140.0,7.0,2.06,60.0,13.4,0,1,1,0,1,1,8494.48391898452,14.832396974191326,11501.58559756547,15508.734855975692,8494.48391898452,10.0,102.0,21.0,13.0,46.0
2021-03-20,MANTORP,1,5,EXCLUSIVE MATTER,5,v,Johan Untersteiner,2140.0,1,2140.0,5.0,5.0,5.0,16.09,3.7,29380.0,8,2021-03-06 00:00:00,Åby-11,Johan Untersteiner,8.0,1640.0,2.0,7.26,110.0,11.7,2021-02-20 00:00:00,Mantorp-5,Stefan Persson,6.0,2140.0,2.0,12.67,110.0,17.6,2021-02-13 00:00:00,Åby-10,Johan Untersteiner,2.0,2140.0,2.0,20.43,150.0,14.1,2021-02-03 00:00:00,Åby-8,Johan Untersteiner,2.0,1640.0,2.0,3.69,60.0,13.3,2021-01-21 00:00:00,Kalmar-1,Johan Untersteiner,2.0,2140.0,2.0,1.52,25.0,17.0,15,1,0,0,1,1,347.31779025430075,944.1076379488159,8146.288038201084,5152.164935300037,3325.708165221809,14.0,14.0,7.0,10.0,13.0
2021-03-20,MANTORP,1,6,HERAKLES,7,v,Mikael J Andersson,2140.0,1,2140.0,1.0,6.0,1.0,63.41,7.72,7413.0,4,2021-03-02 00:00:00,Jägersro-8,Thomas Uhrberg,4.0,2140.0,1.0,8.67,30.0,14.1,2021-02-13 00:00:00,Åby-11,Daniel Wäjersten,5.0,2140.0,1.0,120.29,150.0,13.9,2021-02-05 00:00:00,Kalmar-8,Stefan Persson,1.0,1640.0,1.0,2.92,35.0,12.4,2021-01-25 00:00:00,Halmstad-9,Stefan Persson,1.0,1640.0,1.0,13.2,40.0,14.4,2021-01-02 00:00:00,Kalmar-4,Stefan Persson,1.0,2160.0,1.0,24.66,100.0,15.0,27,1,1,1,1,0,1340.2329094063966,1817.6825545790462,6487.769258055282,6935.717076596412,10966.331584284586,18.0,17.0,8.0,11.0,23.0
2021-03-20,MANTORP,1,7,G.R.J.'S WOLVERINE,7,v,Micael Stjernström,2140.0,1,2140.0,1.0,7.0,1.0,69.85,8.85,11639.0,5,2021-03-10 00:00:00,Solvalla-6,Micael Stjernström,3.0,2140.0,6.0,13.63,60.0,14.1,2021-02-23 00:00:00,Eskilstuna-6,Micael Stjernström,1.0,2140.0,6.0,4.52,35.0,15.3,2021-02-12 00:00:00,Mantorp-2,Micael Stjernström,3.0,2140.0,6.0,2.67,25.0,15.6,2021-01-30 00:00:00,Eskilstuna-2,Micael Stjernström,3.0,2140.0,6.0,15.96,30.0,15.2,2020-12-23 00:00:00,Mantorp-8,Micael Stjernström,3.0,3180.0,6.0,8.16,100.0,15.8,28,1,0,0,1,0,3124.9459971558285,6487.769258055282,2017.1439674636756,2209.670505430644,4034.287934927351,10.0,15.0,11.0,13.0,38.0
2021-03-20,MANTORP,1,8,RED MILE BRODDE,5,v,Jörgen Sjunnesson,2140.0,1,2140.0,7.0,8.0,7.0,13.12,2.77,22506.0,2,2021-03-02 00:00:00,Jägersro-8,Jörgen Sjunnesson,3.0,2140.0,2.0,2.75,30.0,14.0,2020-11-28 00:00:00,Solvalla-6,Jörgen Sjunnesson,1.0,2140.0,2.0,53.16,220.0,12.8,2020-10-31 00:00:00,Jägersro-8,Jörgen Sjunnesson,1.0,2140.0,2.0,7.24,110.0,13.9,2020-09-30 00:00:00,Jägersro-2,Jörgen Sjunnesson,1.0,2660.0,2.0,17.41,30.0,15.9,2020-09-21 00:00:00,Halmstad-3,Jörgen Sjunnesson,1.0,2140.0,2.0,3.91,30.0,14.1,13,1,1,0,0,1,2209.670505430644,16265.698340872146,11501.58559756547,6006.507181794034,6006.507181794034,18.0,94.0,28.0,31.0,9.0
2021-03-20,MANTORP,1,10,VICTORY LEE,6,v,Dante Kolgjini,2140.0,1,2140.0,2.0,9.0,2.0,43.23,7.33,15008.0,3,2021-01-27 00:00:00,Jägersro-9,Adrian Kolgjini,1.0,2140.0,3.0,15.16,60.0,14.7,2020-12-01 00:00:00,Jägersro-4,Lutfi Kolgjini,4.0,1640.0,3.0,5.21,60.0,12.9,2020-11-05 00:00:00,Åby-9,Adrian Kolgjini,3.0,1640.0,3.0,4.29,40.0,11.0,2020-10-24 00:00:00,Örebro-5,Adrian Kolgjini,3.0,2140.0,3.0,9.66,110.0,13.6,2020-10-10 00:00:00,Åby-2,Adrian Kolgjini,3.0,1640.0,3.0,8.72,40.0,11.8,24,1,1,1,0,1,8494.48391898452,1895.3755572212776,2551.5077222615173,4231.196882217894,2551.5077222615173,52.0,57.0,26.0,12.0,14.0
2021-03-20,MANTORP,1,11,ZENZERO JET,6,h,Stefan Persson,2140.0,1,2140.0,18.0,10.0,18.0,5.28,1.92,15351.0,7,2021-02-25 00:00:00,Kalmar-6,Stefan Persson,2.0,1640.0,3.0,5.08,25.0,12.3,2020-12-31 00:00:00,Axevalla-12,Peter Ingves,15.0,2660.0,3.0,7.38,337.0,15.9,2020-12-03 00:00:00,Örebro-4,Ulf Ohlsson,1.0,2100.0,3.0,3.34,25.0,15.2,2020-11-23 00:00:00,Mantorp-13,Henrik Johansson,1.0,2140.0,3.0,,,16.7,2020-10-27 00:00:00,Eskilstuna-8,Kenneth Haugstad,1.0,2660.0,3.0,5.45,35.0,30.0,5,1,0,1,0,0,3325.708165221809,18.35755975068582,5483.165792142293,,6487.769258055282,23.0,56.0,28.0,10.0,27.0
