fas,Recall,F1,AUC,Accuracy,Precision
6-1,0.7142857142857143,0.7451288190215534,0.8001930501930502,0.755814591773989,0.778755762799481
6-1,0.7142857142857143,0.7053135911584191,0.7609523809523809,0.7037334032003937,0.6965640691264658
6-1,0.7142857142857143,0.719739415003627,0.7519305019305019,0.7220118535382656,0.7252770364557936
6-1,0.8571428571428571,0.7906180650960561,0.8113006396588486,0.7618514196859012,0.7336758279016475
6-1,0.8571428571428571,0.7713360428955187,0.7857142857142857,0.7511141716368013,0.7058333606008904
6-1,0.7142857142857143,0.7197260965856358,0.7428571428571429,0.7142857142857143,0.7252499886675472
6-1,0.8571428571428571,0.7808406884789039,0.865491651205937,0.7643664398446938,0.7170127861763579
6-1,0.5714285714285714,0.5819606376986525,0.6428571428571428,0.6005814320127746,0.5928882294137925
6-1,0.8571428571428571,0.8056961102462186,0.8674812030075187,0.79615773485568,0.7600754651550145
6-1,0.42857142857142855,0.4888949670854667,0.6766917293233083,0.5581600643805541,0.5689819823069343
6-1,0.8571428571428571,0.7808895274582078,0.7976190476190477,0.7458630642599116,0.7170951522240985
6-1,0.7142857142857143,0.7148516658604782,0.7312925170068028,0.7332839256602264,0.7154185149897215
6-1,0.8571428571428571,0.7761169374261483,0.7847985347985348,0.7593573392591321,0.7090867929427934
6-1,0.42857142857142855,0.4707646222575642,0.5723684210526316,0.524796135700104,0.5221729602385862
6-1,1.0,0.8654215121520218,0.8607594936708861,0.8496260195725838,0.7627691882238291
6-1,0.8571428571428571,0.7809459411517458,0.8506493506493507,0.7644061981375022,0.7253962675454746
6-1,1.0,0.8861907099231309,0.8183673469387756,0.8680307882128582,0.7956395388495734
6-1,0.7142857142857143,0.7197949234994337,0.7349624060150376,0.7257171282615881,0.7253897771608553
6-1,0.7142857142857143,0.7007092804609867,0.7517421602787456,0.7106219580175529,0.6876393149445116
6-1,1.0,0.8456941982978219,0.8665413533834586,0.8199863301386972,0.732643115065984
6-1,1.0,0.8915581249240522,0.9037698412698412,0.8767070674064804,0.8043345753812892
6-1,0.8571428571428571,0.7907217314012585,0.7857142857142857,0.7668579753213776,0.7338543908365189
6-1,0.7142857142857143,0.6915545815277914,0.7536630036630036,0.6898461653690969,0.6702255996122296
6-1,0.8571428571428571,0.7762049657262325,0.7760617760617761,0.7528878136466108,0.7092337659340314
6-1,1.0,0.8705711144103879,0.8990476190476191,0.852337850425109,0.7708064894726959
6-1,0.5714285714285714,0.5943647685197977,0.6144688644688645,0.6203035430083053,0.6192192024420944
6-1,0.7142857142857143,0.7452180561347128,0.8580470162748643,0.7637717076115799,0.7789507347080376
6-1,0.7142857142857143,0.7007787199239454,0.6354359925788498,0.7010419123320698,0.6877730740767223
6-1,0.7142857142857143,0.6961763540731528,0.7108843537414966,0.7079574633795847,0.6789625458344575
6-1,1.0,0.8862909513106223,0.8582089552238806,0.8652927102028716,0.7958011586182377
6-1,0.5714285714285714,0.5944199683330237,0.7397260273972603,0.6073787345825025,0.6193390402973467
6-1,0.7142857142857143,0.6697301160058952,0.6614481409001958,0.6452990632764667,0.6304067087130453
6-1,0.5714285714285714,0.5986185094245181,0.6542443064182195,0.6033912799153321,0.6285252436301001
6-1,0.5714285714285714,0.5986006675444748,0.6639839034205232,0.6088640656000828,0.6284859066024363
6-1,1.0,0.8655031952937879,0.83125,0.8506531231490709,0.7628961066293329
6-1,0.8571428571428571,0.7907677384819544,0.8333333333333334,0.7746987477767138,0.7339336498663295
6-1,0.8571428571428571,0.7907714389283641,0.8,0.7747000847369931,0.7339400251801769
6-1,0.7142857142857143,0.673993605112409,0.6904761904761905,0.6635416876688252,0.6380044425965911
6-1,0.5714285714285714,0.6116139834439781,0.6390476190476191,0.6394862386631442,0.6578789743122467
6-1,0.8571428571428571,0.7907936679163021,0.8657770800627944,0.7965498845318023,0.7339783234658399
6-1,0.8571428571428571,0.7908569923329031,0.8161904761904761,0.7747310036915314,0.7791264601926681
6-1,0.8571428571428571,0.7908604325841482,0.7786596119929453,0.7834478315646389,0.7340933632846878
6-1,0.8571428571428571,0.7716673501524387,0.7886100386100386,0.7462110131923051,0.701693476852314
6-1,1.0,0.8316419864375413,0.8698010849909584,0.8040443266388356,0.7118040675749453
6-1,0.7142857142857143,0.7009196282946304,0.7038095238095239,0.6970402694510848,0.6880445800626863
6-1,0.8571428571428571,0.8008787200067062,0.8663003663003663,0.7923400646406381,0.7515461109790618
6-1,0.8571428571428571,0.8269543307822438,0.8896925858951176,0.8263545188946404,0.798819934684052
6-1,0.42857142857142855,0.4854098456680303,0.5875251509054327,0.5358637254526505,0.5596295851563671
6-1,1.0,0.8917272637595649,0.8621730382293763,0.875967640868382,0.804609943563665
