,datum,bana,avd,pris
0,2021-01-09,BERGSÅKER,1,125.000
1,2021-01-09,BERGSÅKER,2,110.000
2,2021-01-09,BERGSÅKER,3,110.000
3,2021-01-09,BERGSÅKER,4,110.000
4,2021-01-09,BERGSÅKER,5,150.000
5,2021-01-09,BERGSÅKER,6,110.000
6,2021-01-09,BERGSÅKER,7,110.000
0,2021-01-02,KALMAR,1,110.000
1,2021-01-02,KALMAR,2,110.000
2,2021-01-02,KALMAR,3,150.000
3,2021-01-02,KALMAR,4,110.000
4,2021-01-02,KALMAR,5,125.000
5,2021-01-02,KALMAR,6,110.000
6,2021-01-02,KALMAR,7,110.000
0,2020-12-31,AXEVALLA,1,100.000
1,2020-12-31,AXEVALLA,2,100.000
2,2020-12-31,AXEVALLA,3,100.000
3,2020-12-31,AXEVALLA,4,100.000
4,2020-12-31,AXEVALLA,5,100.000
5,2020-12-31,AXEVALLA,6,100.000
6,2020-12-31,AXEVALLA,7,337.080
0,2020-12-30,BJERKE,1,50.000
1,2020-12-30,BJERKE,2,50.000
2,2020-12-30,BJERKE,3,60.000
3,2020-12-30,BJERKE,4,50.000
4,2020-12-30,BJERKE,5,50000
5,2020-12-30,BJERKE,6,50.000
6,2020-12-30,BJERKE,7,50.000
0,2020-12-29,ÅLBORG,1,30000
1,2020-12-29,ÅLBORG,2,40000
2,2020-12-29,ÅLBORG,3,37500
3,2020-12-29,ÅLBORG,4,40000
4,2020-12-29,ÅLBORG,5,40000
5,2020-12-29,ÅLBORG,6,60000
6,2020-12-29,ÅLBORG,7,40000
0,2020-12-28,ROMME,1,100.000
1,2020-12-28,ROMME,2,100.000
2,2020-12-28,ROMME,3,100.000
3,2020-12-28,ROMME,4,250.000
4,2020-12-28,ROMME,5,100.000
5,2020-12-28,ROMME,6,100.000
6,2020-12-28,ROMME,7,100.000
0,2020-12-27,MOMARKEN,1,60.000
1,2020-12-27,MOMARKEN,2,60.000
2,2020-12-27,MOMARKEN,3,50.000
3,2020-12-27,MOMARKEN,4,50.000
4,2020-12-27,MOMARKEN,5,50000
5,2020-12-27,MOMARKEN,6,60.000
6,2020-12-27,MOMARKEN,7,60.000
0,2020-12-26,SOLVALLA,1,220.000
1,2020-12-26,SOLVALLA,2,220.000
2,2020-12-26,SOLVALLA,3,300.000
3,2020-12-26,SOLVALLA,4,220.000
4,2020-12-26,SOLVALLA,5,220.000
5,2020-12-26,SOLVALLA,6,220.000
6,2020-12-26,SOLVALLA,7,250.000
0,2020-12-25,UMÅKER,1,100.000
1,2020-12-25,UMÅKER,2,100.000
2,2020-12-25,UMÅKER,3,100.000
3,2020-12-25,UMÅKER,4,100.000
4,2020-12-25,UMÅKER,5,100.000
5,2020-12-25,UMÅKER,6,100.000
6,2020-12-25,UMÅKER,7,100.000
0,2020-12-23,MANTORP,1,100.000
1,2020-12-23,MANTORP,2,100.000
2,2020-12-23,MANTORP,3,100.000
3,2020-12-23,MANTORP,4,100.000
4,2020-12-23,MANTORP,5,100.000
5,2020-12-23,MANTORP,6,100.000
6,2020-12-23,MANTORP,7,100.000
0,2020-12-19,HALMSTAD,1,110.000
1,2020-12-19,HALMSTAD,2,110.000
2,2020-12-19,HALMSTAD,3,150.000
3,2020-12-19,HALMSTAD,4,110.000
4,2020-12-19,HALMSTAD,5,110.000
5,2020-12-19,HALMSTAD,6,110.000
6,2020-12-19,HALMSTAD,7,125.000
0,2020-12-12,BERGSÅKER,1,125.000
1,2020-12-12,BERGSÅKER,2,200.000
2,2020-12-12,BERGSÅKER,3,110.000
3,2020-12-12,BERGSÅKER,4,110.000
4,2020-12-12,BERGSÅKER,5,110.000
5,2020-12-12,BERGSÅKER,6,150.000
6,2020-12-12,BERGSÅKER,7,110.000
0,2020-12-05,ÅBY,1,110.000
1,2020-12-05,ÅBY,2,110.000
2,2020-12-05,ÅBY,3,100.000
3,2020-12-05,ÅBY,4,110.000
4,2020-12-05,ÅBY,5,250.000
5,2020-12-05,ÅBY,6,110.000
6,2020-12-05,ÅBY,7,125.000
0,2020-11-28,SOLVALLA,1,300.000
1,2020-11-28,SOLVALLA,2,220.000
2,2020-11-28,SOLVALLA,3,220.000
3,2020-11-28,SOLVALLA,4,220.000
4,2020-11-28,SOLVALLA,5,250.000
5,2020-11-28,SOLVALLA,6,300.000
6,2020-11-28,SOLVALLA,7,220.000
0,2020-11-21,JÄGERSRO,1,110.000
1,2020-11-21,JÄGERSRO,2,110.000
2,2020-11-21,JÄGERSRO,3,110.000
3,2020-11-21,JÄGERSRO,4,700.000
